time,taste,environment,service,hygiene,indigestible,comments
2023-10-26,5,5,4,4,5,"
又係食放題時間，一向覺得大瀛喜嘅放題質素好、兼夠新意。今期主題係果王-榴槤放題，榴槤控嘅我點會放過呢個黃金機會。金枕頭榴槤用火槍燒過，食嘅時候微暖，真係未試過咁食榴槤，估唔到又出奇地好食喎，特別係甜味，相信因為曾經烤過，梅納反應使甜度得以提升、榴槤香味也更濃；軟綿綿嘅果肉極creamy，雖然每次限叫每人兩件，但食吓食吓，都食咗成10件、8件，叫多兩round都已經回本。極品金枕頭榴槤燒刺身款式選擇多，三文魚、甜蝦、虎蝦、赤貝、帶子、吞拿魚。三文魚厚切肥美，味道鮮；帶子size唔算大，不過新鮮爽口；鮑魚size唔大唔細，有嚼勁；最正赤蝦，蝦肉勁爽彈，味道鮮甜。仲有泰式虎蝦，配上泰式甜辣醬加蒜片，極好味！。泰式虎蝦西京燒比目魚，係我每次都必叫嘅，因為佢燒到皮層金黃微焦，裡邊魚肉嫰滑，入口油脂即溶。之前未見過嘅新款食物，紅酒藍莓鵝肝，好正！鵝肝幼滑，味道濃郁，配搭藍莓嘅青甜，食多幾件都唔覺膩。炸物之中，可能因為自己超鍾意食榴槤，所以覺得貓山王炸榴槤最出色！芝士年糕都ok，但一定要襯熱食。貓山王炸榴槤芝士炸年糕飲品勁多選擇，啤酒、清酒、茶、汽水、果汁等等……飲茶可消滯、汽水消暑、酒類令人舒暢，各適其適，總有一款啱飲。甜品除左小蛋糕，一定唔可以錯過椰汁燉鮮奶，勁滑香濃，好好味！燒菠蘿邊食邊噴汁。當然雪糕雪條都要留胃食啦，因為有榴槤雪糕。榴槤雪糕如果我多兩個胃就好啦，真係好多嘢食，每次都總有想食想試，但最終都係飽到食唔落，又要諗吓下次幾時再嚟。
"
2023-10-25,4,4,4,4,4,"🍴🍽🍴🍽🍴🍽️🍣🍣🍣🍣🍴🍽🍴🍽🍴🍽🥢$268(17:30-19:30特價時段)餐廳設好多座位，所以都坐得幾舒服，落單採用QRcode形式，此外仲設有自助區熟食同餐前小吃。飲品除咗有汽水同茶，仲有啤酒、梅酒、青酒等。自助落單嘅選擇包括有各款榴槤、刺身、壽司、凍蝦、長腳蟹、鮑魚、天婦羅、乳鴿、羊鞍、避風塘魷魚鬚、麻辣龍蝦仔、花膠、燒菠蘿、各類甜品、雪糕，絕對令人眼花繚亂！
🥢燒金枕頭榴蓮🆙第一次食燒金枕頭榴蓮，上枱時熱辣辣，表面烤到有少少焦，效果出奇鮮甜同柔軟。除此之外仲有脆炸貓山王、榴蓮泡芙、榴蓮撻、榴槤布丁、榴槤雪糕、榴槤雪條，榴槤者愛好者淨係食榴槤已經值回票價，誠意推介😍！🥢海鮮🆗醉鮑魚非常鮮甜；花膠相當大塊，入口鮮味軟嫩，帶黏黏嘅口感，充滿骨膠原，必然之選。
🥢天婦羅🆗用金黃色粉漿包裹着，香脆可口。虎蝦鮮味彈牙，南瓜同日本甜薯仔外脆內軟，香甜可口😋。🥢刺身🆗擺盤精緻，刺身亦都幾新鮮，配上芥辣豉油令到刺身鮮味提升。厚切嘅三文魚、鯛魚刺身，魚脂豐沛，魚油甘香，鮮甜彈牙，口感一流。仲可以品嚐各種壽司，例如散發出啖啖牛油香氣嘅牛油帆立貝壽司同鮮味軟綿嘅鰻魚壽司。
🥢鮑魚雞粥🆗
🥢黑蒜油豬軟骨拉麵🆗
