time,taste,environment,service,hygiene,indigestible,comments
2023-11-07,5,5,5,5,5,"
天氣開始涼啦今晚再去打邊爐🍲之前去都係食卜卜蜆湯底今次就試下花膠雞湯底唔好睇佢花膠雞半隻已經好夠食而且啖啖花膠好滋潤🥰🥰湯底滾咗之後先落花膠煲一陣就可以食喇‼️落啲雞之前記得試咗個花膠湯先湯底好清甜而且花膠有豐富膠原蛋白養陰潤肺補腎好啱食😆😆打邊爐點少得叫啲肉🥩菜🥬之類🥩手切本地牛頸脊(細)打邊爐相信大家都鍾意食肥牛我就鍾意有咬口加少脂肪嘅牛頸脊兩個人食一個細嘅就夠多朋友去就建議叫個拼盤啦😉💯黃金雙拼(即炸響鈴及炸魚皮)每次黎必點‼️人多叫一份一定要encore之選炸響鈴同炸魚皮嘅外層都係滿滿嘅鹹蛋黃個人建議炸響鈴落湯滾3️⃣秒就🆗‼️而炸魚皮可以試下趁熱食再落湯浸兩種滋味😋🥟滾得囍宮廷餃子拼盤餃子嘅選擇好多有選擇困難症嘅話直接叫個餃子拼盤牛肉豬肉菜類都有樣樣都可以試下🤣🥬滾得囍豐盛雜菜拼盤想食啲蔬菜🥬叫個雜菜拼盤粟米番茄生菜等等平時食開嘅都有而且好新鮮🌽夠甜呢間打邊爐無論同friend同成班屋企人黎一樣啱食每次黎食物水準真係keep到而且地方闊落坐得舒服😌😌"
2023-10-26,5,5,4,4,5,"
#北角地膽今次去宮廷風嘅火煱店-滾得囍宮廷火鍋小炒打邊爐！餐牌主打高質花膠雞湯鍋、麻辣火鍋及多款手工火鍋配料；以復古宮廷風裝潢，門口仲有得免費借古裝著；真係好似穿越左去古代咁呀！ 🍍武則天原個鳳梨冬陰功蜆濃湯鍋：超igable嘅湯鍋以原個鳳梨上枱；酸甜嘅鳳梨與惹味香口嘅濃湯結合，帶來特嘅冬陰公湯氣，酸酸辣辣勁開胃；粒粒蜆肉隻隻都肥美飽滿，新鮮鳳梨煮完都好鮮甜，十分高質！🥩手切本地牛頸脊(細)：上枱勁豪華嘅牛頸脊，以新鮮的本地牛肉切得厚薄適中；紋理清晰、肉味香濃、油脂香醇，肉質軟嫩無比！
🍶花雕雞件：用花雕浸住嘅雞件，煮完後雞肉仍然軟嫩，肉質滑溜；有半隻雞嘅份量！ 🥟滾得囍宮廷餃子拼盤：一共五種餃子各兩粒，包括有新鮮菜苗帶子餃、韭菜豬肉餃、馬蹄冬菇豬肉餃、芋泥豬肉餃同和牛芝士餃；一次過試哂咁多手工餃子，款款都咁好食！餡料爆滿！ 🍢黃金雙拼(即炸響鈴及黃金炸魚皮)🍢：呢個驚喜組合有我至愛嘅咸蛋黃醬炸魚皮，香酥鬆脆，味道香濃！仲有即炸響鈴，口感脆卜卜唔油膩！
🥬滾得囍豐盛雜菜拼盤：多種新鮮蔬菜的組合，包括嫩綠嘅蔬菜同香甜嘅粟米等！🎋竹蔗茅根：清新甘甜嘅竹蔗茅根，解渴健康又解膩，冰冰涼涼又唔會太甜！滾得囍宮廷火鍋地址📍：北角馬寶道33號馬寶學林1樓116-125號舖
"
2023-10-08,5,5,5,5,4,"
今日嚟到呢間裝修特別嘅火鍋店。餐廳裝修行古風，屏風、枱櫈、燈，甚至係餐牌都帶有古代特色。餐廳旁邊仲提供古代宮廷服裝俾小朋友試穿影相。🔅宮廷醬介每位$28🔸康熙花膠雞湯鍋（半隻）花膠同雞一上枱已經比花膠搶晒焦點，啲花膠大大塊，店員仲會幫你剪開再下鍋，可以食咗花膠同飲咗湯先，感覺非常滋補。而半隻雞嘅雞件份量都好多，雞肉雞味突出，肉質嫩滑，好推介哩個湯底👍🏻🔸手切本地牛頸脊（細）牛頸脊油脂分布平均，而且牛味濃郁，亦係好高質素。🔸滾得囍宫廷餃子拼盤餃子拼盤有和牛芝士一口餃、新鮮菜苗帶子餃、韮菜豬肉餃、馬蹄冬菇豬肉餃及芋泥豬肉餃各兩粒。全部都皮薄多餡料，特別推介和牛芝士一口餃及新鮮菜苗帶子餃～🔸黃金雙拼黃金雙拼係指包裹住滿滿鹹蛋黃既響鈴同炸魚皮，兩款都入口香脆，鹹蛋黃味濃郁，真係邪惡又好味。🔸滾得囍豐盛雜菜拼盤拼盤有好多唔同既蔬菜，包括唐生菜、油麥菜、皇帝菜、菜心苗、黑木耳、娃娃菜、新鮮粟米等，全部都好新鮮，索曬啲湯汁之後好好味。🔸白牛柏葉份量都幾多，全部都好新鮮，質感爽彈。🔸竹蔗茅根竹蔗茅根甜度適中，正好可以清下熱氣～"
2023-09-03,5,5,5,5,5,"
呢間位於北角嘅火鍋店「滾得囍宮廷火鍋小炒」裝潢充滿中式宮廷風，火鍋店提供左不同款式嘅宮廷衣服比小朋友cosplay一下，仲可以係門口嘅龍椅影相打卡。座位好闊落，坐得好舒服，整體環境舒適，好適合一班朋友來聚會，而店員服務態度好好，會主動問你有無咩需要。來到坐低睇個menu，見到部份菜式名稱都加入宮廷元素，好有趣🤗店員都隨即遞上各式火鍋醬料及前菜👍醬料及前菜嘉慶椰子藏雞濃湯鍋$318椰子雞湯係以椰子和嫩雞細火熬煮而成，一送來時椰子同雞件是用鮮腐竹包裹成一個布袋似的，再由店員即場剪開再倒入椰子水，陣陣椰子香味芬芳撲鼻，味道清甜而且層次分明。開始打邊爐前，建議先品嚐一碗椰子雞濃湯👍嘉慶椰子藏雞濃湯鍋$318本地牛頸脊騸牯牛肉(細)$318騸牯牛俗稱「肥牛」，泛指1歲前已閹割的黃牛，口感較軟滑甘香。而牛頸和肩胛之間的牛頸脊，油脂分佈平均，嫩滑有咬口。本地牛頸脊騸牯牛肉(細)$318滾得囍餃子拼盤(10粒)$138餃子拼盤共有10粒，包括和牛芝士一口餃、新鮮菜苗帶子餃、菲菜豬肉餃、馬蹄冬菇豬肉餃同芋泥豬肉餃，每款各兩粒。餃子粒粒都皮薄飽滿，和牛肉味濃郁加芝士，味道豐富；菜苗帶子餃味道好鮮甜；菲菜豬肉餃同馬蹄冬菇豬肉餃都用上半肥瘦豬肉，口感豐富多汁；芋泥豬肉餃食得到芋泥香氣，一邊咬到鹹香的芋頭粒，一邊食到豬肉嘅鮮味。滾得囍餃子拼盤(10粒)$138手工珍珠帶子墨魚丸(4粒)$72半份份量有4粒，手打墨丸大大粒又入口爽口彈牙，裡面仲釀入珍珠带子令口感更豐富。手工珍珠帶子墨魚丸(4粒)$72黃金雙拼$88即係黃金炸魚皮同黃金響鈴，份量不少，非常足料，鹹蛋味重，而且能夠做到鹹蛋醬附在炸魚皮同響鈴表面，並呈流沙狀態，而且係新鮮炸起的，熱辣辣時食，真係份外美味。黃金雙拼$88滾得囍豐盛雜菜拼盤$78雜菜拼盤拼砌得像花盤咁色彩繽紛，包括有粟米、蕃茄、雲耳、蓮藕、菜心、娃娃菜、通菜同生菜等，份量好多！滾得囍豐盛雜菜拼盤$78足料竹蔗茅根(一渣)$78竹䉀茅根味道清潤，生津鮮渴，啱晒打邊爐時候飲用。
"
2023-08-15,4,4,4,4,4,"
北角·足料滋味官廷風火鍋滾得囍宮廷火鍋小炒📍北角馬寶道33號寶馬花園1樓116-125號舖➰剛去完日本旅行，回到香港開始急不及待相約朋友派發手信及聚餐，因為食了太多日本菜的關係，今日決定與朋友一起尋味香港的特色，正正是一年四季都熱愛的火鍋。.今日到訪的這間餐廳位於北角站附近約3分鐘路程，地點方便，以官廷風火鍋作招徠，除了一張彷製龍椅，還有一些古裝服飾供客人打卡，更在餐枱上用「聖旨」當作餐牌，甚具心思及氣派，而場內燈光環境偏暗，座位寬敞間隔成獨立空間，適合與三五知己暢聚。
.➰❀康熙花膠雞湯鍋(半隻)💲298⭐️4.3/5⭐️港式火鍋最大賣點當然是湯頭，餐廳的火鍋湯底選擇繁多，與朋友最後挑選了招牌的花膠雞湯，花膠雞湯亳不欺場，先上湯頭，之後分別由店員將兩大塊比面還大的花膠的剪塊落入湯底，加入半隻鮮滑雞炮製，不消片刻，一碗濃郁花膠鮮雞湯可以上碗，非常滋味滿足。
康熙花膠雞湯鍋康熙花膠雞湯鍋.𖥕厚切脆炸午餐肉💲68⭐️4.1/5⭐️近年與朋友火鍋都會叫上一碟脆炸午餐肉，剛炸熟的香脆午餐肉浸上火鍋湯底頓時令交隔，令口感層次都提昇，建議大家一試。.𖥕黃金雙拼(秘製鹹蛋黃醬)💲88⭐️4.1/5⭐️餐廳秘製的鹹蛋黃醬配上炸魚及及響玲，新鮮熱辣，上枱還有陣陣熱煙冒出，無論單獨吃還是火鍋都適合。
厚切脆炸午餐肉.❀本地牛頸脊騸牯牛肉(細)💲318⭐️4.2/5⭐️餐廳推薦而且每日限量的本地騸牯牛牛頸脊，肉紋色澤均勻不在話上，每片輕輕灼熟至嫩紅即可，入口輕輕咀嚼已經十分滋味，而且牛味濃鬱，牛魔王不容錯過之選。
本地牛頸脊騸牯牛肉本地牛頸脊騸牯牛肉本地牛頸脊騸牯牛肉.𖥕滾得囍餃子拼盤(十粒)💲138⭐️4.1/5⭐️餃子拼盤有5款餃子，每款兩粒，個人較為喜愛黑松露野菌餃，黑松露菌香非常突出。
滾得囍餃子拼盤.𖥕滾得囍雜菜拼盤💲78⭐️4/5⭐️最後亦叫了一盤雜菜拼盤中和一下油膩感，其中的栗米和蕃茄由竹籤串起，造形立體。
滾得囍雜菜拼盤.✥竹蔗茅根(一渣)💲68⭐️4/5⭐️.➰總結餐廳主打官廷式火鍋，特色火鍋湯底繁多，用料十足風味甚佳，而且各款火鍋配料都真材實料，由其稀有的騸牯牛，非常滋味。服務方麵店員亦不時加湯換碟等，熱心好客。加上餐廳的裝潢非常有格調十分打卡，整體環境舒適。
➿➿➿#滾得囍宮廷火鍋小炒#北角美食#hkfood#hkfoodie#foodiehk#hkfoodblogger#hkfoodlover#hkfoodstagram#hkfoodporn#852eats#hkiger##香港美食"
2023-11-17,4,4,4,4,4,"
天氣逐漸轉涼，更有了吃火鍋的意欲了。今次點了康熙花膠雞湯鍋（半隻/$318），花膠湯底用上龍崗雞，每日熬製八個鐘以上。店員先上湯底，再端上花膠及半隻雞並加進去。雞湯味道濃郁，不禁使人一連喝了幾碗。本地牛頸脊騸牯牛肉（細/$318）限定提供，打卡一流，牛肉油脂分布均勻。滾得囍餃子拼盤十粒（$138）有和牛芝士一口餃、新鮮菜苗帶子餃、韭菜豬肉餃、馬蹄冬菇豬肉餃及芋泥豬肉餃，各兩粒，都比較特別，兩個人分享就什麼口味都可以試一下了。滾得囍豐盛雜菜拼盤（$128）夠健康，蔬菜也都新鮮。黃金雙拼（秘製鹹蛋黃醬$88）有黃金炸魚皮及黃金響鈴，味道不錯。沙巴蜆（$88）鮮甜滑嫩，絕對新鮮！火鍋又怎可以不配冰涼的飲料，足料竹蔗茅根一渣（$78）清甜好喝，1664生啤（500mL$88）則清涼解渴！"
2023-11-15,5,5,4,4,4,"
今日黎到北角讓我們一同探索這家宮廷式火鍋店所帶來的味覺奢華享受
花膠雞湯鍋花膠雞湯鍋絕對是一道讓人驚艷的湯底。湯底清澈鮮甜，花膠的滑嫩口感與雞湯的鮮美完美融合。每一口都帶來了滿滿的鮮香，令人回味無窮。這家店嚴選新鮮食材，花膠的質感鮮美，為湯底增添了豐富的口感和滋味，給人一種宮廷美食的奢華感
手切本地手頸脊肉質鮮嫩多汁，每一片肉都經過精心的處理，口感細膩柔軟，帶有濃郁的肉香。這道菜的食材新鮮，肉質的鮮美和口感都是一流的，讓人愛不釋手。手切本地手頸脊是一道令人垂涎的美味，絕對值得一試
黃金雙拼(炸魚皮及響鈴)魚皮酥脆，咸蛋黃的香濃與魚皮的口感完美結合，每一口都帶來了濃郁的風味。這道菜的食材新鮮，魚皮的脆度和咸蛋黃的香濃度都是絕佳的，給人一種令人滿足的食用體驗。咸蛋黃炸魚皮及響鈴的口感和味道都讓人驚艷，是一道不容錯過的佳餚
豬頸肉片豬頸肉紋理緊實，肉質鮮嫩多汁，入口即化。每一片肉都經過細心處理，口感細膩柔軟，帶有豐富的肉香。這道菜使用的是新鮮的豬頸肉，質量優良，讓人吃得安心又開心。豬頸肉片的口感和味道都非常出色，絕對是一道能夠滿足味蕾的美食選擇
餃子拼盤當中有和牛芝士餃子，牛肉和芝士的搭配恰到好處，牛肉的鮮美和芝士的濃郁相互輝映。每一口都讓人感受到和牛的鮮嫩和芝士的香濃，給人一種極致的享受。這道菜的食材選用上乘的和牛，質量保證，給人一種高品質的味覺體驗還有新鮮菜苗帶子餃，餃子外皮Q彈有嚼勁，內餡則搭配了新鮮的菜苗和鮮美的帶子。每一口都能感受到菜苗的清爽和帶子的鮮甜，口感豐富新鮮菜苗帶子餃是一道能夠帶來清新口感的美食選擇
"
2023-11-13,5,5,5,5,5,"
天氣開始轉涼❄️，又到左打邊爐🍲既季節啦同朋友就搵左呢間非常特色出色既火鍋餐廳，餐廳風格名如其店，環境係好有特色既宮廷風，非常特別❤️
餐務服務態度亦非常Nice👍🏻火鍋湯底就簡左🍲，四川茶皇麻辣鴨血湯鍋😍一上枱麻香味撲鼻😋，食慾大增，麻麻香香辣辣咁，超級惹味，辣得爽辣得好過癮🔥，入面既鴨血份量多，大大塊，好有咬口
手切本地牛頸脊(細)就咁睇啲紋路就好靚，食落牛香味都濃厚，口感有咬勁，愈咀嚼牛香愈出，非常好食🤤
滾得囍宮廷餃子拼盤和牛芝士一口餃，新鮮菜苗帶子餃，韮菜豬肉餃，馬蹄冬菇豬肉餃，芋泥豬肉餃，各兩粒
黃金雙拼即炸響鈴同炸魚皮外皮都包滿鹹蛋黃，食落超級香口惹味，就咁食都好出色，作為火鍋食用更有風味
沙白蜆：隻隻都好肥美飽滿，味道更係鮮甜👍🏻
滾得囍豐盛雜菜拼盤：菜類品種豐富❤️
竹蔗茅根：夠清甜
"
2023-11-10,4,4,4,4,4,"
一到秋天，邊爐心癮起，呢種天氣雖然未到好凍，但都好想打邊爐啦，最近去咗北角呢間---🌟滾得囍宮廷火鍋🌟個名一聽就知係打邊爐為主，湯底都有好多款選擇🤩餐廳個環境仲好有宮廷古典風，個裝修好特別🤭._.🐥|康熙花膠雞湯鍋(半隻)|🐥見到個名又花膠又雞湯好似好濃好滋補，雞件真係半隻砌好一舊舊，大隻又肥美，花膠數量兩人食係堅多，落完花膠幾分鐘後就可以花膠連雞湯一齊飲，勁濃郁又鮮甜嘅雞湯味💕·🐂|本地牛頸脊騸牯牛肉|🐂牛肉上枱擺盤好靚好有仙氣，好啱打卡影相，牛肉砌成一片片雪花紋靚，淥一淥轉咗色就食得，肉質好腍身·🥟|滾得囍餃子拼盤（十粒）|🥟餃子一半一半味道，一半係肉餡，另一半係菜苗餡，一碟就已經可以轉換下口感，唔洗咁悶·🥬|滾得囍豐盛雜菜拼盤|🥬雜菜拼盤一盤數量多，種類又豐富勁有誠意，兩人食的話食菜都真心會覺得飽果種🫣·💛|黃金雙拼(秘製啵蛋黃醬)|💛蛋黃味勁濃勁惹味，尤其是個蛋黃醬魚皮好出色，香脆得黎又大塊，又有濃濃嘅蛋黃起沙口感·🦐|手打黄金流心鮮蝦丸（四粒）|🦐鮮蝦丸香濃彈牙，裏面仲有流心蛋黃，勁惹味又夠曬特別·🧡|足料竹蔗茅根（一渣）|🧡一渣兩個人飲剛剛好，又唔會太甜._.
"
2023-11-07,4,4,4,4,4,"
湯鍋:椰子藏雞Igable🤳加咗乾冰上鍋時煙霧離漫，超靚💕用一塊大腐皮裝住雞件同椰子，成個大福袋咁好得意😍本地牛頸脊騙牯牛肉（細）牯牛肉好適合打邊爐，肉味濃，肉質好柔軟軟腍厚薄適中，只需要1分鐘左右就可以食👍🏻
滾得囍餃子拼盤和牛芝士一口餃，新鮮菜苗帶子餃，韮菜豬肉餃，馬蹄冬菇豬肉餃，芋泥豬肉餃個人最鍾意菜苗帶子餃同埋馬蹄冬菇豬肉餃，呢兩款十分有口感好爽脆👍🏻
牛柏葉夠新鮮，切嘅size啱啱好可以一啖食晒👍🏻黃金雙拼(即炸響鈴及炸魚皮）激邪惡！響鈴同埋魚皮多沾滿咗蛋黃，10分正
滾得囍豐盛雜菜拼盤貪佢多種類，咩都有啲👍🏻
竹蔗茅根打邊爐最啱飲可以降吓火冇咁燥熱😋
