time,taste,environment,service,hygiene,indigestible,comments
2023-11-15,4,4,5,4,4,"
北角濟州燒肉食堂，是我和老公的半個飯堂。餐廳有個二人燒肉套餐，5百多元有齊五花肉，牛小排，雞肉，豬皮，牛花花及薯仔排骨湯，啱哂有選擇困難症既我！試勻各款肉，最好食係豬皮同雞肉，豬皮既口感q彈，雖然滿口是油，但幻想自己每口都是吃緊骨膠原，減低罪惡感。用蘋果梨汁醃的雞肉有果香及入味。牛肉及五花腩則較一般，上菜時雪到很硬，不算是精美貨色。燒爐旁邊有2個坑位，店員免費無限添加芝士栗米及泡菜蒸蛋。芝士栗米是我大愛，一個人吃了2round！今餐又係捧腹而回！"
2023-11-08,4,5,4,4,4,"
CametoJejuBulgogionaweeknight,therestaurantwashalffull.Weorderedthinslicedoxtonguewithhomemadesauce,therewere6slicesfor$138.Welikedthisdishalotbecauseofthetextureandtherightamountofseasoningonit.Thenweorderedthickchucktailflap,itwasaslightlymorechewytextureandnotalotofbeefflavour.Lastlyweorderedthe(famous)jejumegaibericoporkbelly,thefatcontentmadethismeatveryjuicyandtender,butnotsureifonepieceofporkbellyisworth$168.Thekimchisidesweregoodandthegrilledcheeseswithcornandeggwasalsoverynice!Dinnercameto$5xxLychee sodaThigh chuck tail flap$168Jeju iberico pork belly$168Thin sliced ox tongue with homemade sauce "
2023-10-30,5,5,5,5,3,"
家人生日，4個人點了一份3-4人套餐，雖然說是3-4人，但4人絕對是不夠吃的。豬肉和牛肉都淹制入味，肉質軟軟而不柴。推薦牛大骨和食堂五花肉，最後我們還追加了一份濟州五花肉和石鍋飯。濟州五花肉一大片，厚切，但是我還是覺得食堂五花肉比較好吃，可能淹的比較入味。唯一要彈的就是石鍋飯，鍋燒得很熱，但是裡面的飯確只是暖的，口感不太好，好明顯是飯後加入進去服務很好，會主動幫你加前菜、加芝士、加雞蛋。最後買單一千一百多，人均290，有點貴。如果肉的份量能多一點個人感覺會更值。石锅饭$98"
2023-10-01,4,4,4,4,4,"
今日10月1日本身想去食放題，可惜想食的那一間不能Book位，所以臨時改去左食濟州燒肉食堂，今次第2次食，點左，特級五花肉套餐，有豬同牛的拼盤，再跟一個紫菜飯，另加8蚊叫左杯青檸梅子，拼盤有五花腩幾好食，另外有個牛小排，中上啦～再叫左個，特級黑毛和牛上貝身肉，本人覺得無乜特別，反而杯青檸梅子幾好飲，免費加蛋，如果芝士栗米就要2個單點才包，所以我加左25蚊無限添，總結論好飽，好味，2個人都係400左右埋單如果10分滿分，我比7分
特級五花肉套餐/特級黑毛和牛上貝身肉(Hk198)$158"
2023-09-10,5,5,5,5,5,"
慕名而來非常火爆。整個過程就是一直排隊。還好我們來了幾次，掌握了規律。下午三點至五點這段時間人是最少的。其他時間來排隊時間打底一個小時吧。所以如果想來吃的話，一定要提前取號！最推薦大家吃的是放在小竹子上的雪花肉。應該是叫雪花肉吧。最喜歡吃的小菜是他們家的韓國泡菜，韓國泡菜是發紅的，這個是發白的，類似於中國傳統式的做法，到時候一定要多吃一點，超級無敵好吃！他們家的麻醬也是一絕。也是送的，到時候一定要嘗一嘗。配合著生菜捲肉吃，太滿足了。海帶湯海帶特別多，湯的口味鮮香，而且沒有很多調味料的感覺。一大碗夠兩個人喝的了。兩個人點了一份兩人的套餐，吃的飽飽的。整體評價上。適合情侶和朋友來吃
"
2023-08-16,5,5,4,4,4,"
下午時間經過北角匯，見到有間燒肉餐廳，裝修好靚，有海景，以為lunchmenu都幾貴，原來賣單可以$70，好抵食，叫咗個牛肉飯，份量幾大，仲送埋泡菜同青瓜做前菜。附近返工既人lunchtime又多一個選擇了😋😋😋
"
2023-08-12,1,1,1,1,1,"
呢間鋪頭有個戴眼鏡阿叔員工態度非常惡劣。當時因為要等位，所以佢就比左61號飛我。之後有位佢就嗌飛入座，佢當時係咁嗌59號飛，咁我手拎61號飛當然冇理會。佢突然就大聲話:「先生係你啦！」，我當時就話:「我拎61號飛」，佢之後仲話咩唔好曬口水講咁多😊明明係佢自己記錯，仲係到話人。我勸你咁唔想講嘢，都係匿返入廚房唔好出嚟，你啲服務態度好趕客。另外，嘢食都好一般，係商場會有其他更好選擇。呢間唔會有下次👎🏼"
2023-08-01,3,4,4,4,2,"
