time,taste,environment,service,hygiene,indigestible,comments
2023-11-11,5,5,4,4,5,"
#銅鑼灣地膽今次去異國風的火煱店-火鍋隨意門打邊爐！餐牌主打高質花膠雞湯鍋，滿滿以土耳其風格風裝潢，好啱打卡！🍲招牌花膠雞湯鍋
巨型嘅大大片厚身花膠，先會片上枱後剪開！滾一滾再飲一碗靚湯！呈鮮黃色嘅湯底係用上三黃雞新鮮熬製！難怪湯頭順喉濃厚，濃郁而不膩，十分暖胃！三黃雞係半熟狀態，煮5分鐘就食得，雞肉軟嫩！
🥩手切頂級安格斯牛肉（細）切得厚薄均勻嘅手切頂級安格斯牛肉，紋理清晰、肉味香濃、油脂香醇，肉質軟嫩無比！
🥟餃子拼盤（10粒）坐住餃子木馬嘅自家製餃子拼盤，有5款共10粒，包括有足料鮮蝦雲吞、白松露野菌豬肉餃、黑松露蟹肉餃、蟹皇豚肉餃同韭菜豬肉餃；一次過試哂咁多手工餃子，款款都咁好食！餡料爆滿！
🍢黃金雙拼至愛嘅咸蛋黃醬響鈴同即炸響鈴，香酥鬆脆，味道香濃！口感脆卜卜唔油膩！
🥬特盛蔬菜拼盤多種新鮮蔬菜的組合，包括嫩綠嘅蔬菜、番薯同蘿蔔等！
🎋蜂蜜菊花烏龍茶色澤透亮嘅烏龍茶，用左好靚嘅茶壺，清香又帶點甜，非常滋潤。火鍋隨意門📍地址︰銅鑼灣堅拿道西10號
"
2023-10-30,5,5,5,5,4,"
餐廳入面有三個唔同嘅主題，分別係日本、中國、土耳其，每個主題嘅門口就好似一個隨意門，瞬間由一個地方去到另一個地方。今次被安排到中國特色嘅座位，坐係傳統木造嘅凳打邊爐。椰漿雞濃湯鍋湯底用新鮮椰子和三黃雞熬煮而成，新鮮椰肉打成椰漿，令椰子味非常香濃，香氣彌漫在整個鍋裡，每一口湯底都帶著椰香和雞肉既鮮甜味道，雞件嫩滑。椰漿雞濃湯鍋$298椰漿雞濃湯鍋$298椰漿雞濃湯鍋$298手切頂級安格斯牛肉（細）每片牛肉都切得均勻而且薄，油花分布均勻，食落去特別香嫩，肉質結實帶油筋且油脂甚多。手切頂級安格斯牛肉（細）$298澳洲帶子片帶子片放落滾燙好快熟，煮熟後仍保持鮮嫩口感，鮮甜味道同湯底充分融合。澳洲帶子片餃子拼盤（10粒）分别有黑松露蟹肉餃、蟹皇豚肉餃、韭菜豬肉餃、足料鮮蝦雲吞、白松露野菌豬肉餃5款，餃子餡料鮮嫩多汁，黑松露蟹肉餃散發著濃郁旳黑松露香氣，蟹肉餡料鮮美豐富，蟹皇豚肉餃結合了蟹黃和豚肉，口感十分美妙，韭菜豬肉餃令人回味無窮，足料鮮蝦雲吞皮薄而有彈性，內餡滿滿的鮮蝦，咬落去爽口，白松露野菌豬肉餃非常出色，豬肉既鮮嫩和野菌既香味完美結合。餃子拼盤$148特盛蔬菜拼盤有多款時令蔬萊，包括白蘿萄，南瓜，蕃茄、金針菇、娃娃菜、生菜，白蘿蔔吸收湯底既味道，增添一份清爽既口感，南瓜口感柔軟，蕃茄鮮甜，娃娃菜和生菜脆嫩爽口。特盛蔬菜拼盤$128蜂蜜菊花烏龍茶用左地球儀既器皿裝住金黃色嘅茶湯，清澈透亮，蜂蜜、菊花、烏龍芳香甘醇既組合，非常滋潤。
蜂蜜菊花烏龍茶"
2023-10-18,5,4,4,4,4,"
強烈季候風殺到😌涼涼地係時候打邊爐啦！上網見到銅鑼灣火鍋隨意門嘅裝修超特別💖成間鋪都好多土耳其吊燈，好適合打卡！
招牌花膠雞湯鍋呢度必叫就係呢個湯底，滾地左先飲一碗頭啖湯！
金黃色嘅雞湯濃厚得黎好清甜🤤店員會再幫手剪開啲花膠，滿滿骨膠原嘅花膠多到最後食唔岩😆
而已經半熟嘅雞再滾多3分鐘，雞唔算太肥但黃油香都好突出，雞肉又夠嫩滑😋
蘋果木煙燻手切牛頸脊
每塊牛頸脊都幾厚切，淥10秒微微粉嫩就可以開動❤️牛頸脊脂肪較平均，牛肉味重，帶有一點爽口！餃子拼盤
有五款唔同嘅餃子，每隻都脹卜卜好飽滿🤗足料鮮蝦雲吞鮮蝦大隻又爽脆😛韭菜豬肉餃韭菜餡爆多😜白松露野菌豚肉餃菇菌味道清新令人眼前一亮🤩黑松露蟹肉餃蟹肉一絲絲，黑松露又唔會搶走蟹肉嘅鮮味😍蟹皇豚肉餃蟹膏鮮味又惹味，無得輸🥰黃金雙拼
鹹蛋黃炒響鈴非常酥脆😚鹹蛋黃炒炸魚皮好味到同朋友搶食最後個塊😆豐盛蔬菜拼盤
裡面有生菜、油墨菜、娃娃菜、南瓜、白蘿蔔、番茄、黑木耳全部蔬菜都好新鮮又鮮甜👍蜂蜜菊花烏龍茶
用地球儀裝野飲都係第一次見🤪冰凍嘅菊花蜜打邊爐飲佢，夠哂降火😇火鍋隨意門(銅鑼灣)銅鑼灣堅拿道西10號冠景樓1樓A室
"
2023-09-27,4,4,4,4,4,"
