time,taste,environment,service,hygiene,indigestible,comments
2023-11-14,5,5,5,5,5,"
係旺角行到餓跟住瓊華條人龍就會搵到美食😈天氣轉涼緊係要圍爐取暖😆食韓式燒肉就一定無錯😎二話不說直上🖐🏻字樓唔該☺️職員速度超快坐底轉個頭就鋪好
爐邊泡菜蛋🥚+芝士粟米🧀🌽芝士粟米真係好邪惡😈但真係好好味🥺🥺仲要無限refill😢點鮮餐廳咁邪惡架🥺🥺
🥩風味牛肉拼盤牛前胸肉//蔥蒜牛五花//牛小排//牛舌每一片嘅大小/厚度都對得住價錢👍🏻蔥花牛五花入哂味好正牛舌又貼心地提供埋一小舊🍋檸檬揀唔到食咩部位呢個一定係好推介🉐
🐖炑八厚切五花腩燒之前會先換一塊鐵板再有職員專業地幫手燒🤭只需要乖乖坐底等食☺️
🥬生菜包燒五花腩再隨心加泡菜/豆芽呢個天作之合真係食幾多都唔厭😋😋🐓梨汁雞腿肉雞肉燒完都仲好嫩👍🏻
🍜韓式水冷麵份量超多兩個人食都食唔哂麵條好煙韌彈牙味道又岩岩好唔會太淡配埋重口味嘅燒肉中和返啲油脂😉
🧀芝士泡菜煎餅又一邪惡之作😈😈重泡菜個邊煎到少少香脆愈食愈香口👍🏻👍🏻
🍫夾心棉花糖配朱古力威化餅呢個係👀👀👀隔離飯香後加🤣家姐研究左個新食法💭先將棉花糖燒到外脆內軟再幾消化餅插入中間
變左棉花糖包消化餅又真係幾好食🤤🤤
🥤皇牌士多啤梨乳酸梳打酸酸甜甜好好味😋唔會有菜水味🤣🥤白桃梳打真材實料👍🏻有1/4個新鮮桃😋甜絲絲的感覺☺️呢餐係增肥餐😆我食左一隻牛落肚🤫勁滿足咁抱住個肚腩走
"
2023-09-03,4,4,4,4,4,最近食韓燒就諗起炑八，款式多而且經常有新菜式，今次嚟到旺角瓊華分店。我地一坐低，職員先送上啲開胃前菜同沙律🥗，前菜都有好幾款（芽菜、泡菜、酸蘿蔔），沙律菜酸酸甜甜，新鮮翠綠！仲有無限添加爐邊泡菜蛋同埋芝士🧀，真係要不斷encore。今次我哋無叫餐，散叫咗幾款。韓式紅蝦大大隻🦐，新鮮爽口又彈牙。特級牛肋骨🐮：肉味濃郁，油花分佈平均，肉質好柔軟。韓式豬皮配炒芝麻：燒豬皮好香，食落軟糯，充滿膠質，加埋啲炒香芝麻更加美味。炑八厚切五花腩🐖：呢個五花腩係每次嚟都必點嘅，如果驚唔識燒仲可以搵職員幫手，燒呢個五花腩比較特別，職員會攞一塊特製嘅板用嚟燒，唔會好似用網咁容易燶。五花腩夠晒厚身，食落好豐富嘅口感，肉質嫩滑多汁，油脂分佈均勻，燒出嚟好香。加啲生菜包住食一樣咁好食，而且仲無咁膩添。甜辣炸雞半份🐔：雖然只係嗌咗半份不過份量都好多，味道甜甜地又帶少少辣，外皮香脆，非常滋味。食炸雞飲酒是常識吧，睇韓劇啲韓國人會飲馬格利生米酒🍶，我哋又學人試下，不過原來啲酒都幾烈，而且充滿米香味，而且佢係用個杓筆落隻碗度飲，感覺幾過癮。甜品方面，今次揀咗個夾心棉花糖配朱古力威化餅，將燒溶咗嘅棉花糖夾入去消化餅一齊食，又幾好味喎。
2023-09-01,5,4,5,4,4,"
已經有一段日子沒吃韓式燒肉，這次和朋友來到「炑八韓燒」的旺角分店，餐廳位置充足，場內不斷聽到流行kpop歌，相當熱鬧。最喜歡餐廳可以任食小菜、粟米芝士和邊爐蛋～<韓式紅蝦>$98一共有4隻紅蝦，顏色鮮豔，蝦頭有更有不少蝦膏，燒過後肉質鮮甜結實。<特級牛肋骨>$288牛肋骨份量十足很長，本來應該有有醃過作調味，所以都不需要額外加調味，肉質軟淋易入口，我們都認為是必叫item！<韓式豬皮配炒芝麻>$78坦白說平日很少點豬皮，店員極力推介便點來試試，一盤有6件，薄薄地好快就燒熟。口感質感煙韌，滿滿骨膠原，建議加上炒芝麻同紫菜一齊食用。<炑八厚切五花腩>$138店員幫手燒五花腩，始終分量比較大，難控制時間。店員使用一塊鐵板架並放在燒烤盤上，再將切好的五花腩塊翻面燒熟。聽說鐵板是餐廳專門訂做，既可以加快燒好食物的時間，又不阻礙客人自己動手燒肉的樂趣，幾有特色！五花腩肥瘦適中，加上包飯醬同生菜，入口油香滿滿但不油膩～
<甜辣炸雞>$118半份有骨甜辣炸雞，醬汁均勻分佈在炸雞上，但又未至於令到炸皮變淋身，香甜微辣的醬汁遇上嫩滑的雞肉，大滿足呢。<夾心棉花糖配朱古力威化餅>$68甜品則選擇了充滿中學回憶的烤棉花糖！除咗了棉花糖之外，還伴有威化餅同朱古力餅，用火慢慢烘熱棉花糖變流心狀，夾在兩片威化餅中間入口棉花糖拉絲軟棉，甜蜜滿分<馬格利生米酒>$98今次點了原味米酒，米酒以碗裝上，味道微甜不嗆口，感覺酒精濃度不算太高，超級適合配搭燒肉"
2023-08-25,5,4,4,4,4,"
旺角🚇呢間炑八韓烤食品款式🇰🇷多完化，而且係瓊華中心好就腳👍，服務唔錯價錢💰亦合理，十分之適合同朋友一齊來食吓🥩燒肉、炸雞🍗，再飲返杯！
一坐低🪑就有多款🇰🇷韓式泡菜、沙律🥗，同埋生菜🥬供應，而且仲可以任食🌶️泡菜爐邊蛋🥚同埋芝士🧀️粟米🌽粒。
🔥燒肉我哋揀咗🤩炑八厚切🐷五花腩、特級🐂牛肋骨、韓式🐖豬皮配炒芝麻同埋🇰🇷韓式紅蝦🦐。五花腩勁厚😍，而且肥瘦兩間咬落好有😋層次。韓式🐖豬皮烤完超級香，入口軟滑🤤加上佢特製嘅醬汁同埋沾上🔥炒香嘅芝麻紫菜一口傾心❤️。紅蝦🦐十分大隻，肉質爽口又鮮味🥰。
我最鍾意😍嘅就係特級🐂牛肋骨，超級大條👍油花分布均勻，燒香咗之後😋入口肉質細膩，深得我心❤️。
