time,taste,environment,service,hygiene,indigestible,comments
2023-10-07,5,4,4,4,5,"
觀塘人一定識呢間公司，就係「為食火鍋公司」
雖然市面上有數之不盡的放題火鍋店，但係呢間就連平日的晚上餐廳都長期爆滿，賣點之一就係靚料，每人300多元就可以食到雞煲+刺身+燉湯+前菜+新鮮海鮮拼盤+不同部位的牛肉拼盤，大胃王朋友已經將佢列為口袋清單之一！
同平時食開的任食火鍋有少少唔同，流程如下：豪食套餐酸菜魚：唔少人都會點雞煲，因為可以無限refill，但係不妨嘗試一下酸菜魚，口感幾滑無骨，可以自選辣度，放心吃，份量唔會太多，不會影響之後發揮火鍋：終於入正題！海鮮拼盤真心覺得質素唔錯，如果人越多海鮮的款式越多，當中我最愛蟶子、鮑魚、龍躉片，平時食放題真係好少會咁重本
豪食牛肉拼盤：潮汕五花趾、手切牛頸脊、黃喉、一口牛、和牛肩胛肉眼芯肉質不錯，同平時的火鍋店散叫的水平差不多，也不會極薄沒有口感，大口吃肉，喺呢個時候已經飽了70%如果仲有空間，最好試吓呢度既招牌「濃汁牛肉丸」「手工雲吞」「流心芋泥貢丸」勁高質，比一般放題店質素高，火鍋配料都幾齊，而且冇限時，唔需要食得咁急，記得提早book位值得一提的是餐廳店主非常有愛心，餐廳以可愛的哥基做招牌，亦有捐款到阿棍屋作動物收容及救援工作 —————————————————為食火鍋公司(觀塘)觀塘創業街15號萬泰利廣場地下C號舖—————————————————⠀⠀⠀⠀⠀⠀⠀⠀⠀#hkfoodie#hkfood#hkfoodblogger#hkfoodpic#hkfoodstagram#foodie#foodporn#foodphotography#foodgasm#hkinfluencer
"
2023-08-09,5,5,5,5,5,"
為食火鍋公司位於觀塘區，搭地鐵牛頭角站落車好方便。呢間火鍋店舖頭外有個義賣區，主要係幫動物協會籌款，非常好。鋪頭2週年有新款牛同埋可以做會員儲分。今次我就揀左$368冇限時火鍋盛宴，早一日訂座仲送燉湯👍🏽套餐包左好多野食。首先就有自選餐前小食，包括薯條、炸雞、沙律、炸大腸，全部都熱辣辣。👍🏽食完仲可以添食。食完餐前小食，就有五點刺身盛合，刺身有三文魚、帆立貝、北寄貝、油甘魚、赤蝦。刺身賣相精緻而且新鮮👍🏽刺身完就可以揀酸菜魚或者雞煲。咁我哋揀左雞煲。咁雞煲食哂唔夠仲可以再加添。雞煲個醬汁好惹味，食到咁上下仲可以加D豬皮同埋魷魚落去炒，索埋d醬汁👍🏽食完雞煲就揀火鍋湯底，今次我地揀牛尾湯。呢個套餐就包一次性海鮮拼盤同埋牛肉拼盤。海鮮拼盤有7款海鮮，樣樣都新鮮。蜆同蟶子都無沙，一流👍🏽牛肉拼盤有8款唔同部位嘅牛，最特別係黃喉，食落幾爽口。至於任食火鍋配料方面，牛肉種類都幾多，幾好食。手打黑/白滑都好足料，基本上每舊滑都有墨魚肉/蝦肉👍🏽一口雲吞皮薄用料十足👍🏽
"
2023-07-30,4,4,4,4,4,"
這間在觀塘工業區內，距離牛頭角地鐵站行一條街，不要去到觀塘站落車，不然要走很遠！想不到都有很多人去食，可能是因為抵食、環境大、有gimmick，所以吸引很多人去食！我和朋友都是選擇了$288無限時火鍋放題套餐🔸Round1餐前小食（食完就去下round,之後不能返轉頭食round1）炸瘋薯條、甜蕃薯條、唐揚脆炸雞、蟹籽沙律、酸甜炸大腸、鮑汁雞腳我最推薦鮑汁雞腳，它煮得很入味，而且很大隻又多肉！🔸Round2三點刺身盛合（一次性）餐廳會按當天新鮮的刺身上菜，我當天是三文魚、牡丹蝦、赤貝～刺身意想不到地好，新鮮又甜美！🔸Round3酸菜魚(一次性)/任食雞煲我們選擇了酸菜魚，因為考慮到之後會打邊爐，會吃豬肉牛肉，所以不吃這麼飽！酸菜魚肉質鮮嫩，裡面除了有酸菜，還有薯粉，很入味！🔸Round4火鍋盛宴(櫻桃鮮茄薯仔/黃金皮蛋芫茜/高湯牛尾/麻辣鍋)我們想食辣所以選擇了麻辣鍋▪️海鮮拼盤(一次性)是日精選：鮮蝦、蠔、蜆、半殼元貝、脆肉鯇因為怕蜆有沙，所以我們最後才落海鮮，想不起來海鮮幾新鮮，蝦是彈牙，蜆沒有沙，蠔及元貝很大隻！▪️牛肉拼盤(一次性)潮汕吊龍伴、黃喉、手切牛頸脊、熊本雪花一口牛、SRF和牛肩胛肉眼芯這些都是靚材料，所以只是一次性，沒有得再點，也是好的，因為物以罕為貴！🔸任點火鍋配料（無限點）SRF和牛腰脊肉、美國Prime牛胸腹肉、美國Prime肩胛肉眼、紐西蘭羊卷肉、鹿兒島茶美豚很欣賞它們都切得很薄，可以吃很多塊！強烈推介濃汁牛肉丸👍🏻它是大埔振興濃汁牛丸，咬開好多汁，所以我們點了十粒！麵類有日本葛絲、薯粉、出前一丁、手打烏冬，全部麵都好食，一定食到飽飽回家！另外有鵝腸、鴨血、珍寶蟹柳、芝士腸、午餐肉、手工雲吞及韭菜餃、紫菜響鈴、炸魚皮可以點，這些都是好食！出面自助吧有好多蔬菜可以取，例如有娃娃菜、生菜、金菇、雞髀菇、粟米等等仲有兩個大雪櫃可以飲品任飲，有汽水、涼茶、茶！"
2023-07-24,5,5,5,5,5,"
💁🏻‍♀💁🏻💁🏻‍♂️️💁🏿‍♀️💁🏿💁🏿‍♂️🏷為食火鍋公司@觀塘/牛頭角@hotpotfoodiehk裝修乾淨企理，店員好熱情為我地介紹，見到好多狗狗牆紙，非常療癒無限是任食火鍋，食物唔止火鍋，特別嘅係頭盤前菜以及刺身都令人相當驚喜，可以話係超級出色💁🏻假日豪食套餐$378/位各位記得提前訂位，會有足料燉湯贈送邊爐分咗5round進行，而每到下一round就唔可以叫反轉頭第一round：任食嘅餐前小食我地先按人頭份量落單，唐揚炸雞非常出色，甜番薯條、鮑汁雞腳以及蟹籽沙律，我哋都有再次追加第二round：五點刺身盛刺身成為一次性，不可追加，估唔到喺火鍋店食嘅刺身竟然可以咁新鮮，有意外驚喜第三round：一次性為食酸菜魚/任食雞煲我哋揀咗酸菜魚，估唔到咁足料，入邊仲有寛粉，非常煙靭第四round：火鍋盛宴有一次性海鮮拼盤以及豪食牛肉拼盤，海鮮好新鮮，牛肉超級多，細心嘅係都有個牌仔喺上邊，介紹係邊一款牛肉其他食物任點
是否推薦↩️？✅ys，超級滋味，大滿足，一次過可以食多種食物，仲要有質量保證添"
2023-07-20,5,5,5,4,5,"
