time,taste,environment,service,hygiene,indigestible,comments
2023-08-28,4,4,5,4,4,"
趕係限水產令生效前夕，黎到尖沙咀呢間焱丸水產食番夠皮先😆呢度行日式居酒屋格局，有店員專人處理燒物，客人安心暢談等食就得😌嗌左幾款磯燒，質素都唔錯！蟹味噌甲羅燒($68)黑松露蟹肉甲羅燒($75)
香噴噴、熱辣辣的甲羅燒根本冇得輸😋原味的蟹膏味都重，啖啖蟹籽卜卜口感，加左黑松露更加香，鮮味倍增👍烏賊磯燒($75)
呢個燒烏賊好得❤️店員細心剪成小塊，濃郁的醬汁均勻塗好，表層仲保留到少少炭香味😀好好食
帶子磯燒($68)三文魚籽帆立貝燒($80)
呢度的磯燒值得升級👍🏻鮮味的帶子+三文魚籽口感+蒜香金菇索汁+青椒的香氣，好Rich👏🏻牡蠣殼燒($136/2)燒蠔都一樣好鮮味～刺身5盛($280)：
有三文魚、吞拿魚、油甘魚、帶子、海膽，而且款款厚切，好滿足😛刺身質素都唔錯，比想像中更新鮮，特別鐘意吞拿魚同油甘魚，爽滑有咬口鹽燒三文魚鮫($128)
好重魚油香味，只要加少少鹽吊味已經好Perfect🤩啖啖三文魚肉+脆魚皮，油脂溢出，正三文魚中卷($88)
呢度的三文魚物都真心唔錯～卷物內餡都幾豐富，最後以一片好滑的三文魚刺身包住，每啖都Oishi檸檬可樂Highball($58)＆極上烏龍茶($58)咁多美食點都要嗌番兩杯高興下😗兩杯都係唔太重味的酒精飲品
雖然呢度位置唔多又好爆場食完差不多要走，但食物非常美味，價錢合理，係好滿足的一晚🩷🩷
"
2023-08-06,5,5,5,4,4,"
冇啦啦老公話過嚟接我收工，但走咗去泊低架車🤨見面時先話佢想食焱丸，接我收工只係套路🤣餐廳係棉登徑既最盡頭，不用懷疑一直向前走到尾就係。餐廳裝修以木系為主，掛咗好多日式燈籠同poster，好有地道日式居酒屋風味😻
今次佢大人發板，我就揀下飲咩。不過居酒屋我都只係飲我最愛既梅酒😛梅酒味道偏甜，但都feel到有啲酒精濃度，適合加冰飲老公揸車就揀咗白桃梳打，夠凍啱曬熱辣辣既天氣飲
一嚟整個沙律，不過係薯仔既😳我心諗一嚟就飽肚之後點食呀，本身都係諗住食少少就算點知！好鬼好食呀喂🤣唔會過多沙律醬，薯仔好香糯，加埋滿滿既飛魚仔真係食到停唔到
居酒屋就梗係食刺身，刺身五盛有海膽三文魚帆立貝吞拿魚同油甘魚，款款都厚切，一啖落口好滿足🥰
老公鍾意食三文魚，叫咗個三文魚拼盤同三文魚富士山🗻🫨三文魚拼盤有5款唔同類型既三文魚壽司，唔同配搭都好好食
三文魚富士山下面係包住青瓜絲既小卷，上面好似瀑布咁鋪滿曬三文魚粒同三文魚子，老公話今次真係大滿足啦🤣
我最鐘意既甲羅燒終於出場😻超多蟹膏呀！所有磯燒會有職員幫手燒，所以唔識燒既都唔需要擔心，個爐係旁邊，一邊燒一邊聞到勁香呀😚
野菜天婦羅有6款，竟然有小青椒😻等我先下手為強食曬佢先🤣天婦羅外層脆漿好薄唔油膩，炸得好好食
老公話燒隻甲羅燒唔夠喉，不如燒多兩隻鮑魚🙉嚟到真係哇咗聲，鮑魚好大隻呀🙉而且非常生猛，職員即刻丟咗佢上去燒，好新鮮🤤
燒好既鮑魚都非常厚肉！而且𠝹開燒更加快熟之餘仲可以balance個熟度，真係燒得剛剛好！一啲都唔韌好軟糯🤭
飯桶表示要食飯……………..之香蔥和牛炒飯🤣成個飯好香和牛既油脂香味！炒得幾乾身而且份量都好大😳雖然我真係9成飽但都忍唔住食咗兩碗細
男人發板就是玩闊肚窄但食得超～滿足🤣今次又比佢養肥我，下次再嚟到我養肥返佢😛"
2023-07-22,5,4,5,4,4,"
焱丸水產以浜燒為佋徠，以新鮮水產海產，活捉浜燒，香噴噴味道令人食指大動。裝修充滿東瀛特式，牆壁貼滿懷舊和式掛畫，天花懸掛七彩的旗幟和燈籠，令人全情投入於日本美食。
焱丸活貝特盛528特盛是鮮味大集匯:鮑魚、生蠔、帆立貝、及蜆肉，鮑魚圓潤厚身，燒至邊緣微微焦色，肉質彈牙、帶嚼勁，啖啖純樸的鮮香。燒蠔如手掌般大，肉身肥美，倒上清酒燒製起泡，口感綿化，香嫰肉汁在口腔散發，滑溜可口。帆立貝爽彈，連醬汁呷入口，細膩滋味，鮮味停不了。蜆肉質感挺身，清酒令肉質更加香滑，鮮香無比。
浜燒當中，當然少不了蟹甲羅燒，把蟹甲羅放在烤爐上，用上一梳梳蟹肉、蟹膏、蟹籽及鵪鶉蛋等，慢慢拌勻材料，燒至微焦。用匙子盛一口品嚐，濃稠的蟹膏配上的蟹籽粒粒，每口濃郁的鮮香，令人回味!麻醬蕃茄豆腐沙律68蕃茄香甜多汁，在白滑的豆腐倒上稠密的胡麻醬，清爽味蕾，拌勻爽脆的沙律菜及粟米粒，十分透心涼。什錦天婦羅150熱呼呼天婦羅:炸蝦、南瓜、茄子、蕃薯、冬菇和秋葵等，酥香可口，甘香滋味。炸蝦香酥清脆，茄子內裡濕潤軟綿，蕃薯、南瓜帶清新的甜香，令人意猶未盡。鹽燒三文魚鮫128油甘魚鮫香氣撲鼻，外皮金黃，魚皮脆卜卜之餘，帶淡淡焦香。魚肉綿厚，魚油豐盛，用筷子輕輕夾出魚面肉，鮮味充滿口腔，細膩滋味。香葱和牛炒飯180米飯用上和牛肉、雞蛋及葱粒炒製，炒至金香、粒粒分明，葱粒爆香後惹味，十分滿足，感覺䁔笠笠。
冰菠蘿梳打68入口是蜜甜的菠蘿香，清新解渴，咬一口多汁的菠蘿肉，果香滿滿，更加消暑!·青蘋果颱風乳酸68微酸青蘋果園，清新味蕾，青蘋果味酸爽清新，吃完浜橈後，呷一口喉嚨舒暢。
"
2023-07-19,5,5,5,5,5,焱丸水產開業多年，主打浜燒海鮮，即日本漁民即捕即燒的食法，店子裝潢和風十足，走日式居酒屋的風格，這裡甲羅燒是必食之選，蟹蓋內放了滿滿的松葉蟹肉、蟹膏、三文魚子，燒時先把鵪鶉蛋倒入拌勻，鮮味十足。另外亦有各款日式料理，如丼飯、鍋物、壽司、卷物等供應🍣▪️超豪華12件壽司盛$238套餐包括：味噌湯、茶碗蒸、麻醬豆腐、沙律師傅會挑選當天日本直送最新鮮既食材給予顧客，每件新鮮鮮味，難分高下🐠▪️左口魚刺身$168新鮮，魚肉淡味帶煙靭，配合店舖自家製嘅酸汁，非常唔錯✨▪️赤貝$136赤背刺身肥美新鮮又爽脆🦀▪️芝士蟹肉甲羅燒$75🦀▪️黑松露蟹肉甲羅燒$75此店名物，每台必點，甲羅燒有蟹肉，蟹膏，蟹籽，鵪鶉蛋，蔥花，燒完之後蟹膏味道超香超濃，兩種口味芝士和黑松露，不同風味都咁好食，就咁食或者配上青瓜沙律都可以🦐▪️大蝦鬼殼磯燒$130大蝦肥大肉厚，燒完之後鮮味滿滿，非常彈牙✨▪️鮑魚殼燒$136鮑魚燒之前仍然郁動，好新鮮，口感煙韌，不需添加任何調味料，食出鮑魚鮮味🦪▪️炸牡蠣吉列$80炸蠔超級巨型，吉列炸漿做得好鬆脆粉漿又夠薄，包圍住好Juicy又飽滿嘅蠔，一口咬落去蠔汁滿瀉，好鮮味🥒▪️青瓜海藻蟹肉酢$55開胃嘅前菜，青瓜海藻爽口爽脆，加上新鮮蟹肉和三文魚籽，味道酸酸咪咪中帶鮮味🍍▪️冰菠蘿梳打$68原塊大菠蘿，好清甜，有得飲又有得食🍐▪️洋梨梳打$58梨子清香又清甜，食完燒物飲非常唔錯
2023-06-21,5,5,5,5,5,"
同朋友去尖沙咀行街，心血來潮好想食日本嘢，就上網搵咗呢間都幾多人介紹過嘅焱丸水產試吓啦，入到去裏面個裝修同日本簡直係一模一樣嘅牆上面痴晒一張張寫滿日文嘅海報，每張枱上邊都有個日式烤爐而且仲有真嘅日本人幫襯添，唔使問都知呢間嘢夠地道啦
首先我哋叫咗幾款燒物，分別係每次去日本都要食嘅味噌甲羅燒
同埋大大隻嘅新鮮帆立貝，店員仲要主動幫我將嘢食放上去燒，呢方面一定要加分
有人幫你燒埋真係正個蟹膏加埋生嘅蛋撈埋一齊真係超好食跟住仲有大大粒嘅原隻帶子
配埋特製嘅海鮮醬油真係勁新鮮
之後我哋仲叫左啲刺身壽司，有呢個左口魚刺身加大隻嘅甜蝦同埋好新鮮嘅赤貝
仲有三文魚壽司添，特別之處就係每件嘅上面都擺咗唔同嘅配料，例如海膽，黑松露，三文魚子之後仲有呢個和風芝麻沙律，加咗呢個胡麻醬到即刻變到好和風撈埋啲菜一齊食好清爽
跟住仲有一個新鮮炸嘅海膽天婦羅，估唔到海膽都可以炸，紫菜包住海膽好好食最後仲叫咗一碗勁大份嘅和牛炒飯，唔好睇佢係一個平平無奇嘅炒飯，其實入邊係勁多粒和牛，而且食去真係和牛級數絕對冇偷工減料㗎我同朋友都嗌咗佢哋嘅燒酒，有好多款唔同嘅味道好似橙，菠蘿，檸檬，梅等等。我嗌咗呢個菠蘿味嘅燒酒，真係成支菠蘿冰擺咗入去，勁得意過嚟影相亦都一流真係好正啊
一定會再返嚟呢度食
"
2023-11-16,5,5,5,5,5,"
