time,taste,environment,service,hygiene,indigestible,comments
2023-11-13,4,4,4,4,4,"
開始踏入秋季，除了打邊爐及大閘蟹外，燒肉都是一個不錯的選擇，今次朋友帶我到呢間日式燒肉店就好有特色，除了自己燒外，亦有專人燒肉服務，特別是海鮮，咁就唔驚浪費咗啲食材👍🏻餐廳以深木色為主調,設計好有日式居酒屋feel,晚上好熱鬧
我地今次揀咗個2人餐，非常的豐富，有不同肉，仲有加拿大龍蝦，非常的抵食👍🏻🌟二人餐🌟🥢前菜：先來前菜及沙律，都已經好豐富🔸酒盜薯仔沙律-咸香酒盗，配上薯仔，味道平衡🔸螢光魷魚-鮮味飽滿🔸味淋魚乾-香脆惹味🔸胡麻豆腐沙律這些都係下酒菜，很適合我地，因為我地點了他們的90分鐘任飲清酒既酒，所以這個前菜剛剛好👍🏻
🥢牛肉盛合(日本和牛三角胸小排、日本和牛背峰、日本黑毛和牛後腰蓋柳、美國牛小排、美國prime級三角肥牛、美國封門柳、美國牛板腱)牛肉盛合內一共有七款牛肉，當中3款是日本和牛，另外4款則是美國牛。和牛油脂較多及分佈平均，所以燒後很肥美，入口嫩滑；至於美國牛則比較有肉味，各有好處，2款我都大愛🥰
🥢柚子雞腿選用雞腿肉，嫩滑又有口感，配上柚子醬汁十分清新，店員教先放在側邊燒10分鐘，然後再放中間烤香表皮，果然成功，雞肉嫩，而雞皮脆邊。
🥢野菜盛合燒肉當然要有蔬菜，這個野菜盛合包括翠肉瓜、粟米、青椒、雞髀菇及南瓜等，食材新鮮，邊食肉邊吃菜，有效減膩。燒時店員仲幫手塗上牛油，增加香味，更美味😋
🥢紫菜蟹肉飯這個紫菜蟹肉飯有驚喜，蟹肉份量頗多，再加上紫菜香味，拌著飯一起食好滋味，加埋燒肉更豐富。
🥢加拿大龍蝦🦞加拿大龍蝦由師傅處理，所以完全放心，簡單燒好再加蒜蓉牛油，這樣最食得到龍蝦的原味道。龍蝦新鮮彈牙，吸收了牛油🧈及蒜蓉香味，好好味😋
🍰甜品:泰式奶茶蛋糕/宇治抹茶芝士蛋糕吃過燒肉，還有甜品，正！我同朋友各詜要款，我的的是泰式奶茶，蛋糕鬆軟，而且泰奶茶味道很好，不錯👍🏻
🍶90分鐘任飲sake（HK$148)這個抵飲之餘也好玩，餐廳有一部自助清酒售賣機，先掃碼後斟酒，一共提供18款清酒讓你自斟自飲，旁邊有簡單介紹清酒的種類及特性，各人可按自己的喜好選擇喜歡的清酒，選擇種類也不少，不錯👍🏻
另外亦包括90分鐘任飲菊花蜜，清潤好味，燒肉最佳。
"
2023-11-01,4,4,4,4,4,"
