time,taste,environment,service,hygiene,indigestible,comments
2023-09-04,5,4,4,5,5,"
因為工作原因，我終於捱過左個暑假，所以豬先生為左我唔使攪咁多野，可以輕輕鬆鬆咁享受下，帶我去左牛大人食💕總共有成10個湯底可以選擇，我地懶健康咁簡左個養生鍋，黎到冇藥材味反而有好香既胡椒味，鍋入面有蔬菜、少少藥材同桃膠，飲左半碗清清地而且順喉☺️
醬料區好多唔同款式，餐廳有一款洋蔥牛肉醬同特調豬肉醬係自己調配，而且我最愛既芫茜係會不斷refill💕飲品區有5大個雪櫃，琳瑯滿目，仲有d台式特飲係自己落單送黎，推介佢地個烏梅汁，酸酸甜甜非常適合打邊爐蔬菜櫃連埋多款丸子，超多唔同既選擇👍🏻推介佢地個芋頭貢丸同M9和牛牛丸，前者食到芋頭既粉粉又食到肉味，後者肉味超濃而且咬開有肉汁💕
今日簡左澳洲極上和牛套餐，所以menu上所有食物都可以簡呀🥰🔸豬牛雞羊類，推薦安格斯牛小排同M5和牛牛肩，真係肉味好濃而且唔鞋口
🔸魚漿類，我地試左4款，最鍾意蟹籽墨汁魚漿，保留魚肉味之餘又有口感
🔸海鮮類，虎蝦彈牙、大蜆冇沙鮮甜
🔸滷水系列，推介大腸冇咩肥但好入味，花膠大大塊而且厚身，唔係一煲就會溶哂個d
🔸小食類，台式香腸、鹽酥雞、皮蛋豆腐等，黎到牛大人緊係唔少得叫鴨血，鴨血已經煮過入哂味，少少辣，口感唔會一咬就散哂
🔸主食類，王子麵、韓國拉麵、烏冬、新竹米粉等擺哂係醬料區自由選擇
最尾職員比左張甜品卡我地，我地簡左m牌既朱古力雪糕同仙草凍😋
突然發覺自己好少出街打邊爐，因為覺得任食自問己又唔食得幾多😂但間中懶一次真係好爽👍🏻"
2023-08-01,4,4,4,4,5,牛大人台灣火鍋吃到飽荃灣分店，佈置以淺木色為主調，環境舒適寬敞，主打台式火鍋放題，一年四季都好喜打火鍋，與朋友傾下食下涮下，洋溢熱鬧氣氛。今晚點了『極上和牛吃到飽』套餐，120分鐘任飲任食，只需要$298，火鍋材料有高質牛肉、讓人懷念的即食台式小食、自助火鍋配料、飲品及甜品，十分抵食，讓人大飽口福!阿嫲養生鍋湯底：養生鍋湯中浸泡著豐富杞子、紅棗、大白菜等，夠曬溫補養生，仲香氣十足，先呷一口湯，鮮甜之中帶出淡淡紅棗香氣。自助區：不同款式肉丸、各種蔬菜，用獨立透明膠兜盛載，放於冷藏櫃，保持新鮮、衛生。最喜歡芋心貢丸，芋丸中心填滿粉糯的芋頭蓉，口感挺不錯。特別喜歡金菇、皇帝菜、娃娃菜、生菜，灼熟後，吸收了湯底精華，翠綠爽甜。飲品區：汽水款式多，仲有多款膠樽支裝冷泡茶系列，有桂花烏龍、洛神花、白桃烏龍、冬瓜茶等，最喜歡桂花烏龍茶，淡淡桂花花香，冰爽解膩，是打火鍋不二之選。牛肉：▪免費贈送澳洲M9和牛牛丸兩粒，十分巨型，肉質好爽彈，牛味香濃▪澳洲和牛M5牛肩卷，油花滿佈，只需要輕輕一涮，牛肉吸收了湯底精華，鮮味加倍提升▪安格斯特選牛板腱，雪花紋理，油脂豐盛，肉質滑溜▪安格斯牛小排，色澤嫩紅，口感柔軟，充滿鮮味肉汁。豬肉：▪西班牙豬梅肉片▪西班牙豬五花片▪豬雪花肉片西班牙豬肉片，顏色粉嫩，肥瘦相間，肉質軟嫩，充滿油香，卻又不肥膩。海鮮：▪台灣鱸魚片▪新鮮海蝦▪鮮甜海蜆▪蟹籽墨魚漿▪干貝鮮魚漿▪章魚珍珠漿雪白的鱸魚片，魚肉清甜滑溜。大隻的海蝦，充滿光澤，好新鮮，鮮甜彈牙。干貝鮮魚漿、章魚珍珠漿、蟹籽墨汁漿，鮮味彈牙，還品嚐到粒粒鮮味蟹籽粒、章魚粒，夠曬真材實料。海蜆，挺身肥美，鮮味滿載。必點推介：滑嘟嘟私房鴨血，入口Q彈牙帶微辣，惹味過癮。最後吃了movenpick雪糕，香甜滑溜，冰涼透心，為今日熱燙燙火鍋帶來涼快的感覺，十分爽。
2023-07-25,5,5,5,5,4,"
周末前夕來到人來人往的大鴻輝中心，為的就是太太最愛的牛大人，周五當然要預約，否則排隊最少也要1-2小時呢✨✏️位置（8/10）：大鴻輝16樓，地點方便，周末晚都要排長龍上落電梯✏️環境（9/10）：特別台式裝修，溫暖舒適，抽風也做得不錯✏️服務（9/10）：侍應主動友善，目睹女職員非常細心幫忙老人下單及追單✏️食物（9/10）：食材品質高又新鮮，飲品選擇亦很多，性價比相當高澳洲M9和牛牛丸
🌟牛大人120分鐘吃到飽套餐（澳洲極上和牛）-$328/位為了免費送兩粒M9和牛牛丸及任食澳洲和牛M5牛肩卷，再次選了這款最貴的套餐😆🍴剝皮辣椒鍋上次試過的剝皮辣椒鍋，覺得很特別，這次便決定再點，辣中帶甘甜，香濃惹味🥰澳洲和牛M5牛肩卷及安格斯牛小排🍴牛肉不能錯過澳洲和牛M5牛肩卷、SRF美國黑牛後腿肉及安格斯牛小排，牛味及質感各有特色，必點的還有牛媽秘製滷牛筋及滷牛肚呢😃黑松露海鮮漿及干貝鮮魚漿🍴漿類必試黑松露海鮮漿、章魚珍珠漿及干貝鮮魚漿，牛大人的漿類都比較彈牙😋褔建燕餃、牛媽秘製滷牛筋及滷牛肚🍴餃類及丸類牛大人另一吸引之處，就是有多款台式餃及丸，包括褔建燕餃、花蓮扁食、瓜仔雞水餃及自取區的芋頭貢丸，鮮味多汁，值得一試😉🍴炸物再一次推介即炸午餐肉、鬼馬老油條及爽脆炸魚皮，識食的肯定會點吧😄鮮甜海蝦及新鮮沙白🍴海鮮類海鮮推介的有鮮甜海蝦、新鮮沙白及真台灣鯛魚片，而脆肉鯇魚腩也可以試試🤩即炸午餐肉、鬼馬老油條、士林鹽酥雞、真豬小香腸及魚香皮蛋豆腐🍴小食最愛的士林鹽酥雞、真豬小香腸及魚香皮蛋豆腐，這次當然都有點😍水蓮🍴蔬菜台灣特產水蓮不多地方有得任食，當然要食！自取區還有多款蔬菜，包括生菜、皇帝菜、金菇、粟米等等😁🍴其他值得一試的有台灣直送的手工大黑輪及手工川丸子，還有香滑惹味的私房鴨血同樣不能錯過😎🍴飲品冬瓜茶是本人最愛，當然自取區有多款品牌飲品任飲🤩Häagen-Dazs雪糕🍴甜品最後是甜品，當然必點大杯的Häagen-Dazs口味雪糕，又抵食又好味🎉🏠牛大人台灣火鍋吃到飽（荃灣）📬荃灣眾安街55號大鴻輝(荃灣)中心16樓
"
2023-07-22,4,4,4,4,4,"
##荃灣@masterbeef.hk與媽媽撐枱腳,到台灣,是到荃灣吃台灣火鍋吃到飽,真心很鮑!餐廳佔地很廣,坐位寬闊,四周也是滿滿的台風! 人很多,早早來到也是長長人龍排隊入座,所以訂位是很重要的!坐好第一步先選湯底,我們選了極上和牛吃到飽,$338/人,很划算!每人還送澳洲和牛牛丸2粒,真心超讚,濃濃的和牛味道,肉汁滿滿!
✨湯底~台灣鳳梨雞鍋,足有半隻雞,還搭配苦瓜,酸酸甜甜的味道!
✨火鍋料~台式蝦餃、瓜仔雞水餃、豐原排骨酥、台灣鱸魚片、黑松露海鮮漿、手工川丸子、真台灣鯛魚片、水蓮、豬雪花肉片、澳洲和牛M5牛肩卷、牛胸爽、SRF美國黑牛後腿肉、安格斯牛小排、牛媽秘製滷牛筋、牛媽秘製滷大腸、百配鵝脆腸、鮮甜海蝦等! ✨熱食~真豬小香腸、鹽酥雞!外皮香脆不會乾,全部都超讚! 
✨飲品除了雪櫃內的汽水、自家製無糖茶、熱飲外,還可點選其他!金桔椰果、烏梅汁!不會太甜,很讚! ✨甜點~最後還有甜品,雪糕隨時可買,當然要台中仙草凍啦!仙草味香濃又清涼,珍珠軟糯,紅豆香甜,粒粒香脆花生增添口感! 
✨酉鬼-『芭樂鹽小麥』全線已上架,$68/400M!奈何今夜酒鬼不在,如果唔係必試這有著淡淡芭樂香氣與珊瑚礁鹽的味道! 食物質素高,員工友善勤快,讚! 
"
2023-06-26,4,4,4,4,5,"
餐廳環境好寬敞,景觀開揚,近門口有一列卡座位,闊落舒適,入少少嘅長枱距離比較近,會有少少迫。𓊈澳洲極上和牛吃到飽套餐$𝟸𝟿𝟾𓊉基本上可以點選所有套餐嘅嘢食,最唔同係可以點選安格斯牛小排,澳洲和牛M5牛肩卷,安格斯一口牛柳粒同豬雪花肉片,另外仲會附送2粒澳州和牛牛丸。𓆹湯底✧牛夫人秘方麻辣鍋一心想食麻辣鍋所以好大膽咁揀咗中辣,湯底以牛骨同中藥材熬成,味道豐富,不過唔算太辣。𓆹醬料醬料種類好多,除咗基本嘅蒜泥,蔥花,辣椒,沙茶之外,比較特別有洋蔥牛肉醬同特調豬肉醬。另外,呢個區域仲可以拎麵類同湯品。𓆹飲品提供多款冷泡茶,亦有冬瓜茶,酸梅汁,烏梅汁等,罐裝同紙包飲品嘅種類都好多,可以慢慢揀。𓆹自助食品蔬菜,菇類同丸類都可以自己出去拎,款式好多,最開心係有寬粉提供,好好食!𓆹自助落單主要肉類,餃類同手工漿類係用QRcode落單,d嘢食嚟得足而且好快,好方
"
5天前,4,4,4,4,4,"
食牛大人就好似有個習慣咁😂差唔多時間就會想食🫢今次仲比我訂到個風景位勁Chill揀左個阿嬤養生濃湯鍋🥘先飲左幾啖湯真係好清甜滋潤感好岩而家既天氣~我地食👉🏻極上和牛吃到飽每位送2粒澳州和牛牛丸爆炸好味!!牛肉方面特別喜歡呢幾款💕-美國PRIME極級肩里肌-SRF美國黑牛後腿肉-安格斯牛小排-澳洲和牛M5牛肩卷-手切封門柳當然唔少得台灣小食🤪真豬小香腸魚香皮蛋豆腐新推出既黑松露海鮮漿同埋蟹籽墨汁漿都好足料牛媽秘製滷大腸同埋牛媽秘製滷牛筋都好入味~私房鴨血好似大舊左好多...再叫了台灣先有的真台灣鯛魚片同埋水蓮另外仲有花生/芝麻麻吉燒,係火鍋料黎架,食落真係好有趣既口感每次都一定係飲好多樽茶😉-📍牛大人(荃灣)📌荃灣眾安街55號16樓全層大鴻輝(荃灣)中心
"
5天前,5,5,5,5,5,"
創新火鍋體驗－牛大人麻辣火鍋牛大人麻辣火鍋，以其獨特的創新火鍋體驗，成為了一個受歡迎的聚餐場所。這家火鍋店將傳統的麻辣火鍋與現代元素相結合，呈現出了一道道誘人的美食。首先，牛大人的服務令人滿意。從進店開始，服務員總是熱情友好地迎接客人，並幫助他們安排座位。他們十分專業，經常向客人推薦新鮮食材和特色菜品。而且，他們隨時準備著餐巾和水杯，確保客人享受到貼心的服務。這種周到的舉止讓顧客感到賓至如歸。其次，牛大人的食材品質優良。店內提供各種新鮮的肉類、海鮮和蔬菜，給客人提供了充足的選擇。肉類肥瘦適中，鮮嫩可口；海鮮新鮮多汁，色澤誘人；蔬菜綠意盎然，營養豐富。所有食材都經過嚴格的挑選和處理，確保了食材的高品質。最後，牛大人的調味料獨特而豐富。他們提供了多種辣度和口味的麻辣底料，讓客人可以根據自己的口味進行調整。此外，店還提供了各種特色湯底，例如麻辣香鍋、椰香鮮鍋和番茄鍋等等。這些湯底能夠為火鍋增添獨特的風味，讓人回味無窮。總之，牛大人麻辣火鍋通過其創新的火鍋體驗，給人留下了深刻的印象。他們優質的服務，新鮮的食材和獨特的調味料，都為顧客營造了一個愉快的用餐場所。如果您想要品嚐一次不同凡響的火鍋體驗，牛大人麻辣火鍋將絕對是您的最佳選擇。
"
2023-11-15,5,5,5,5,5,"🌟極上和牛吃到飽套餐叫左阿嫲養生濃湯鍋-湯底鮮甜澳洲M9和牛牛丸-意外地好濃牛味👍澳洲和牛M5牛肩卷-油脂同肉質都好靚，食爆😁SRF美國黑牛後腿肉-食完覺得超正，最後食咗5盤🤣其他牛都好唔錯，每款都好高quality😆安格斯牛小排安格斯特選牛板腱美國prime極級肩里肌手切封門柳安格斯一口牛肉粒另外仲叫咗一啲豬肉，花膠同埋沙白仲有台灣腸😋另外自助區仲有好多款蔬菜同丸類，嘢飲都好多選擇👍👍最後甜品仲有Häagen-Dazs或movenpick雪糕😋
"
2023-11-14,5,5,5,5,5,"
再戰牛大人台式火鍋我同媽咪都喺火鍋控食過咁多間都喺對牛大人嘅鴨血情有獨鍾而且湯底多選擇，次次都食唔同味今次試吓台灣鳳梨雞鍋初頭驚佢酸酸地，原來湯底加咗苦瓜中和返例牌會飲碗湯先，好鮮嘅雞湯味，好正！我哋次次都會食「120分鐘澳洲極上和牛吃到飽」會先送嚟每人兩粒澳洲M9和牛牛丸一定食咗先😆好鬼彈牙粒粒爆肉汁牛肉方面，美國Prime極級肩理肌好香濃嘅肉味，好有咬口如果鍾意軟嫩嘅就要食我最愛嘅牛小排入口即溶咁制，會忍不住食完又食😆必食私房鴨血，牛大人嘅鴨血特別入味試過喺其他餐廳食無味嘅鴨血相當奇怪🤔除咗牛肉之外，自助區有大量火鍋配料任食食牛大人真係無可能唔飽亦都可以點選叫台灣特式小食、海鮮、水餃等等我哋次次食牛同火鍋配料已經好滿足仲有多款飲品任飲最後又喺牛大人獨有嘅甜品「台中仙草凍」次次都必食😍好清涼又解喝媽咪就鍾意Movenpick雪糕天氣凍又喺時候日日打便爐啦！牛大人台灣火鍋吃到飽荃灣眾安街55號大鴻輝(荃灣)中心16樓
"
2023-11-13,5,5,5,5,5,"
最近天氣凍凍地緊係去食牛大人，牛大人嘅自助區係勁多火鍋配菜可以夾🥰入面有台灣直送嘅肉丸，各式蔬菜等🤓因為店面闊落所以攞野食都唔會太逼😊
我地揀左極上和牛吃到飽嘅餐，入面可以揀唔同種類嘅牛同海鮮類都可以任叫🤗
我地先點左澳洲和牛M5牛肩卷，SRF美國黑牛後腿肉同安格斯牛小排，M5和牛雪花均勻，牛味香濃，嫩滑😋安格斯牛小排唔油膩🥰
🌸手切封門柳，色澤好靚，肉嫩☺️🌸海鮮方面，我地點左海蝦，沙白同脆肉鯇魚腩，海蝦超大隻，沙白夠鮮甜同冇沙😋
🌸我地仲點左鵝腸❤️口感爽彈，同埋份量都幾多😆🌸仲有新奇野係麻吉燒🥰食落唔會太甜，有香香嘅黑芝麻味，第一次用e個黎打邊爐都幾特別❤️
"
2023-11-10,4,5,4,4,4,"
性價比依然很高的一餐~~說起牛大人，當然就係「牛」的肉食天堂！
🔥牛大人秘方麻辣鍋必吃清單：💕隨餐附送4粒澳洲M9和牛牛丸💕私房鴨血💕羊卷肉💕黑松露海鮮漿💕牛胸爽💕封門柳💕新鮮沙白💕鮮甜海蝦💕澳洲和牛💕M5牛肩卷💕水蓮💕台中仙草凍
😍和牛牛丸超級爆汁彈牙，得4粒實在唔夠喉！牛胸爽係切薄片，爆脂爽口！加上牛大人對於「牛」的質量實在選材上盛！點解會一試愛上~~
另外除左肉，仲有海鮮都絕不馬虎，按人數給份量，但叫做好快送到，不漏單！
如果間間火鍋店都差不多，你一定會記得特別的食材，令你一試回味，再返轉頭！
呢間台式小食熱上香脆，都見好多人會行出去整嚕肉飯~我次次黎到都會叫水蓮，係蔬菜類但係口感唔錯😋
而鴨血都係必點，因為入味，加入麻辣湯底仲正！
最後來個仙草roundup都係正~記住飲佢地自身製凍茶！
"
2023-11-10,4,4,4,4,4,"
