time,taste,environment,service,hygiene,indigestible,comments
2023-11-14,5,4,5,5,5,"
終於有機會試下呢間人氣火鍋-牛大人，牛大人有好多分店，淨係旺角都有兩間，星期六晚七點半上到瓊華中心已經勁多人等緊位，所以唔想等咁耐就記得要提早book位火鍋放題有兩個鐘，我同朋友揀咗澳洲極上和牛，可以試哂美國同澳洲牛，而喺極上和牛類別揀到嘅牛的確靚啲，肉質比較淋同鮮嫩，呢個套餐仲送咗4粒澳洲M9和牛牛丸，呢個牛丸絕對係成晚嘅亮點，因為牛丸入面爆多汁，而且好彈牙，牛味仲好濃，俾錢再叫都值！其他配料例如蝦、沙白都好正，夠新鮮而且冇沙。至於雜菌、雜菜、丸、麵就喺出面自己夾。呢度仲有啲小食可以點，我點咗台灣香腸、鹽酥雞，都唔錯湯底方面，我揀咗秘方麻辣鍋（小辣），初頭食落唔覺辣，點知滾耐咗好鬼辣，食菜就好明顯見到真章，但個湯底係幾香，有少少藥材味最後可以揀Haagen-Dazs雪糕或者鮮草凍做甜品，估唔到鮮草凍有咁多料，味道都做到糖水鋪水準食完今餐我終於明點解牛大人咁受歡迎，CP值算幾高，絕對有下次"
2023-08-15,4,4,4,4,4,"
牛大人台式火鍋是一間我成日去的任食火鍋店 因為價錢合理，食物質素好，而且又有我最愛的台灣食品
牛大人的養生火鍋湯底，大家一定唔陌生每款湯底都有超多養生同健康的材料，一鍋已經係一道養生菜我自己就最推介呢個台灣鳯梨雞鍋除左有大量的鳯梨，仲有半隻雞同大量涼瓜，成個湯底即刻無咁燥熱呀~ 而且即使有涼瓜，個湯底都唔會苦的~ 清清地又唔會太濃味，仲唔會遮蓋食物的原味道添~
來牛大人的另一個重點，就係佢嘅台灣小食，台灣腸同梅甘酥脆薯真係必點每次都要ENCORE2次~
食火鍋，肉都係一個好重要的考慮因素
