time,taste,environment,service,hygiene,indigestible,comments
2023-11-04,4,4,5,4,4,"
好耐無去牛大人喇，事關遲遲天氣未轉既關係，少左打邊爐，等到天氣一轉，心郁郁就想來過打邊爐過過癮呢間牛大人真系超級大間，可以用盪失路咁大形容，每個坐位都系獨立式坐位，私隱度比較高，走廊位置窄少少，不過呢到基本上都系QRcode落單，除左去廁所可無太多需要出入，而職員上菜速度十分之快，推車仔一份份咁落枱，望見都開心
另外仲有個自助區：除左醬汁區、飲品區、唔少蔬菜類丸類選擇可以揀，飲品區比較特別依然系佢地既自家製茶樽，無糖燒製又好飲，至鐘意系呢到既桂花烏龍，特別推薦👍🏻❤️打邊爐最緊要系湯底，一紅一白，最夾始終系一辣一唔辣，我地揀左牛大人秘方麻辣湯+阿嬤養生濃湯，麻辣湯上枱就已攻攻地鼻，最刺激真系岩岩上轉烚肉個轉！阿嬤養生濃湯就咁飲入口都非常舒服，唔會感覺到成口味精或過份咸咩，飲到有雞既湯湯效果，用來烚蔬菜丸類唔錯❤️自助落單入面都有分收費or免收費選項，自助飲品區外既飲品多數收費服務尼，order左杯啤酒🍻送送口，「洛神花小麥啤」，入口幾清香花味，麥味易相對較濃，對本身鐘意飲1664既客尼講，一定會好鐘意既口味尼，400ml呢個size設計得好好，唔會太多或太少❤️自助落單機裡面既M5和牛肩卷肉+M9和牛牛丸都真十分推介，好香既牛鮮味，丸的話就多左分爽口彈牙感，因為我地揀左「澳洲極上和牛」，所以有送到M9和牛牛丸，如果唔想額外加費倒不如選擇「澳洲極上和牛」系最抵試晒所有款式既套餐，岩晒我呢種樣樣都想試既為食種（貪吃棗）限時120分鐘，2個鐘頭左右基本上都真系牛大人話渣咁食到飽，無甜品區設計，埋單情況下提供甜品紙仔客人選擇都幾貼心，有movepick既雪糕or台式仙草凍"
2023-09-06,4,4,5,4,4,"
$328一位⭐️兩個鐘極尚和牛吃到飽🤤性價高不在話下，服務質素仲要極高✌🏻✨講緊就係今年拎到@openrice_hk至尊大獎既@masterbeef.hk牛大人。首先湯底已經有十樣揀，最近食得太熱氣，於是揀左眷村白玉酸菜鍋。湯底清甜又酸酸地，好清新開胃。除左多樣我喜愛的特色台灣飲品，仲有手工啤飲㗎！🤤脆肉鯇魚腩鯇魚腩也被稱為黃魚腩或黃魚肚，是鯇魚的腹部部位，肉質柔軟鮮美。🤤真台灣鯛魚片台灣鯛魚片是台灣特色的傳統美食，鮮美的口感唔錯。🤤豬雪花肉片薄切的豬肉片，以其獨特的紋理和口感而受到喜愛。這種肉通常來自豬的脖頸部位，肉質纖維分佈呈雪花狀。🤤SRF美國黑牛後腿肉脂肪分布均勻，肉質鮮嫩多汁。唔使滾太耐，以保持其原始的風味和質感。🤤安格斯牛小排牛的背部或肋骨部位切下的小塊肉，通常帶有一部分肋骨，口感嫩滑，肉汁豐富。🤤澳洲和牛M5牛腩卷澳洲和牛M5牛腩卷是一道豪華的美食，結合了高品質的澳洲和牛M5級別的牛肉和牛腩，經過特殊處理和調味後製成的牛肉卷。🤤牛媽秘製滷大腸使用豬大腸作為主要食材，以滷汁浸泡煮熟而成，口感唔錯！🤤鮮甜海蝦外殼完整、無損傷的海蝦，顏色鮮明，沒有褪色或暗淡的跡象，新鮮！🤤甜品有Häagen-Dazs雪糕同台灣鮮草畀你揀，我地各揀左一樣。仲有多款食物任食架，數都數唔曬，快啲去試下！"
2023-07-11,4,4,4,4,4,"
平時都有同朋友食過幾次呢間——🌟牛大人台灣火鍋吃到飽🌟今次就同另一半兩個人係呢間撐枱腳打邊爐，仲食咗呢到最正嘅🐂極上和牛吃到飽🐂佢點單係用QRcode點，方便易用，而且點完無耐都好快上，飲品除咗可以出去拎，仲可以落單加錢點佢哋嘅台式特飲或啤酒，我就點咗杯啤酒🍺醬料都係自助區拎，醬料選擇都算多👍🏻食物方面仲咗電話落單，出面仲有好多丸類蔬菜同響鈴可以拎黎加落火鍋👍🏻火鍋個湯底選擇豐富，有麻辣同唔辣揀，我哋揀咗🍲牛大人紅燒牛骨鍋🍲湯底濃味，湯底嘅料都好足😋極上和牛吃到飽呢個餐嘅牛肉相對高質，牛肉選擇種類豐富，我最欣賞佢嘅SRF美國黑牛後腿肉，面另一半就話佢哋嘅澳州和牛牛丸好正，咬一下好多肉汁👍🏻最後想推薦嘅係佢哋海鮮類嘅新鮮沙白同鮮甜海蝦，好鮮味飽滿，面且沙白大小適中，一啲都唔細粒，而且大部分都無沙架💕._.美人花膠牛媽秘製滷大腸•新鮮沙白鮮甜海蝦黑松露海鮮漿•鬼馬老油條爽脆炸魚皮•台式蝦餃台式蛋餃•澳州和牛牛丸安格斯一口牛肉粒手切封門柳安格斯牛小排澳洲和牛M5牛肩卷SRF美國黑牛後腿肉•芭樂鹽小麥._.
