time,taste,environment,service,hygiene,indigestible,comments
2023-08-18,5,5,5,5,4,"
今日同朋友去到位於銅鑼灣嘅哩間居酎屋。居酎屋以大量燒酒酒瓶作裝飾，提供吧枱位置及二人、四人座位。居酎屋以燒酎和牛為主題，提供70多款燒酎～🔸生野菜沙律$28野菜沙律包括青瓜、蘿蔔、沙角及菠菜，可以蘸上自家製麵豉醬一齊食～🔸貝類拼盤$128拼盤入面嘅貝類包括馬刀貝、鮑魚、粒貝、象拔蚌、榮螺，每一款都相當新鮮彈牙，哩個價錢真係幾抵食，好食推介👍🏻🔸横格肌Set$158哩個set會提供四款唔同口味嘅橫格肌，包括燒汁、蜜糖、芥末及蔥蒜，每款一串，橫格肌肉質有嚼勁，四款口味各有特色，我自己就最鍾意蜜糖嗰款。🔥串燒牛舌$72/串牛沙瓜$42/串牛骨髓$43/串雞皮蝦卷$50/串蝦夷蔥牛肉巻$38/串牛舌係厚切，質感爽彈；牛沙瓜係指牛嘅第四個胃，食落好有口感；牛骨髓口感綿軟，含有豐富嘅蛋白質；雞皮蝦卷非常好食，雞皮酥脆，大蝦彈牙，好食推介👍🏻蝦夷蔥牛肉卷用牛肉包裹住香蔥，口感豐富。🔸厚揚自家制豆腐$32/串估唔到自家製豆腐有驚喜，質感外脆內軟，上面仲有蔥及木魚碎，食落更香口～🔸三文魚藥膳茶泡飯$68最後食返個茶泡飯清一清，同埋暖一暖胃～"
2023-08-04,4,4,5,4,4,"
數年前曾到訪一牛主題串燒店午膳，今晚特意前往看看晚市之分別
裝修走日式居酒屋風格，壁櫃上陳列着各種日本清酒
主打在市場上很難找到的牛肉稀有部位及下酒和牛串燒
坐在吧台可以方便向師傅請教食材來源、特性、味道等
店員會先放下開胃前菜配自家製的麵豉醬，更加惹味
這裏的酒庫豐富，更有自家釀製的梅酒，酒味濃郁梅酒$79
荔枝酒入口甘甜順滑，酒的味道會慢慢變化荔枝酒$69
是日刺身推介貝類拼盤五品有鮑魚、粒貝、象拔蚌、榮螺及馬刀貝貝類拼盤五品$128
菜類串燒秋葵清新健康，外層乾爽，內裡多汁秋葵$26
燒茄子淋上芝麻醬並以蔥油搭配，別有風味燒茄子$68
牛串燒牛大腸燒至脆香，腸心帶點肥邊，外脆內軟牛大腸$40
牛小腸經燒烤後油脂變得甘香，柔軟中不乏勁道彈性牛小腸$46
較罕有的牛沙瓜乃牛第四個胃，口感較牛腸煙靭牛沙瓜$42
安格斯牛柳配蒜片肉嫩鬆化，牛味濃郁，油脂比例近乎完美安格斯牛柳$54
雞軟骨串燒咬口層次滿分，加上惹味七味粉，香氣滿溢雞軟骨$34
