time,taste,environment,service,hygiene,indigestible,comments
2023-11-03,5,5,5,5,5,"有時食得太多燒肉放題覺得好多間都係一樣無咩特色，專登早兩日book左尖沙咀呢間牛魔，長期滿座嘅燒肉店，建議大家想食真係要預早預約定。價錢真係嚇親人，間餐廳講明主打優質肉類，價錢又抵食嘅相信係佢長期受歡迎嘅原因。梅酒蕃茄$38叫左個小食試下，呢個梅酒蕃茄幾得意，d梅酒整到啫喱咁樣，原個蕃茄連埋d梅酒啫喱一齊食幾開胃
蘋果木煙燻松露和牛他他$158 意料之外，呢個他他確實係一個驚喜。和牛他他放入一個密實碗到，見住d煙係碗入面不斷比d肉吸收晒。然後將金黃嘅鮮蛋黃同埋爽脆嘅蘋果絲同蔥花加埋入個他他到拌勻混合，和牛他他肥瘦平均，食起上黎好有鮮味且有油香，松露嘅香唔會搶過和牛嘅鮮甜味，蘋果絲令到口感再加添多一層爽脆同酸甜嘅口感同味道，煙燻味道黎得自然，陣陣嘅香味愈食愈吸引。鳥肶肉醬油(四本)$92職員放上檯個陣同我地講燒既時候放係爐邊位燒會比較好，呢個雞肉用左醬油腌其實已經好夠味，d肉質幾爽幾彈牙唔鞋口，燒得少少焦香夠好食。
芝士吉列鳥肶肉飯卷$88見到個飯卷成個人勁開心，因為芝士溶晒係個飯卷上面好鬼正。好特別既係芝士上面放左魚籽之外，仲有dwasabi既粒粒魚籽，所以食落都有少少wasabi既味道。個飯卷入面包住條炸雞條，炸得好脆口唔會太乾身，條雞肉卷脆之餘又唔會鞋口，加上連埋d蛋黃醬一齊食，個味道好香濃好好食。
香蔥薄切牛舌(七枚)$82好多塊牛舌，望落好新鮮。放落燒爐加埋d香蔥一齊燒，唔洗燒得太耐，少少熟就夾得黎食個口感係最好同好食。
老饕澳洲M5/M6和牛牛板腱(五枚)$198片牛板腱都好大片，雖則係和牛，但係油花分佈佈都適中唔會太油。燒一燒食落好有肉香，片肉唔算薄身，所以食落都有口感。
野菜組合$88個組合係有粟米，翠肉瓜，日本南瓜，日本蕃薯。咁樣既組合好抵食，兩個人一齊分黎食好夠食。另外有一碗餐廳自家制既牛油，連埋d牛油一齊燒黎食會香好多。
乳酪汽水+薑茶每杯$38唔想飲酒叫杯野飲飲下，都唔錯。
"
2023-10-15,4,4,4,4,3,"
揚櫻花蝦豆腐@$68: 非常日本的炸物,外層一層薄薄的炸漿, 薄薄脆脆的包裹著嫩嫩滑滑的豆腐, 兩層口感,很強化的對比,讚!!!~~~  
櫻花蝦餃子@$68: 櫻花蝦鹹鹹香香的,份量也太豐盛了吧, 餃子就是日式餃子,正常發揮, 
蘋果木煙燻松露和牛他他@$158: 此和牛他他是讓我們自己D.I.Y.的, 把蘋果條,蔥花,洋蔥碎和蛋黃, 與和牛拌在一起,再shakeshake幾下, 對和牛他他沒有太大興趣的我來說, 是比較容易入口的味道,甜甜軟軟的牛肉, 全天然豚肉五花腩(八枚)@$130: 絕對厚切的五花腩, 而且脂肪分佈也是很吸睛的, 肉質是較爽,較彈的口感,讚!!!~~~ 老饕澳洲M5/M6和牛牛板腱(五枚)@$198: 油脂分佈是呈現雪花紋的, 是我喜歡的瘦肉比油脂多, 牛肉味濃厚的,而且肉質軟軟的, 香蔥薄切牛舌@$82: 真的很薄切,不太吃到牛舌的口感, 松露肉碎炒飯(牛肉)@$108: 它是裝在一個韓國石鍋拌飯的石鍋內, 所以是可以即時熱辣辣的在石鍋再炒一次, 味道就是普通的牛肉炒飯,醬油味道, 
此餐廳很日式燒肉的裝潢, 而且服務員都很有禮貌,讚!!!~~~ "
2023-09-04,5,5,5,5,4,"
今次嚟到牛魔搵食！店內光線充足、整潔乾淨桌子之間有適當距離～可以同朋友靜靜傾偈
午餐menu除了燒肉、仲有烏冬、拌飯、鍋物等等大部分都不到$100、喺尖沙咀來講算抵食
調味料方便有岩鹽、燒肉汁、蒜蓉
牛魔燒肉盛合B（$246）Lunchset中比較高級的和牛盛合有A4和牛霜降、澳洲和牛西冷、澳洲和牛胸腹、澳洲和牛五花、和牛牛肩肉、厚切和牛舌每款都有2片、當中和牛霜降的油香非常香、入口即溶但我最愛始終係厚切牛舌、有咬口！牛魔燒肉盛合B$246燒肉自選盛合3品（$128）黑毛豬頸肉、醬油雞肶肉、全天然豚五花薄切每款有4片！而且超大片！比其他燒肉連鎖店的size大2倍！！醬油雞肶肉即使厚肉、但調味依然入味、推薦！
餐飲加$10可以選茶系列、一大壺冰麥茶可以斟3、4杯、抵飲或是加$15的特飲、可惜這杯鳳梨梳打偏甜
店員細心提醒雞肶肉要放兩傍燒、非常細心慢慢烤就可以確保煮熟又不會燶～
燒肉盛合附上的生菜意外地有菜味可以中和一下和牛的油膩感！
"
2023-08-19,5,4,4,4,4,"
呢晚約咗個好鍾意食燒烤呢種香口野嘅友人嚟呢間尖沙咀嘅燒肉店平日嘅七點半嚟到餐廳已經坐無虛席😮都要等一等先入到座餐廳主打多款日美澳嘅和牛肉嘅質素真係幾高梅酒番茄梅酒令番茄更能帶出鮮味🍅除咗番茄本身嘅甜味仲有梅酒嘅酒香呢碟前菜幾清新幾開胃梅酒番茄蘋果木煙燻松露和牛他他呢碟非常有驚喜😻將生蛋黃蘋果絲同薑蔥撈落松露和牛他他撈勻之後就咁放落口口感好多層次食到肉嘅質地又有蘋果嘅爽脆又有松露嘅香味但係又唔會搶咗本身嘅牛味🐮特別推薦這碟蘋果木煙燻松露和牛他他蘋果木煙燻松露和牛他他老饕澳洲M5/M6和牛牛板腱呢個和牛板鍵薄燒只需燒一面十秒左右已經食得☺️大大片嘅和牛油香幾濃可以話係物有所值包埋少少蔥蒜同落幾粒鹽就更惹味老饕澳洲M5/M6和牛牛板腱香蔥薄切牛舌呢個牛舌又係有驚喜嘅雖然餐牌寫薄切但係都有返啲厚度㗎👅食落口感有彈牙得嚟唔會韌包埋香蔥食就更加夾啦香蔥薄切牛舌鳥肶肉醬油店員特別提醒我哋雞髀肉要放喺鐵板嘅兩旁燒唔係就好易燶🐥我地照住咁做好輕鬆就燒到金黃色嘅雞肉雞肉食落仲嫩滑有肉汁😚鳥肶肉醬油野菜組合食咗咁多肉係時候食啲蔬菜解吓膩呢個拼盤有粟米翠玉瓜日本南瓜日本番薯仲配埋香草牛油🧈等你燒完可以加少少上野菜上面吊味🌽日本南瓜同埋番薯好甜但係係澱粉質嚟嘅所以要擺喺爐嘅兩旁燒🔥野菜組合芝士吉列鳥肶肉飯卷除咗燒肉都有其他小食或者主食呢個飯卷中間嘅吉列肉真係炸得好卜卜脆放面嘅芝士輕輕燒到熔幾好食🍙芝士吉列鳥肶肉飯卷飲品鳳梨特飲呢杯特飲仲有椰果喺底令杯飲品更有層次🍍冰麥茶呢但係成壺咁上淡淡嘅麥味配燒肉食好夾店員仲問我地駛唔駛refill😮咁樣好抵飲喎鳳梨特飲冰麥茶呢間餐廳仲有做一啲特別優惠例如買一送一咁真係又抵食又高質啊👍🏻
"
2023-08-09,5,5,5,5,5,"
