time,taste,environment,service,hygiene,indigestible,comments
2023-10-05,4,5,5,5,4,"
餐廳配合政府夜經濟推出全新BBQ套餐（$880/位，供應時間20:30-23:00)，包左迷你刺身盛合、海膽手卷、燒海鮮類、燒肉類、菜類、生菓，超級豐富和滿足。迷你刺身盛合由淡味食到濃味，薄切鮫鰈魚肉質細膩，口感爽滑；白吞拿魚肉質緊實，味道鮮美；中拖羅油分適中而無筋，入口即溶而魚味濃郁；大拖羅油分較為豐富；金目鯛肉質細嫩甘甜。迷你刺身盛合燒北海道帆立貝加入咗洋蔥粒同埋芝士一齊燒，帶子肉質鮮嫩，口感豐富，與洋蔥既甜味同埋芝士既醇厚完美地融合。燒北海道帆立貝燒生蠔（旬）用左來自北海道既厚岸蠔，厚岸蠔肉質肥美，口感creamy，加左濃郁嘅明太子醬，口感豐富。燒生蠔（旬）燒伊勢海老伊勢海老烹調得怡到好處，肉質爽口彈牙，搭配上香氣撲鼻既蒜蓉，充滿鮮味。燒伊勢海老燒沖繩咲雞(手羽先)雞翼肉質鮮嫩，上面加咗食用花菊花，增添清新感。燒沖繩咲雞(手羽先)燒黑豚五花腩用咗來自北九州黑豚五花腩，燒過之後充滿住油脂香，口感柔軟細緻。燒黑豚五花腩燒A5和牛用咗佐賀和牛，油脂分布極佳，口感豐滿，每一口都充滿了濃郁既肉香。燒A5和牛米茄子(西京味噌）米茄子口感綿密，搭配上西京味噌既醇厚，每一口中都能感受到茄子既甜美同埋味噌既鮮香。
米茄子(西京味噌）鐡板銀芽銀芽口感爽脆，用左牛油炒香，再加入黑椒調味，風味獨特。鐡板銀芽海膽手卷用咗高品質嘅赤海膽，味道濃郁，充滿鮮味，紫菜咬落口非常脆。海膽手卷生菓係時令嘅北海道赤肉蜜瓜，果肉口感細嫩，清甜多汁。生菓—————————————————————餐廳優惠：晚市每$3800減$1000清酒第2支半價（不論價錢）啤酒/汽水買5送1"
2023-09-13,5,5,5,5,5,"
你是否也曾像我一樣，食用日本料理時覺得其口味已經變得相似無創意？若然如此，我要向您推薦的這家餐廳，您絕對不能錯過！😌.一踏入玄鮨，壽司吧就佔據了大部分空間。這種佈置清晰地表明，餐廳的主要理念是促進廚師與顧客之間的交流，獲得米芝蓮推介嘅餐廳之一。因此，坐在吧台前享用廚師套餐，無疑是最佳的選擇！.近期餐廳搞緊一個促銷活動，當晚市消費滿$3000，您可以享受到$1000的折扣；而第二瓶清酒亦有半價優惠🥳.首先我們前菜品嚐的是用料上乘既靜岡蕃茄🍅甜玉米🌽以及口感鮮嫩的醬油冷豆腐配上脆粒，口感豐富。.接著是來自兵庫縣的處女蠔🦪處女蠔其實是指從未受精的蠔，比起一般食用既蠔具有更高的鮮度和更純淨的風味。肉質通常更為嫩滑、爽脆，且味道更加濃郁。而我哋今次食用嘅呢隻蠔creamy的口感和濃厚的風味，配上青檸汁，簡直是絕配😚.我們也品嚐了新鮮的活貝刺身，貝柱部分經過火炙，增添了焦香的味道🧡來自東京的金目鯛煮制的魚湯，師傅職場喺我哋面前溶解事前濃縮咗嘅魚湯。啖啖精華，使人回味無窮😍.刺身方面，今日我哋都試咗網烤縞縿魚、銀雪魚、布鰹魚和幻鰹等唔同嘅刺身。其中，特別推薦野生大拖羅，其色澤鮮艷，由於運動量大，肉質彈牙，風味更為濃郁👍🏻.而壽司部分，石垣貝的口感鮮甜，配上現場即切嘅沙律薑，更顯美味。火灸秋刀魚壽司加入青檸，口感獨特，清新。赤陸魚配上蘋果醬汁調味，吞拿魚則配上沖繩黑糖菠蘿，都讓人驚艷😚上述你都會見到唔同嘅壽司師傅都會配上唔同生果嘅醬汁去搭配，呢一樣嘢都係呢間餐廳嘅特色唔同嘅壽司唔同嘅調味，其實會跟返師傅嘅風格去搭配所以每一次過嚟其實你只要搵返唔同嘅師傅都可以有個全新對壽司嘅體驗，師傅會喺你面前同你解釋呢一度才點解要陪呢一個風味你可以同佢做一個好深入嘅交流呢一樣正正都係Omakase真真正正要講求嘅地方。😌.當天我哋同師傅知道我哋兩位都好鍾意食海膽🤤佢哋就即刻帶我哋認識唔同嘅海膽，安排三個唔同級數嘅海膽俾我哋食，直接用紫菜包住食，包括有紫海膽買兩個唔同grade既馬糞海膽，前者味道相對清甜，後者味道最濃郁🌟俾我哋橫向對比唔同級數嘅海膽食落去口感上會有啲咩分別，呢啲體驗都絕對係令到我哋成餐更盡善盡美嘅一啲位置，好感受到佢哋希望同乘客中間分享美食嘅喜悅！❤️.只要你能夠對廚師有絕對嘅信任（呢一間餐廳絕對有足夠嘅實力令你投以絕對嘅信任）🌟季節性和新鮮性，廚師的創意和技巧，個性化服務三點Omakase要有嘅服務你絕對豪不需要擔心😚.最後，甜點是來自北海道的夕張赤肉密瓜以及沖繩的楊桃，清甜的口感為一頓豐盛的晚餐劃上完美的句號😍.在這裡，Rex師傅🧑🏻‍🍳的精湛技藝和對食材的熱愛，讓每一道料理都充滿驚喜和創意。玄鮨，一個讓你在熱鬧的城市中找到一片寧靜，感受日本料理純粹美味的地方。
"
