time,taste,environment,service,hygiene,indigestible,comments
2023-11-10,5,4,4,4,4,"
【銅鑼灣人氣日式料理🏮申子居酒屋】-
小編之前食過幾次旺角嗰間申子居酒屋🏮想睇返之前嘅食評可以撳➡️#為食貓申子居酒屋⬅️今日就黎到銅鑼灣分店😋睇下係咪都係咁高質先～-
餐廳以黑色同木色為主調，配上柔和嘅燈光同月亮嘅主題🌙相當有氣氛～不過座位就比旺角少，周未黎食可能要book位啦～餐廳用嘅高檔食材全部新鮮空運到港，質素有保證👍🏻不過晚市定價較高，午餐有定食套餐，價錢比較實惠哦～
-
和牛壽司😋和牛壽司（餐廳贈送）一坐低餐廳職員就送咗一碟和牛壽司，原來係訂座優惠嚟😌只要6:30前入座就會有😝讚👍🏻-
拖羅蓉脆米餅$98😋拖羅蓉脆米餅🍘$98+1呢個係全場MVP👑好食到為佢鼓掌👏🏻脆米餅香脆帶點蜜糖嘅甜味，拖羅蓉軟綿綿帶有吞拿魚嘅脂香😻三文魚籽粒粒飽滿，帶有海水味同鹹甜交織的卵汁係口中爆開😙再加埋京蔥同香蔥提鮮😳食落層次豐富🤩好想再食多嚿‼️好味指數：🌕🌕🌕🌕🌖-
申子海膽和牛燒$378😋申子海膽和牛燒🥩$378+1呢個『申子海膽和牛燒』絕對係必食推介‼️(心痛荷包一下👛）
餐廳選用咗日本鹿兒島既A4和牛，油花分佈均勻而且紋理細緻👍🏻店員即席用火槍炙燒和牛薄片，再包住雞蛋同日本米飯🍚
最後和牛燒上放上海膽同黑魚子😍睇到呢到小編已經流晒口水🤤和牛軟腍，佢嘅肉汁同油脂滲入白飯，再加埋香濃嘅蛋黃，好好食😋好味指數：🌕🌕🌕🌕🌗-
海苔拖羅海膽壽司😋海苔拖羅海膽壽司🍣$198+1海膽好鮮甜好creamy，加上黑魚子同拖羅蓉，呢個陣容無懈可擊😻好味指數：🌕🌕🌕🌕🌘-
火炙大蝦讚岐手打烏冬$168😋火炙大蝦讚岐手打烏冬🦐$168炙燒大蝦充滿香氣，湯底比較濃郁同埋杰身，有大量櫻花蝦😻味道香濃，不過烏冬煮得腍咗啲😳對比其他菜式呢道就相對普通～
好味指數：🌕🌕🌕🌕🌑-📍申子居酒屋銅鑼灣渣甸街50號渣甸中心9樓旺角黑布街74-76號藝興大廈地下1號舖💸人均消費：$463"
2023-10-28,5,4,4,5,4,"
之前食過旺角分店💛，食物除左賣相精緻，質素非常高！皆因爸爸鍾意食居酒屋,今日帶佢黎試下CWB呢間。餐廳以黑和木色為主調，柔和嘅燈光同月亮設計睇到佢地設計上的心思💡而且有一定的私隱度，想聊天天飲嘢都合適。我地係6:30PM入座，餐廳贈送左申子和牛壽司，未食先興奮丫🥳💛申子和牛壽司輕輕火灸過的薄切和牛片壽司飯結合，香濃的牛味有少少的焦香，完全冇諗過連送都咁高質。💛海膽炒飯👍🏻大推👍🏻$238打開蓋就聞到香氣滿瀉，入口即溶海膽，加入粒粒分明的黃金炒飯內，再結合櫻花蝦同魚籽，嘩嘩嘩!!!真係不得了成口都香氣滿瀉，大推👍🏻👍🏻👍🏻💛申子海膽和牛燒$378職員即場於台面用火槍烤，由薄切薄的和牛肉片包上上月見飯細心地烤，最後再裹上蛋液、海膽同魚子醬，吃落口感豐富，而和牛入口即溶真係好加分。💛火炙大蝦讚岐手打烏冬$168手打烏冬鋪滿櫻花蝦同一隻火炙大蝦。湯底非常濃郁，烏冬口感彈牙，而櫻花蝦嘅香味亦加分不少，配上啖啖肉的大蝦好滿足👍🏻。💛雞軟骨$38用新鮮雞軟骨燒得好香，食落好脆口呀。必定會ENCORE的高質良心店。"
2023-10-02,5,4,5,5,4,"
