time,taste,environment,service,hygiene,indigestible,comments
2023-11-09,5,5,5,5,5,"
磯野昼食C火炙三色沙律
火炙三色沙律賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧沙律由火炙三文魚、左口魚、八爪魚，加上酸甜清新的沙律菜組成。火炙魚片燻香鮮美，沙律菜非常新鮮爽甜，整體感覺開胃又醒神。先付四點先付四點賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧前菜包含三文魚和油甘魚刺身、醃製牛蒡和蕎頭。刺身厚切大大片非常足料，色澤新鮮亮麗，食落鮮嫩甘香，十分出色。醃製牛蒡脆卜卜口感十足，蕎頭醃製入味十分香口，兩者都十分適合作下酒小菜。鹽燒美國牛小排、香煎日式野菜鹽燒美國牛小排、香煎日式野菜賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧牛小排切成一口正方狀，十分方便食用。牛小排燒製至七成熟，外層焦香脆口，內軟軟腍又多汁，牛香味濃，非常惹味。野菜有常見的南瓜、蕃薯片等，經調味後香煎，食落甘甜又香口，十分美味。隨碟附有芥末醬和味噌醬，沾上煎物一起食用，滋味更出眾。浜燒蘇格蘭蟶子、浜燒北海道活帆立貝浜燒蘇格蘭蟶子、浜燒北海道活帆立貝賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧蟶子以清酒燒製，令本身的鮮甜更加突出，口感爽口彈牙，令人回味無窮。帆立貝超級大粒，食落肉感滿滿，同樣以清酒簡單燒香，貝類的鮮完美呈現，滋味滿分。海鮮茶碗蒸海鮮茶碗蒸賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧茶碗蒸新鮮蒸起，送上時依然熱騰騰，誠意十足。蒸蛋口感又滑又嫩，蛋香四溢，吸納了表面三文魚、左口魚和蟹籽的鮮味，味道更添鮮香。海鮮味噌湯海鮮味噌湯賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧味噌湯溫和順滑，與蝦肉、蜆類等新鮮海產一同熬製，味道比一般味噌湯多一分鮮甜，令人難忘。松葉蟹丼松葉蟹丼賣相：🐧🐧🐧🐧🐧味道：🐧🐧🐧🐧🐧丼飯用料十足，飯面上佈滿新鮮誘人的松葉蟹肉、蟹膏、蟹籽，頂端再以原隻蟹鉗作點綴，非常搶眼奪目。蟹肉鹹鮮味佳，蟹膏綿密微甜，與珍珠米飯攪勻食用，一啖入口，個中的滋味非常豐盈，大滿足推薦。🐧❣️不吃蟹的朋友可改選特大帶子三文魚煙肉意粉🌟🐧❣️跟餐附送香濃咖啡或精美是日甜品🥴環境：🐧🐧🐧🐧🐧餐廳以傳統日式居酒屋設計，採用大量木系裝橫，配搭和風的海報和飾品作點綴，氣氛十足打卡必選。🐧❣️餐廳現推多款優惠，包括午市時段一人前昼食set9折，二人前set和單點7折，晚上6點後清酒更買一送一，切勿錯過🥴🐧❤️結語：一人前昼食set精緻又豐富，高質推薦👍"
2023-10-30,5,5,5,5,4,"
又到星期一跳舞前到銅鑼灣搵食朋友話呢頭有間樓上鋪既居酒屋主打高質海鮮～地點仲好近Sogo一上到去好似出左隨意門嚟到日本咁鋪面唔係好大，但好有家庭式居酒屋咁一坐低就有前菜緹魚醬+蔬菜棒$34店員介紹緹魚醬係由多春魚+沙甸魚醬混合而成比較咸，所以要用蔬菜棒點嚟食個醬好香魚味唔算太咸，蔬菜棒有青瓜、沙葛、紅蘿蔔。等緊野食果陣見到中間位置有張小型浜燒檯，比店員即席處理海鮮～視覺嗅覺既享受。秋刀魚刺身$328正值秋刀魚當造期，食落好肥美，魚味濃郁鮮甜，由佢嚟掀起序幕。店員仲話條骨會拎去煲湯😍接住係原隻北寄貝刺身$208睇住佢新鮮切開，鮮味爽滑，有嚼勁，好厚肉切到好多片～正！日本活赤貝刺身$128口感無北寄貝咁爽，肉質柔軟鮮甜，食得出好新鮮一d都唔腥（平時好怕食赤貝多數都腥）磯燒鮑魚$98店員幫我地切開4件，食完肉仲有鮑魚肝。醬汁甜甜地，肉質鮮嫰好啱配酒食。燒活帆立貝分別有清酒同埋黑松露牛油兩款口味肉質肥美不在話下，飲埋清酒湯汁好滿足（解議食左叫個先食黑松露）令我有驚喜既係黑松露牛油，居然幾搭，令個鮮味提升去另一層次。兩款D肉都係一梳梳，好嫰。湯嚟啦～～～～一款係用麵豉湯$52，一款係加左昆布同蜆既白蜆湯$52，蜆有4隻大隻厚肉，仲肉到有d焦香味，條魚骨應該有煎過先煲。燒松葉蟹腳$128唔好睇佢細細隻d肉好實，清甜。最後叫埋甜品~店員話可以寫字~老公就話今年結婚紀念無特別影相不過今次補番～有意外驚喜原個水蜜桃雪葩$78我地食左個蓋口感好得意雪葩好香桃味～果種甜唔係糖漿味唔假好似真係食緊桃咁。日本卷蛋$78兩款餡唔同每樣同老一半太滿足啦。埋單先知有折，店員話下午12:00～1630有7折，要留意必須1630前結帳離座先有喔。
"
2023-10-23,5,5,5,5,5,"
今天和同事一起慶祝準時收工，不約而同說要食日本嘢！🎉進入餐廳坐低不到一分鐘，一份精緻的魚醬沙律就擺在我們面前，雖然前菜需要額外付費，但是絕對值得一試！🥗魚醬沙律的味道濃郁而不過分，蔬菜新鮮爽口，是個很好的開胃菜。
