time,taste,environment,service,hygiene,indigestible,comments
2023-11-15,4,4,4,4,4,"
今日Duck🦆家大細去佐敦搵食，今次目標係神燈海鮮酒家。其實上次Duck哥🦆經過門口，已經俾佢地吸引住，俾咩嘢吸引住🤭？就係隔住玻璃望到師傅即場燒🔥乳豬🐖。所以Duck哥🦆決定同Duck家大細講，今次一於去試下酒家招牌嘅即燒乳豬🐖。酒家地方唔算好大，我地六點半🕡去到已經坐咗一半人，未夠7點🕖已經滿座，好彩我地早咗少少去🥰。餐牌📔選擇唔算太多，但樣樣都好吸引。飲品餐牌🗞設計好有特色，正當Duck哥🦆欣賞緊嗰飲品餐牌時，原來佢地已經叫點哂食物.😆。前菜$25琥珀合桃，合桃肉新鮮鬆化，外層糖衣甜度適中，加上芝麻粒，味道又香又脆🥰。*前菜係按人頭供應，6️⃣位以下就1️⃣碟；7️⃣-1️⃣2️⃣位2️⃣碟；1️⃣3️⃣位以上3️⃣碟。南非鮑魚啫啫雞煲(4位用)$498雞煲用上乾蔥、洋蔥、蒜及薑爆過後一齊煮，所有食材都煮得非常入味😋。鮑魚爽口彈牙，雞件軟嫩滑溜，惹味香濃😍。即燒伊比利亞叉燒皇$248即叫即燒的叉燒燒至焦香😍，尤其燶邊部位十分惹味香口😋。肉質軟腍無筋，叉燒醬汁甜度剛好，有淡淡蜜糖香味，好食🤤。糯米炒膏蟹$568膏蟹🦀大大隻厚肉又爆膏🤩，蟹膏味道甘香，糯米飯炒至粒粒分明乾身香口，煲底的飯焦尤其香脆，大推😋。杏香海老丸$178一碟有6️⃣粒，粒粒大如乒乓波🏓，蝦丸🦐爽口彈牙，加上外層的杏仁片，味道鮮美香口😋。總括而言，4️⃣碟菜份量都唔少，食完又好味又滿足😍，可惜今次我食到乳豬，唯有等下一次啦。
"
2023-11-07,5,4,5,4,4,"
食材優質、美味，值得回頭的海鮮中菜館！即燒伊比利亞叉燒皇選用既優質又健康的食材。伊比利亞豬肉的脂肪含量高，有大量的不飽和油酸脂肪，與橄欖油的脂肪相同，有降膽固醇的功效。叉燒香軟、多肉汁，燒得微焦蜜甜，個人覺得屬必試之選！南非鮑魚啫啫雞是看得出的足料美味，4大隻相當有睇頭的大鮮鮑，鮑魚味濃，醬料入味，厚肉軟韌，口感大滿足。糯米炒膏蟹，又要讚食材，膏蟹是真正的膏蟹，整隻相當多膏，不只相中的蟹蓋位置，非常適合愛吃蟹膏的，糯米飯反而有點被比下去，這次炒得過硬了一點，但膏蟹是真的無敵正！紅燒北菇豆腐亦是穩當的美味之選，入味腍滑。香茜蟹味銀絲鍋其實可稱作蟹""肉""銀絲鍋，是真的有一梳梳蟹肉，而且蟹肉份量不算少。粉絲炒至乾身分明，令每條粉絲都沾到配料，是另一美味之選。敬贈的布甸和桂花糕水準亦不錯。食物推介即燒伊比利亞叉燒皇、南非鮑魚啫啫雞、香茜蟹味銀絲鍋食物賣相吸引，大部份以鍋上，炙熱、夠鑊氣，打開蓋時聲色味俱全，足料有睇頭。室內環境方面，枱與枱之間的距離較狹窄，幸好有不少透明簾幕作間隔，可彌補空間上的不足。服務熱心、勤快，讚！
"
2023-10-13,5,4,5,5,4,"
