time,taste,environment,service,hygiene,indigestible,comments
2023-09-30,5,5,4,5,5,"
今晚約朋友食日本燒烤，尖沙咀秋田浜燒食堂。到餐廳需要走一段斜路，一輪喘氣後終於到達，運動過後食量應該會大增。餐廳是日本居酒屋格調，木系為主，燈光較暗，給人下班後立即放鬆的感覺。赤蝦刺身剛坐下，店員推薦有活動玩：一手抓赤蝦！碟裡盛著8隻蝦，玩法是一手抓到多少就送多少。朋友負責抓，怎樣努力也只能抓到5、6隻，店員忍不住悄悄地說：「抓多少都送你們8隻」。最後，桌上送上了8隻肥嫩蝦刺身。赤蝦刺身赤蝦刺身今晚我們點了個性價比較高的扎幌漁港二人前套餐（$988），食物豐盛。餐前小食前菜很特別，食材有慢煮鵝肝、海草和牛蒡，分量少，但做得非常精緻。餐前小食餐前小食季節沙律甜酸爽脆，開胃。季節沙律和風燒物料理燒物有三種選擇，由於羊架和牛肉較常吃，我們選了較少吃、少見的生燒藍儲吞拿魚下顎，賣相像蓋子原來是魚皮，燒得脆香，打開“蓋子”，盛著一大塊肥嫩的吞拿魚肉，鮮味濃郁，淡淡肉，果然沒點錯。生燒藍儲吞拿魚下顎生燒藍儲吞拿魚下顎生燒藍儲吞拿魚下顎三點浜燒料理有南非鮑魚、北海道帆立貝、日本直送活生蠔和函館北寄貝，廚師在旁用噴槍炙燒食物，鮮甜美味，火候剛好，把汁鎖住了，好吃。三點浜燒料理浜燒料理浜燒料理浜燒料理浜燒料理日本生蠔刺身吃起來清爽，肉質飽滿，佐略帶酸味的醬料，味道有層次感。日本生蠔刺身蟹殼蟹膏甲羅燒這道菜值得一讚！蟹膏用碗盛載，加上蟹籽和蔥花等，塗麵包一流！蟹殼蟹膏甲羅燒主食：選了成田蒲燒鰻魚丼和火炙香蔥三色迷你海鮮丼，相當柔軟，淋上的醬汁甜而不膩，海鮮就稍遜，味道不太突出。成田蒲燒鰻魚丼火炙香蔥三色迷你海鮮丼最後上甜品，完美結束！"
2023-09-27,5,4,5,4,5,"
上次試過秋田板燒刺身，食得好開心，今次試佢樓下嘅爐端燒，選了札幌漁港二人套餐（$988）。
餐前小食、季節沙律有水雲海藻、牛蒡蒜頭漬、慢煮鵝肝。三樣不同質感、味道，滿意的開始。沙律加了柚子汁，更加清新。
日本直送活生蠔飽滿滑溜、新鮮，灑上青檸汁味道特別。
侍應拿出一盤赤蝦，話一手能夠抓多少便送多少，更送上技巧貼士，讓我們免費多了一份赤蝦刺身。本來放工好攰沒有mood，但玩完竟然開心返😎。
生燒藍鯨吞拿魚下顎第一次食藍鯨吞拿魚下顎，估唔到可以咁香滑，充滿魚油魚香，但一啲都唔腥。而外層燒到脆卜卜，可以搣嚟食，正！
人氣蟹味噌甲羅燒廚師一啲都唔吝嗇，大大份蟹膏，伴烤得香脆嘅蒜蓉法包多士，調和了濃郁的蟹膏味，好滿足！
鮮活南非鮑魚真正的爐端燒，職員把烤爐放在餐桌上慢慢烹煮赤裸的活鮑魚，不用任何調味，已十分鮮甜彈牙，值得等待。
函館北寄貝、北海道帆立貝繼續爐端燒，肉汁保留在貝殼內，同樣原味上已足夠感動味蕾。
火炙香蔥三色迷你海鮮丼三款刺身魚中有我特別鍾意的左口魚，又甜又滑溜；飯的醋味亦調得很適中。
紅豆杏仁奶凍再飽也必須吃，有淡淡的杏仁清香，加上紅豆溫柔的甜，是這餐完美的結束。
"
2023-08-24,4,4,4,4,,"
之前到沖繩旅行吃過當地的浜燒即在海邊捕獲海產後即燒品嘗的傳統料理最近發現尖沙咀天文台道都有這款料理今次就跟朋友來【秋田浜燒食堂】嚐嚐這裡的鮮•我們看過餐牌後就點選了🍽扎幌漁港二人前套餐($988for2persons)未開始用餐前店家跟我們玩一個‘’一手赤蝦‘’遊戲結果我一手抓了7隻我們就多了7隻鮮甜赤蝦吃了🤭⭐️餐前小食有明太子沙律水雲漬山藥漬⭐️季節沙律⭐️澳洲頂級牛胸肋骨肉一個相當嫰滑的部位非常軟腍擁有恰好的油脂👍🏻👍🏻⭐️人氣蟹味噌甲羅燒滿滿蟹肉蟹膏蟹籽塗在多士上層次感豐富三點浜燒料理⭐️鮮活南非鮑魚⭐️北海道帆立貝⭐️日本直送活生蠔⭐️函館北寄貝師傅以熟練的手勢為我們席前烹煮充滿日式漁港風味而且每款食材相當新鮮以簡單調味就可以燒製中已嗅到海鮮香烤味道吃下每款都帶有鮮甜味道而且師傅燒得恰好這個浜燒簡直豐富我們味蕾與視覺享受❤️自選食事---我跟朋友分別選了⭐️成田蒲燒鰻魚丼蒲燒鰻魚賣相吸睛而且相當肥美⭐️鮮蟹肉明太子蛋黃醬冷烏冬搞拌後吃充滿清新的口感味道都很不錯甜品⭐️紅豆杏仁豆腐我喜歡吃杏仁豆腐加上紅豆點綴很有日式風味杏仁味香濃而且不太甜來個完美的句號【秋田浜燒食堂】這個套餐都相當很不錯食材新鮮有質素店員服務貼心裝潢充滿日式風格想嚐嚐日本浜燒風味這裡是個不錯的選擇🤗🤗"
2023-05-24,5,5,5,5,5,"
入到去已經好似去左日本咁，職員有禮貌😝主動話我地知有個一手捉赤蝦刺身活動😎😎😎朋友仔好似好有信心，一於比佢試下🙈但只拎到四隻，隔離枱拎到七隻!!!落單食左小樽漁港二人set($1088)
