time,taste,environment,service,hygiene,indigestible,comments
2023-08-05,4,4,4,4,,"
幾年前的冬天就跟朋友們曾經來這裡吃雞煲，現在炎炎夏日，還是心念念想要來回味一下😋..𐐂單點(散叫)ALaCarte𐐚❥黃金起司雞煲(小)HK$228雞煲有大小之分，我們只有兩個人，所以選了小份，不過份量也已經很充足了😲另外還可以依個人喜好來自選起司碎和芫荽的份量，甚至可以把中芹和洋蔥去掉，非常貼心🥰雞肉大大塊，而且肉質嫩口，上面沾滿了濃厚的起司醬汁，又一直保持著熱騰騰的温度，吃得很滿足呢😋(服務員告知我們先別急著開煲蓋，要等起司全熔化了才可以開吃喲🥢)❥霜降Prime牛板腱HK$228一盛上來就很吸眼球👀滿滿鮮紅的一盤，而且每片牛肉都滿大塊的，肉質相當的鮮嫩而且有微微的奶味，建議煮前先讓服務員先加湯，把起司和芫荽味淡化，這樣才更能吃得出牛肉本身的鮮味～❥蜂巢冰豆腐HK$28豆腐比想像中要好吃🤩差不多把雞煲裡的雞吃完以後，讓服務員幫忙添加點湯水，再把豆腐放進去煮😆豆腐鎖住了湯汁，也彈牙嫩口，我跟朋友都覺得很讚😆..𐐂飲品𐐚❥可口可樂(凍)HK$19❥青咸檸七(凍)HK$24.."
2023-11-13,4,4,4,4,4,"
😋encore芝士雞煲🧀️依間港式雞煲可以選擇芝士或麻辣雞煲❤️另外多種類火鍋配料可以點半份試多幾款唔同食物😜平日夜晚去都幾多人食飯好好氣氛😝
黃金芝士雞煲(小):兩至三人分享雞肉大件又厚嫩😋配芝士醬汁好惹味😊
手打鮮墨丸(半份):手打墨魚丸大粒爽口又鮮甜🤩好推薦大家試😇
鮮製韭菜餃(半份):4粒大大件韭菜餃餡料豐富又皮薄!
油麥菜(半份)魚皮鮫(半份)
稻庭烏冬:芝士烏冬好正🥰食唔停口😋
"
2023-11-12,4,5,5,4,5,"
嚟過幾次都係食麻辣雞煲今次終於搵到飯腳陪我食邪惡嘅🧀🐥🥘
混醬是必須的芝士雞煲～點咗細份芝士量仲可以免費增量🆙店長都好細心介紹教我地點食先唔會痴底出面好多雞煲骨好過肉呢度就真係啖啖肉好足料雞煲底下嘅壯娃菜係精華所在煮到好腍吸晒啲芝士汁🤤食完雞煲就加湯打邊爐🍲點咗手打蝦丸、墨魚丸、蜂巢豆腐、出前一丁可以簡半份/全份本身諗住半份得好少點知啲手打丸上到枱原來咁大粒兩樣都好彈牙～而且仲有粒粒嘅蝦肉同墨魚肉增強口感🦑蜂巢豆腐放落個湯度吸晒啲精華一流食埋個出前一丁就完美啦店長成日都會幫手加湯同換碟服務很可以而且座位都好闊落
"
2023-09-14,5,5,5,5,5,唔好以為食雞煲地方一定係好簡陋，環境一般，米走雞幾間分店都裝修得美輪美奐，乾淨企理。今次就同愛吃友人黎到銅鑼灣分店黎個邪惡既芝士雞煲😋之夜。一坐低店員已經好快手放低調味盤（$18）俾我地，可以係位舒舒服服咁調醬，然後就開始點餐喇～黃金芝士🐥雞煲（小）$228-上到枱見到滿滿既芝士鋪滿係雞上，已經令人食指大動！店員都好貼心提醒我地唔好攪拌雞煲，滾後直接食即可。一夾雞就有拉絲既芝士，愈邪惡既野果然愈好味，雞既數量都好多。變左芝士麵🤤勁滿足！雞食得7788後，就可以叫店員加湯，變成打邊爐喇！🤩鴨肝M5和牛丸$58-第一次食咁高級既丸🥹既有和牛香，仲有濃濃鴨肝香，兩種滋味夾埋真係好味到衝擊味蕾澳洲頂級和牛🐮封門柳$328-質素超高！脂肪不多但肉味香濃，肉質軟腍，入口軟腍，口感十足，令人回味無窮！娃娃菜（全份）$48-通常打邊爐🍲菜類永遠叫半份都唔夠食，所以叫全份，點知份量超多！好驚喜😆娃娃菜十分新鮮，打邊爐用黎吸曬湯汁真係一流！蜂巢冰豆腐$28-豆腐吸收湯汁，再配合黃豆香，非常美味😋凍檸樂$24清熱銀菊露(壺）$78其實數年前芝士雞煲好hit時，已試過米走雞，想不到時隔幾年再光顧時，一樣咁好味，仲比以前更進步，有更多新穎既選擇，環境亦都精緻了不少。依到店員仲好值得讚，會提醒我地小心燶底，會主動加湯，見我地未食完雞，就等我地食到咁上下先拎碟牛出黎，食物好環境好店員好，今晚真係食得好盡興😆
2023-09-13,5,5,5,4,4,"芝士迷嘅我最愛就係食芝士雞煲😋雖然好邪惡，但真係好好食！呢間米走雞火鍋我由太子分店開始已幫襯多年，今次試左銅鑼灣嘅Deluxe分店，唔止食物依然出色，仲坐得好舒服，決定寫個食評推薦大家試試！
