time,taste,environment,service,hygiene,indigestible,comments
2023-10-22,4,4,4,4,4,"
香港旺角火鍋放題今天去香港旺角逛街，天氣開始轉冷，也是吃火鍋的時候。這家餐廳推出了全新120分鐘任食火鍋套餐，每位附送時令刺身拼盤和蔬菜綜合盤，而且是雪糕放題，任吃的。
餐廳有八款養生美顏湯底選擇，可以鴛鴦鍋或者四款湯底，另外有多款火鍋配料和飲品無限供應。餐廳要用scanQRcode自助落單，介面都幾清楚，容易落單。每款肉或菜寫一等於一份，丸類一份2粒，肉類會有一碟。
職員服務質素都好好，會快速地自動幫你收盤和上菜快
環境舒適感覺柔和，另設兒童樂園，適合家庭聚餐。座位寬敞舒適，火鍋爐有抽風功能，吸走油煙。提供紙巾、平板下單有圖片對照非常方便～另外自助醬料區有多款醬料，另收加一服務費膠原蛋白養顏必試豬骨湯裡加入了很多中藥材：人參，瑤柱，紅棗及枸杞等，非常足料，咸宜適中，火鍋一流
（放題雙鍋）滋補養生香辣鍋大辣都不會很辣，有很多中藥
牛肉方面有：澳洲M6+和牛前腿心、美國PRIME牛下肩胛、美國安格斯三角牛、精選肥牛、四方肥牛等等。必食三國牛，肉質是嫩而且牛味濃郁。另外，竹簽蝦鮮甜爽口，值得一試甜品方面，檸檬雪葩、豆腐雪葩和蜜瓜雪糕🍦都好味服務質素：7/10環境舒適度：8/10ᶘᵒᴥᵒᶅ個人口味評分：7/10
"
2023-10-13,5,5,5,5,5,"
