time,taste,environment,service,hygiene,indigestible,comments
2023-08-31,4,4,3,4,5,"
📍翔壽司
之前已經聽人講過呢間好抵飽好多次，個日出開嚟想係日本排核廢水之前食次壽司就book左呢間，原來仲要有Omakase😋💡如果book左位都可能要等一陣，因為真係小店得10個位左右~同埋有限時60分鐘—————————————————————❣️櫻Sakura$380/位晚市$500有找真係好抵！有10件壽司，手卷同湯，真係食得飽！下面講下啲比較特別嘅壽司！🍣壽司·金目鯛壽司圖左1·北海道牡丹蝦壽司圖右1好鮮！好香！彈牙
·深海池魚腩圖左2·縞蝦壽司圖右2·赤貝壽司圖左3·生銀鱈魚壽司圖右3竟然有🐷至愛！師傅用火槍燒過，魚香味出曬嚟！好正！！！
·北海道海膽圖左4海膽比得好足成坐山咁！一啲都唔腥，好欣賞佢加左啲海鹽係面，帶左鮮味出嚟👍🏻👍🏻
·吞拿魚腦天圖右4🐷都係第一次食！原來係吞拿魚嘅額頭肉，口感都幾好，不過食食吓形住食緊啲奇怪部位🤣🤣
·筋子圖左5好正，係個口有爆漿嘅feel
·大吞拿魚腩壽司圖右5
🍙蔥吞拿魚腩手卷吞拿魚蓉就一般般啦，似係啲雪藏野，不過咁嘅價錢都很可以！
🦐蝦頭面豉湯好香，好有鮮味，食完咁多生冷野暖下個胃都好唔錯！
—————————————————————不專業評分👅好味指數:8/10💰性價比:9/10👍🏻推薦:8/10—————————————————————🏡地址:翔壽司(尖沙咀)尖沙咀厚福街5-6號多富閣地下4號舖🕑營業時間:12:00-22:30—————————————————————
"
2023-10-13,5,5,5,5,5,"
驚喜😆約朋友上班中lunch去的本來都怕要等位或上菜好耐會食太急雖然鋪頭細細是有點窄😵‍💫但店員服務很好很貼心🥰位置少坐得有點迫店員有幫忙主動問掛褸也幫我放好👍由於台面細不能多放東西店員很努力保持我台面清潔及清走不用東西很感動香港好耐未有過既服務🥹食品都很不錯新鮮即做特別好味🥳lunch訂了位不用等適合上班人士速食之餘有時間享受下不用浪費時間於等位等食品物到🥲整體十分滿意❤️會再來的謝謝🥰"
2023-10-05,3,3,4,3,4,"
厚福街呢度出名多嘢食，以前喺尖沙咀返過一排工都有成日過嚟食lunch。今次過去係純粹係附近行街，所以自然就過咗嚟食lunch。翔壽司入邊係全bar枱，裝修簡約。12-5pm有午市定食，價錢由$68至$278。想食豪啲亦可以揀omakase，有3個sets，價錢由$380-$680。特上壽司盛盒(10件)$258海膽、三文魚子、牡丹蝦、帶子、炙燒金線鯛、吞拿魚腩、深海池魚、鯖魚、油甘魚、真鯛定食配麵豉湯同沙律。三文魚子夠咸香口感一流，深海池魚同油甘魚肥美，牡丹蝦彈牙，吞拿魚腩入口即溶。感覺飯較多，所以10件都食到幾飽。
"
2023-09-28,5,4,5,5,5,"
難得收早，去尖沙咀shopping，行開街就同同事食個latelunch啦…行到去厚福街，成條街都係小店，大把嘢食！同事同我都想食壽司，見到呢間門面細細，望入去又幾骨子喎，一於就食佢啦！打開門其實都嚇一跳，店面真係好細😅🤭不過又好有日本小店feel，好彩座位都幾舒適闊落，師傅同店員都係講廣東話，如果唔係都唔知點叫～😁🤣佢有好多lunchset，今日想食好啲，就叫個最貴㗎啦！！套餐包括一個沙律同一碗海帶豆腐味噌湯，仲有12件精品壽司，每件都可以自己揀，種類都好多，除咗基本嘅吞拿魚腩、三文魚腩、左口裙邊之外，仲有幾款軍艦，估唔到仲有深海池魚同真鯛！👍🏻🥰有幾款魚個名真係好特別：鮫鰈、魴鮄……🤔真係聽都未聽過😅抱住好學精神向店員請教，原來係左口魚個朋友---右口魚！🥰👍🏻食味同左口魚相近，但油份冇咁重，比較淡身少少，但都係十分鮮甜味美！👍🏻👍🏻🥳全部魚生質素都好高，十分新鮮，我由淡口食到濃味，每件都有不同風味，中間用薑片清一清，口腔內就唔會影響到品嚐下一件嘅口感啦～而且要一讚嘅係佢個壽司豉油🥰👍🏻原來係自己重新調過味，所以唔會好似平時咁，一食完壽司就覺得好頸渴～😓🫣平時仲有幾款唔同價格嘅omakase，所以下次要同閨蜜再嚟食過！"
2023-09-28,5,3,5,5,5,"
今天和朋友到尖沙咀逛街，途經美食厚福街，被門外的壽司相片吸引，就立即入去吃壽司啦！一入門口見到店舖門面好精緻，麻雀雖小五藏俱全，而且店舖細細地好有一本壽司店嘅feel。我們點了午市精選壽司12件套餐。我點了：三文魚腩、吞拿魚腩、鮫鰈、深海池魚、赤貝、牡丹蝦、帶子、火炙三文魚腩、火炙左口魚邊、蟹肉蟹膏軍艦、海膽軍艦、蔥吞拿魚腩軍艦。朋友點了：魷魚、油甘魚、吞拿魚腩、鮫鰈、深海池魚、赤貝、牡丹蝦、帶子、火炙左口魚邊、魴鮄、真鯛、海膽軍艦。每件手握壽司的米飯很軟糯，所有食材都很新鮮，咬下去鮮甜順滑。我特別欣賞帶子和赤貝，真的很鮮甜美味。最值得一讚是那Wasabi和醬油。店員告訴我們醬油是他們自己煮和調味的，所以味道不會「死咸」，蘸着各種魚生，份外鮮甜美味。整體而言，翔壽司的壽司新鮮美味，選擇多。店員服務亦優良，我們今次誤打誤撞下發掘到一間高質小店，當然要記錄一下啦！"
2023-09-26,4,3,4,3,4,"
由於今天下午只吃了點輕食，故未夠六點便開始餓了。去尖沙咀取完網購的戰利品後，經過翔壽司，便決定吃個早鳥壽司晚餐。看餐牌後，發現這間壽司店的午市定食供應時間居然是至下午五時。我二話不說便挑選了午市精選12件壽司定食，包括吞拿魚腩、鮫鰈、深海池魚、赤貝、牡丹蝦、帶子、赤蝦、甜蝦、火炙左口魚邊、火炙帶子、蟹肉蟹膏軍艦及海膽軍艦。壽司首要是新鮮，翔壽司的出品絕對可令你放心，魚生鮮味肥美，壽司飯又不會一咬下去便散開。定食除了12件壽司外，還附送麻醬沙律及麵豉湯，令人吃得開心又滿足。
"
2023-09-26,4,4,4,4,4,"
餐廳名稱:翔壽司(尖沙咀)地址:尖沙咀厚福街5-6號多富閣地下4號舖喺尖沙咀想吃新鮮的日式刺身及壽司，即刻諗起呢間翔壽司，我之前跟家人吃過相當不錯！今日與朋友再次來吃，點了午市精選壽司12件：包括有牡丹蝦、三文魚及吞拿魚腩、鮫鰈、帶子、赤貝、深海池魚、火炙左口魚、辣味吞拿魚軍艦、牛油果沙律軍艦、蟹肉蟹膏軍艦及海膽軍艦，能一次過吃12款不同款的壽司真幸福❤️每件壽司的大小適中，飯粒煮得剛剛好，質地柔軟熟透，緊緊黏著魚片或其他配料，咬下去香氣四溢，口感滑順😬刺身則用料上乘，肉質新鮮軟熟，入口即溶，口感鮮美，也有不錯的水準！我個人特別欣賞的是帶子，帶子肉質鮮嫩，口感柔軟，肉質彈牙，帶有微妙的帶子甜味👍整體而言，這家日式小店地方雖然不是很寬敞，但勝在食材新鮮，口感頗佳，值得一試。"
2023-09-24,5,4,5,4,4,"
今日黎到位於尖沙咀既哩間日式料理店。餐廳入面係L型吧枱，座位係鐵製高腳椅。餐牌上面有唔同價位既一人套餐，可以因應自己budget選擇～🍣豐盛一人餐$248刺身：油甘魚2切、赤貝壽司：吞拿魚腩、象拔蚌、深海池魚、蟹肉蟹膏、吞拿魚腦天、迷你三色丼油甘魚厚身肥美，肉質鮮甜；赤貝有驚喜，質感爽口，味道同樣鮮甜。壽司已經加入適量既Wasabi同埋醬油，唔需要自己再額外調味～吞拿魚腩無筋，新鮮肥美；象拔蚌爽口清甜；深海池魚質感清爽；蟹肉同蟹膏味道鮮甜；吞拿魚腦天清甜，肉質軟腍，魚皮爽身；迷你三色丼有海膽、吞拿魚蓉及三文魚籽，三樣既份量都唔少，食得相當滿足～🌹翔之戀$78用中拖羅包裹海膽及三文魚籽，中拖羅肉質柔軟，肥美鮮甜，而海膽creamy，唔會有腥味，加埋三文魚籽一直食，鮮味十足～"
2023-09-13,5,5,5,5,5,"
今日中午天氣悶熱，午餐想吃點壽司，便到了尖沙咀厚福街的翔壽司。午市套餐由12:00至5:00，有多個選擇、丼、盛盒、omakase，還包括沙律及麵豉湯。手機下單好方便，最後點了《特上壽司盛盒》10件壽司。海膽軍艦鮮甜好味，吞拿魚腩入口即溶，帶子大粒啖啖肉，三文魚子甘香美味，幾款魚都好味各有特色。服務員態度好，不時加茶。"
2023-09-13,3,3,4,3,3,"
幾年前食過翔壽司，記得當時感覺幾好，覺得可以再試….可惜今次再食無乜驚喜….味道(6/10)環境(6.5/10)服務(7.5/10)抵食(6.5/10)揀咗午市自選壽司🍣10件，可以揀嘅壽司係比較普通，大路啲果種。想食海膽呀拖羅要揀貴啲嘅sets。午市自選壽司10件$168每一件壽司都普通水準，好似蔥吞拿魚腩軍艦，莫講話紫菜唔脆，有啲韌，我唔太覺得自己食緊吞拿魚腩。兩件火灸壽司，左口魚同金線鯛，火灸之後嘅魚油香好淡。其它都係無乜可以highlight嘅位…..餐廳環境格局都ok，服務幾好…📜🍣🍣午市自選壽司10件$168"
2023-09-06,5,5,4,5,4,"
避開人潮靜獨自嘆Lunch，入到去好似日本魚市場旁嘅壽司店一排吧台。而午價錢親民有Set、自由配搭及廚師發辦等～是但一款都有驚喜
🥢迷你三色丼＄98細節精緻有拖羅蓉、海膽、鮮艷三文魚籽拼起來✨奢侈✨有美感。🥹晶瑩剔透魚籽爆發出豐富的海味，接住不同料一淡充滿不用層次，份量剛剛好🍱刺身•壽司盛盒＄148（包湯&沙律)🌊三色刺身~赤蝦、三文魚、油甘魚🌊壽司5貫～赤身、真鯛、魴紼、帶子、左口魚邊🥢頭三款壽司魚身較瘦較淡，所以會選擇先食！而珍寶玉白帶子啖啖肉👍🏻；左口魚邊微炙讓油逼出，入口溶化焦香味濃濃😋🥢最好的梗係後續~🦐赤蝦大隻爽口，厚切刺身夾起來非常油潤，口感豐富柔軟質地，帶有淡淡的油脂香氣，超正🤩💝價錢嚟講質素高，午市12-5Pm選擇種類多，盒子拼盤俾人有滿足驚喜，新鮮食材～值得推薦🫶🏻
"
2023-09-03,4,4,4,4,4,"
呢間餐廳好有日本小店feel，但嘢食勁高質豐盛一人餐$248刺身有油甘魚2切同赤貝壽司有5嚿！吞拿魚腩超肥美！食落入口即溶🥹食咗呢嚿已經勁滿足lol象拔蚌好爽口👍🏻深海池魚魚味都幾濃～蟹肉蟹膏就冇咩特別～吞拿魚腦天竟然呢到都食到！🥺魚味同油脂味都好濃🥹好正迷你三色丼先最surprise🥹！本身以為得面頭嘅海膽！點知滿滿的勁正勁滿足！呢個set真心幾抵好滿足！梅壽司$88呢個set分別有吞拿魚面頰肉、甜蝦、池魚、芥辣八爪魚、左口魚邊、玉子～平平地6件壽司都幾抵食！左口魚邊最正🥹燒完勁香魚油好出好香！真心好高質！絕對會encore!!
"
2023-08-26,5,5,5,5,5,早幾日趁平日下午啲唔係peakhour時間幫趁左呢間口碑不錯的小店.呢度係由前米芝蓮推薦餐廳的壽司師傅班底開嘅，佢哋嘅理念就係希望將高質日本料理普及化，讚👍餐廳環境不大呈L字型座位容納十人左右.午餐選擇豐富，有多款海鮮丼仲有自選壽司組合等價錢由七八十蚊去到二三百不等，想食好少少都有三百幾到六百幾的omakase.平平地叫坐個十件自選壽司$168.跟湯同沙律，飽肚感十足，仲有好好嘅哥哥仔好勤力咁幫我refill茶完全唔洗我開聲先過嚟加十分抵讚.師傅新鮮即製手握壽司，賣相精緻.除左常見款式如油甘魚，吞拿魚，池魚同深海池魚，真鯛，蔥吞拿魚腩軍艦，飛魚籽軍艦，赤蝦等等，好似火炙金線鯛，魴鮄就比較少見到.全部新鮮肥美色澤鮮明.估唔到呢個價錢可以食到高質壽司.不過呢，臨走八卦問下改入口管制單野點拆，佢哋話暫時都有少量受影響產品庫存，但係之後呢就要去搵第二啲來源替代，但少不免供貨價就會被搶高.希望佢哋可以解決到個問題繼續為大家提供高CP值又美味的食物吧！支持下呢啲高質小店.希望香港唔會嚟緊只係得返高價omakase先生存到吧🤞🏻
2023-08-23,5,4,4,4,4,"
今日去左尖沙嘴開會，好想食壽司，lunch就揀左間日本餐廳食嘢，間餐廳裝修好有日本feel
估唔到呢間餐廳竟然有壽司lunchset，我就立刻叫左個刺生壽司盛盒🤗🤗岩曬我今日口味
刺生壽司盛盒有三款刺身：分別係三文魚、赤蝦及油甘魚，而每款壽司都有兩件😌全部都係我想食嘅款式，加上每件刺身都係非常厚切，非常新鮮🤗大滿足
