time,taste,environment,service,hygiene,indigestible,comments
2023-09-27,5,5,5,5,5,"
係上星期尖沙咀行完街要搵晚餐食係街見到廣告牌寫住雞煲$168送8個串燒同埋有無酒精飲品任飲於是就上去試下啦咁侍應姐姐都幾好人介紹返個$168套餐比我地咁雞煲係有得選小辣我唔太食得辣就選左小辛啦
雞煲外觀好有古式官香感雞件黎講都算滑唔會話好鞋口調味都唔錯有仲有d鮑魚仔咬下串燒方面正路既豬肉牛肉雞肉連羊肉都有咖啦我地2個人就每樣要d咁樣啦每人8串上台望落原來都唔少食落質素正正常常無特別大問題雪櫃仲有飲品任飲"
2023-09-02,1,2,2,4,,"
裝修不倫不類。$128一隻細雞，兩個人食真係唔知食左咩，隻雞絕對係細隻少肉多骨都左知食乜😂😂$168一客食一隻瘦雞再加d冇心燒串燒，9成都係成品入貨，hea爆又燒唔夠，出黎個菠蘿好似生一樣，雞皮最明顯燒唔夠，係又林又唔香，都冇信心再叫其他野食，真係唔好浪費時間，全場7點都係得兩台？咁冇心不如炒左佢先啦😂氣炸鍋重好味唔好浪費食物唔好浪時間啦嗎重知$168雞煲唔知係到做乜，又唔係有火熱住得個雞？學咩人？叫雞煲大不了一個小菜姐，叫中辣一啲香辣味道都冇，三不像搞咩呢？港式雞煲，又唔似港式雞煲，四川雞煲又唔似四川雞煲，同雞煲一點關係談不上，你有冇食過無火？打邊爐啊？中伏完全係。"
2023-08-28,4,4,4,4,4,"
$168鮑魚雞煲送串燒🫣餐廳主打每位$168嘅套餐包括定量椒麻鮑魚雞煲、八串串燒、任飲無酒精飲品更可+$68任飲啤酒、清酒、梅酒（必須全枱一齊加）========᪥椒麻鮑魚雞煲雞煲係定量鮑魚數量跟人頭亦有唔少配菜😲😲========᪥串燒每人可選八串串燒一共有22款選擇牛肉、雞肉、羊肉、蔬菜、丸類任君選擇串燒以川式調味較重口味及濃味😶😶========᪥無酒精飲品任飲只有紙包飲品可以任飲
"
2023-08-27,4,4,5,5,5,"
