time,taste,environment,service,hygiene,indigestible,comments
2023-06-13,5,4,5,4,4,"
朋友30歲生日，就訂左胡爐火鍋同佢試下啦。
坐低先叫個日式蕃茄沙律食下，有好多片番茄，酸酸甜甜咁好開胃👍🏼之後朋友就揀咗新出嘅魚翅瓜荷葉鵝掌八寶鍋湯底，湯底非常足料，有幾大隻鵝掌，好多嘅小帶子，仲有好大舊魚翅瓜，非常之鮮甜😛🤤
至於火鍋料嗌咗一個胡爐牛拼盤，牛拼盤有牛舌，牛柳粒，同埋肥牛。三個唔同嘅部位可以試晒，正🤤
餃子拼盤
有四款餃子，黑松露蟹肉餃，XO醬鮑魚蝦餃王，手工雲吞，韭菜餃🩵每款餃子皮薄餡靚，全部都係人手包既😛個人最鍾意黑松露蟹肉餃，啖啖黑松露味，令人想一食再食🙈手打丸拼盤包括芝心墨魚丸,梅菜豬肉丸,手打蝦滑,牛骨牛汁丸全部手打丸都好彈牙，好新鮮👍🏼我同朋友都覺得個芝心墨魚丸同手打蝦滑特別出色🤤蔬菜拼盤
呢個蔬菜拼盤超正，係我最鍾意食嘅其中三種菜，油麥菜，娃娃菜，同埋小白菜🥬打邊爐必叫👍🏼整體來講呢間火鍋店性價比好高，所有食材都好新鮮，完全對得住個價錢。食到半路朋友已經話要約下個月再嚟食多次😛😛😛
地點:胡爐(銅鑼灣)銅鑼灣耀華街3號百樂中心3樓
"
2023-08-24,5,5,5,5,3,"
胡爐是一家位於香港的知名火鍋店，以其獨特的火鍋風味和高品質的食材聞名。該餐廳提供各種類型的火鍋，包括傳統的鴛鴦火鍋、海鮮火鍋、麻辣火鍋等，滿足了不同口味的顧客需求。胡爐的火鍋湯底是其餐廳的一大特色，他們使用新鮮的食材和精心挑選的香料熬製湯底，確保湯底的口感和風味最佳。無論是清湯、麻辣湯還是鮮甜湯底，都能讓顧客享受到濃郁的湯味。此外，胡爐也注重食材的品質和新鮮度。他們從可靠的供應商處選購新鮮的海鮮、肉類和蔬菜，確保食材的新鮮度和美味度。顧客可以根據自己的喜好，在各種食材中進行選擇和搭配，打造出自己獨特的火鍋風味。胡爐的用餐環境舒適和溫馨，餐廳內提供舒適的座位和寬敞的用餐區域，使顧客能夠放鬆身心，盡情享受火鍋的樂趣。此外，他們的服務團隊專業友善，樂於為顧客提供協助和建議，確保每位顧客都能有一個愉快的用餐體驗。總結來說，香港火鍋店胡爐以其獨特的火鍋風味、高品質的食材和舒適的用餐環境而聞名。無論你是火鍋愛好者還是想要品嚐正宗香港火鍋的旅客，胡爐都是一個值得一試的好選擇。
"
2023-07-06,5,5,5,5,4,"
日式和風蕃茄$58超fresh又開胃的前菜！新鮮蕃茄配上酸酸甜甜的醬汁，健康又好食招牌鮮椰青雞鍋$298首先店員炒起啲雞同椰肉已經好香，再加上奶白色嘅雞湯同成個椰青倒落去！！淨係飲湯呢餐都夠了，飲到唔捨得落料打邊爐🥹胡爐牛拼盤$398賣相好吸引，安格斯手切肥牛係最多油脂最入口即溶，手切牛頸脊就多左啲肉味同咬口但都唔係唔韌，牛舌芯超級好吃的，爽口而不韌。第一次吃牛胸爽，很爽口。
手打丸拼盤全部都食得出原材料打成嘅🥹又彈牙又真係有嗰樣野嘅味。推薦墨魚丸和牛丸，很真材實料！
