time,taste,environment,service,hygiene,indigestible,comments
2023-09-06,5,5,4,4,4,"八府巡按$488
出左糧食豪啲先！作為火鍋愛好者，我係可以一年四季都打邊爐！上OP見到呢間好多海鮮就BOOK左喇。上到嚟，發覺個地方都唔細，就算平日都full。設計好好，廉可以放落嚟，無論係一個人，兩個人，定一大班人都得，私隱度充足。枱上面都會都提示每樣食物應該蒸幾耐，可以較定時，唔怕overcooked。
揀左八府巡按套餐$488一個人。
八府巡按$488有🥗沙律，🍗芝麻雞翼，雞軟骨餃子🥟。
海鮮有白蜆，蝦，大蜆，鮑魚，元貝，扁蟶子，鮮魚片，肉蟹，龍蝦(半隻），三寶丸，時蔬拼盤。肉類要咗安格斯牛肉，如果要全部都係牛高要+$10。
安格斯牛肉呢個係價錢中上嘅套餐，有好多海鮮，另外仲有個蟹籽沙律，炸雞翼，咁軟骨餃子，炸到脆卜卜，雞翼炸到啱啱好。所有貝類都好Juicy，好多汁，蒸出嚟好鮮甜。鮑魚同肉蟹都係啖啖肉，仲有好多膏，超級滿足。另外揀咗安格斯牛肉，見到油脂分布都好靚，好香牛味。
龍蝦(半隻)+$28蟹肉蟹膏粥加多咗少少錢，最後店員會幫手煮個粥底，會加咗蟹肉蟹膏落去煮，成個粥都好鮮甜，忍唔住食晒。蟹肉蟹膏粥另外有水缸，見到晒所有海鮮，好生猛，隔籬就係醬料區，可以自己配製。呢度有好多套餐揀，建議大家可以叫個平啲，再配個貴啲share食，咁樣就可以食到好多唔同嘅嘢。
"
2023-09-01,5,5,5,5,5,"
