time,taste,environment,service,hygiene,indigestible,comments
2023-10-08,4,4,4,4,5,"
上星期日日都30幾度，特別想食泰國嘢開下胃！🥵元朗圖書館對面就有間大件夾抵食嘅泰菜餐廳。餐廳有室外同室內座位，放擺咗好多熱帶綠植🌿，亦掛咗唔少特色裝飾，同時播放住泰國歌手MV，充滿泰國風情！菜式方面走海鮮系泰菜🦑，都幾啱口味，而且份量偏大，非常足料，兩個人食其實叫小食加主食已經好足夠！除咗普通menu，仲有啤酒+伴酒菜嘅套餐🍻，最啱三五知己一齊夜繽紛！
沙嗲串燒(豬+牛+雞)$118沙嗲串燒(豬+牛+雞)$118🍢沙嗲串燒(豬+牛+雞)$118沙嗲串燒有豬、牛、雞各兩串，用啤酒杯裝，可以瀝乾多餘嘅油份，仲插住一束迷迭香吸油，塗上花生味十足嘅嘅沙嗲醬，食落惹味而唔油膩！雞肉燒得外皮焦脆內，入面保持嫩滑，豬軟腍入味，而牛肉牛味濃郁有韌勁，送酒一流！
酸子炸豬手$168酸子炸豬手$168🍖酸子炸豬手$168炸豬手同平時食嘅德國豬手好唔同，外皮酥脆，肉質軟腍，搭配酸梅子醬，酸酸甜甜，有啲似食緊梅子骨。
廚師特色蝦醬炒飯$138廚師特色蝦醬炒飯$138🥘廚師特色蝦醬炒飯$138呢個炒飯上碟已經好吸引，一串鮮甜大蝦插喺魔鬼魚乾同蛋炒飯上面，好courful！將鹹香鮮味嘅魔鬼魚乾整砌，撈入蛋同蝦醬炒飯，增加上炒飯嘅口感，好有層次！
泰式菠蘿特飲$35🍹薄荷青檸梳打$45梳打有薄荷同青檸嘅清香，一啖飲落去，涼爽嘅口感，解渴舒暢！🍍泰式菠蘿特飲$35濃郁嘅菠蘿甜香，喺炎熱嘅天氣中帶來一股涼意！沙嗲串燒(豬+牛+雞)$118沙嗲串燒(豬+牛+雞)$118沙嗲串燒(豬+牛+雞)$118"
2023-09-27,4,4,4,3,3,"
元朗劇院附近的一家特色泰菜，遠處已能看見一片綠林，如同走進小曼谷似的。
晚市時間餐廳裡不乏家庭式顧客，也有年輕男女舉著啤酒杯歡談暢飲。餐牌除套餐單點外，也有一些與啤酒搭配的鮮味伴酒菜餚，想跟三五知己找間酒吧來上幾杯，這裡也不失為一個好選擇。我們二人點了一道柚子鮮蝦沙律、餐前小吃的沙嗲（雞牛豬混搭）、班蘭咖哩魚另配一份薄餅，再各叫了一個椰打和一杯石柚特飲。特別一提這裡的份量偏大，要是兩個女生的話可能小食主食各一份已經足夠。
甜柚鮮蝦沙律$108柚子沙律擺放得井然有序，擺碟帶點法式風情，可能是受到外觀影響，感覺吃起來也有點法國菜的味道；伴醬帶有濃烈的黑醋香，酸爽減輕了柚子的澀味，配上爽口的紫椰菜、生菜吃起來更加開胃。沙嗲串燒 MIX$118串燒改以啤酒杯盛載，觀感更玩味之餘，把油份都瀝乾了，頓時降低了不少罪惡感。三種肉類中我最愛雞肉，肥瘦恰當，外皮焦脆內在鮮嫩，蘸上花生香突出的沙嗲醬風味十足。
要是喜愛緊實瘦削的肉質則推薦牛肉，咬一去全是韌勁。
斑蘭咖哩魚$198斑蘭咖哩是屬於甜口，混入椰汁更增香甜，不過奶香略為遜色；薄餅口感煙煙韌韌，雖略微偏油不夠酥脆，但配上惹味的咖哩還是能吃上好幾塊。
薄餅$55魚看著壯觀，先經過油炸使魚皮和幼骨都炸成酥脆，更加香口；火候拿捏得不錯，魚肉還是軟嫩，對魚類不太熟悉，但這道菜用的魚種刺不算多，肉質也緊實不鬆散，正好適合作濃味和油炸菜式。
椰青$50椰青非常清甜解喝，在這炎炎夏日用上一杯解暑止渴。值得一讚這裡的服務態度和上菜速度，上菜快，但又不會催促離座，下次跟朋友歡聚還會再來。
石榴特飲$35"
2023-09-21,5,5,5,4,4,"
這間薄荷葉泰國菜，在元朗圖書館對面，有露天座位，晚上時間很多人在餐廳外的空地遛狗，看著也感覺悠閒舒適。餐廳裝飾充滿泰國民族風情，有投影幕播放著泰國歌手MTV，潮流與古樸兼備啊！先來兩杯泰式特飲消暑。菠蘿汁$35，十分清新甜美，菠蘿味道夠濃；石榴汁$35，很香石榴味，酸酸甜甜，消暑又開胃。酸辣鳳爪沙律$98，酸辣味不算很濃烈，適合香港人口味，微微的酸辣，加上爽口鳳爪和沙律，是夏日消暑良品。自家製作炸蝦餅$88，擺盤漂亮，份量算大份啊！炸得外脆內軟，蝦肉味香，爽口彈牙，醮酸甜醬，更是充滿泰國特色，覺得比其他泰國餐廳的蝦餅更抵食。特色菠蘿飯$128，用木桶盛載有特色，吃下才知道味道很好。用料足，有菠蘿、肉鬆、雜豆、提子乾、魷魚，吃著每口飯都有不同口感；菠蘿青甜的果汁拌飯吃一流，飯也煮得煙韌，真的有口感又美味。粉絲雜菜煲$118，份量也很多，用鐵鍋上，很香蒜蓉味，拌著粉絲和雜菜，有蔬菜清甜加鑊氣香味，味道濃淡得宜，收乾醬汁掛著粉絲，煮得恰到好處，非常喜歡！估不到除了裝修有心思，食物也特別用心，煮出來色香味俱全，要讚讚這裏的泰國廚師呢！如果有朋友聚會也很適合來光顧，服務、舒適度、味道，都有齊了。
"
2023-09-13,4,4,5,4,4,"
