time,taste,environment,service,hygiene,indigestible,comments
2023-11-10,5,5,5,5,5,"
✅厚切鰻魚串鰻魚串用日式醬汁醃製過放上燒烤爐上燒皮脆內嫩肉質夠晒彈牙超級好食✅大頭蝦大頭蝦多膏彈牙燒汁追住食如果未夠喉仲可以用鉗夾旁邊游水新鮮大頭蝦隻隻都跳跳札即夾即燒！食三十隻完全唔係問題留肚食新鮮大頭蝦✅現場仲有好多款海鮮比你任食有大蜆鮑魚生蠔魷魚三文魚鮫帶子同時令各種魚類全部海鮮食材都好新鮮一d都唔馬虎除左海鮮仲有好多唔同既燒烤食材比你任食任燒包括有牛仔骨牛柳雞柳串豬仔肶羊架羊肉串雞皮雞軟骨豬柳扒腸仔各種丸同蔬菜類花多眼亂✅燒雞皮超脆邊爐上面燒海燒爐中都仲可以擺肉類黎燒保證夠時間比你食✅土匪雞翼燒烤點小得燒雞翼呢到嘅土匪雞翼好入味又大大隻燒返幾隻先✅羊架超大件又小小蘇蘇地加埋孜然粉味道好夾呀現場仲提供不同熱食例如醉蝦涼拌青瓜魚皮咖哩魚蛋飲品同雪糕又多選擇真的要介紹比你👍📍蝦蝦燒(佐敦)佐敦白加士街10-24號永富大廈1樓
"
2023-11-09,5,5,5,5,4,"
好玩又好食流水蝦👍🏻👍🏻🤩勁多海鮮任燒！想食左好奈既蝦蝦燒，終於食到！仲要比我想像中更加正喎！每張枱隔離已經係流水蝦蝦缸，安坐係自己餐枱已經可以夾到新鮮流水蝦，好方便！又可以一路食一面望住啲流水蝦游嚟游去，感覺好正！除咗流水蝦，仲有超級多海鮮可以任攞！有鮑魚、扇貝、帶子、生蠔、蜆同埋大蜆，連原條鮮魚都有！當中食得最多係鮑魚，非常之腍，一d都唔韌！店員仲會主動剪去鮑魚殼！貝殼類都非常之大隻！一坐下，店員已經幫我哋放左蝦係爐燒緊，仲會送每人一大串海鰻！這個鰻係超好食！燒到卜卜脆，熱辣辣，好好味🤤！串燒款太多試唔晒！食左雞肉串，有咖哩味同好嫩滑，燒全翼都好惹味，燒魷魚🦑煙韌得來又腍！食到飽食燒菠蘿，勁甜勁多汁，正好消膩！熟食都有不少，豬紅，熟蝦，辣酒煮花螺等等！甜品仲有雪糕食！雲呢拿味、綠茶味、朱古力味、椰子菠蘿味等等！樣樣都想試！食左成四杯🥴😋飲品既種類都係好多，放左幾個雪櫃，汽水，茶類，仲有生啤，韓式燒酒任飲！非常之抵！星期一至四每人$349，星期五到星期日$379。而家仲有大閘蟹放題星期一至四都只$468，星期五到星期日$498！正正，下次再食埋！"
2023-11-09,5,5,5,5,5,"
疾情前喺台灣食過呢類捉流水蝦的燒烤，念念不忘，今次喺香港畀我見到有呢類餐廳，就二話不說，搵埋好朋友一齊嚟試下！😍
$348@一位（另收加一）*有得玩活捉生蝦*有得任吃各種新鮮海鮮，有鮑魚仔，帆立貝，北寄背，海螺，帶子，原條墨魚等等。🦐🦐流水鮮蝦生猛爆膏，新鮮又彈牙🦪蒜蓉牛油生蠔，食到停唔口，鮑魚真係不得了，又淋又鮮味！串燒同熟食有齊牛有豬有雞，蔬菜，仲要不停refill，食到個肚反轉再反轉！🤪🍹🍸另外飲品亦都係全部任飲，有十多二十款任君選擇，有啤酒汽水，韓國燒酒，茶，果汁等等！最後有點能夠放過甜品雪糕呢？咁就嚟一個圓滿嘅Ending！生啤都任飲，已經值回票價！下次我一定會再嚟架！👍🏻👍🏻😋餐廳：蝦蝦燒(佐敦)😋地址:📌佐敦白加士街10-24號永富大廈1樓"
2023-11-07,5,4,4,4,5,"
呢度有好多款海鮮包括原隻魷魚魚三文魚鮫扇貝沙插大蜆小蜆多春魚魷魚串❤️羅氏蝦有個超長魚缸我地坐係旁邊嘅枱任夾任食❤️燒鱔限量一人一串真係好厚肉好彈牙必食❤️扇貝任夾任食好新鮮隻隻都好大隻架❤️鮑魚都係任食架會晤會太豐富起碼都食返5,6隻啦❤️大蜆好鮮甜而且好大隻燒大蜆好食服務員首先會比兩串鱔同埋粗鹽羅氏蝦燒烤爐有兩層，上層主要用來燒海鮮，下層用來燒串燒非常有效率旁邊仲有調味粉，包括鹽椒鹽辣粉同埋孜然粉肉類包括有豬仔髀羊肉串雞肉串牛仔骨雞皮牛柳雞軟骨串台灣腸花枝腐皮卷蝦肉腐皮卷漢堡扒雞翼雞全翼❤️雞皮串肉類串燒可以擺下層超有效率雞皮串夠香❤️羊架好大件又soso地加埋孜然粉好好好味❤️土匪雞翼食燒烤雞翼是必須的呢度啲雞翼好入味❤️牛柳串牛柳好大件而且夠晒淋好抵食呀熟食仲有醉蝦涼拌青瓜，涼拌魚皮咖喱魚蛋仲有大量雪糕任揀任食呢到食物種類真係好多而且好高質大部分坐位旁邊都有個缸可以現撈羅氏蝦好玩又好食店員會經常拎啲活蝦去缸到添值得推薦比一家大小嘅你地📍蝦蝦燒(佐敦)佐敦白加士街10-24號永富大廈1樓
"
2023-11-05,5,5,5,5,5,講到食生猛流水蝦，咁就當然唔少得好出名嘅蝦蝦燒！🦐佢哋隻隻大頭蝦都大大隻爆曬膏😍😍真係講起都流口水！除咗生猛流水蝦之外，佢哋仲有超多唔同嘅海鮮、串燒、甜品飲品任食！完全可以滿足到一家大細，所有人嘅需求🥳🥳價錢方面，呢度都算幾抵食，咁多款式嘅新鮮海鮮任食，星期五六日夜晚都只係收$378一位，三百零蚊就可以任食兩個半鐘個款海鮮🤩🤩🤩絕對係回本最佳選擇💯💯💯海鮮種類方面，基本上你諗得出嘅都有，魷魚、鮑魚、扇貝、生蠔、花甲、各款魚類，全部應有盡有！就好似入咗去街市咁咁，咩都有得食！✅✅
2023-11-03,5,5,5,5,5,"
一入到嚟已經聞到香噴噴😍我哋兩個人用一個爐燒上下兩層都可以用完全夠晒燒可以食到新鮮嘅大頭蝦💕💕好正好好味好容易燒一陣就熟喇有好多唔同嘅食物，可以選擇有蒜蓉包、菠蘿、粟米、豆卜、窩夫、茄子、翠玉瓜又有串燒紅腸同我最鍾意嘅紫薯💜💟仲有好多高質嘅肉類推薦羊架同羊肉串💕仲有牛仔骨都好正有漢堡扒同煙鴨胸等等而且乜嘢海鮮都有有蠔、元貝、鮑魚、蜆、魚等等到最後當然唔少得嘅係雪糕啦🤩總結覺得呢間餐廳好玩，又好好食一定會再嚟幫襯💕👍🏽
"
2023-11-03,5,5,5,5,5,"之前去過荃灣分店嘅蝦蝦燒今日就去咗佐敦分店呢間分店一樣好大亦都好多人幫襯呢度好多野食!!好容易燒👍🏽除咗生鮮仲游緊水嘅蝦之外
仲有已經整好晒嘅椒鹽蝦同醉蝦
個醉蝦好味到我係咁食完又食食完又食好香酒味🤩🤩🤩嚟到一定要試另外仲有煮好嘅西蘭花😋
海鮮方面都有好多選擇
我哋除咗蝦之外仲燒咗帆立貝同魷魚
加埋啲牛油同蒜茸蔥花好好味😋肉方面我哋燒咗羊同牛
加啲孜然粉同椒鹽喺上面好好味呀好香羊味另外仲每人送一串燒鰻魚好香呀😋😋"
2023-11-03,5,5,4,4,4,"
