time,taste,environment,service,hygiene,indigestible,comments
2023-09-02,4,3,4,4,3,"
一大班人慶祝生日，打邊爐就最好不過，尖沙咀韓國街附近有間專攻高質既火鍋「醉胡爐」，就等我試下佢究竟咩葫蘆賣咩藥啦🫢火焰龍蝦海鮮鍋先炒一炒個龍蝦，之後倒入烈酒再點火形成火焰，待酒精揮發後再倒入龍蝦湯，但個龍蝦鮮味無預期的香濃胡椒豬肚花膠雞鍋胡椒又香又辣，花膠雞湯濃郁，好好飲香辣台式鴨血鍋鴨血好入味，麻辣辣度都有中辣，個辣味偏向重慶多過台式既辣啤酒打邊爐點可以無啤酒，麒麟生啤，正加拿大象拔蚌刺身叫左條大既象拔蚌，鮮甜又彈牙，好好食加拿大象拔蚌刺身極上本地騸牯牛頸脊肉質嫩腍，適量既油花唔會話食幾塊就好膩，打邊爐必點既部位極上本地騸牯牛頸脊本地騸牯肉眼邊爪肉質相對較有嚼口，肉味濃郁，脂肪適中，同牛頸脊完全唔同既質感本地騸牯肉眼邊爪孖寶海鮮組合蟶子皇+大連鮑魚，蟶子皇夠鮮甜，鮑魚肉質就較硬身，但都尚算新鮮其他配料丸類、滑類、水餃都正常發揮整體食材係高質的，海鮮都幾新鮮，牛亦都唔錯，如果唔想有時間限制，包房就可以食足全晚，當然係有mincharge的，一大班朋友都會建議包房，夠私穩度之餘又唔會嘈親人嘛🫢"
4天前,5,5,4,4,3,"
🦞首先上來一鍋生猛的海鮮，有龍蝦、大蝦、花膠、螺片、青口等等，加上整個番茄一起煮。10分鐘後，香味四溢，先來兩碗湯吧，滿滿龍蝦味。
再來一道佛跳牆，材料太豐盛了吧，鮑魚、螺片、更加厚實的花膠，用來打火鍋有點過分。我們先喝了一半湯底，服務員又很熱情地幫我們添加金色原湯。花膠無腥味，好彈牙，好美味，螺片都大個。
上等肥牛在湯底涮一涮，不加調料就足夠鮮美了。豬頸肉亦好爽滑。海鮮配日本清酒一流，清酒呢度都有好貨可揀。
"
2023-11-12,1,1,1,1,,"
中大伏，獻出人生第一篇差評，鍋底死鹹，食材只可以話正常，一入去就介紹話openrice優惠，一隻元貝+一隻鮑魚98蚊，結果元貝好細，鮑魚都係街市100蚊10隻果隻大連鮑魚。最過分係，兩大一細，order左兩罐可樂，問店員要杯水，埋單收左我哋8蚊*3的茶位費，話係杯清水的收費，仲要乘3，聞所未聞！唔會有下次！終於理解點解openrice近1000好評，尖沙嘴旺區，星期日晚7點，walkin有位，得零星幾檯客，試過一次都誤會再去啦！
"
2023-08-29,5,5,5,5,,"
和朋友慶祝生日，我們決定去享用豪華的打邊爐！首先點了魚翅瓜荷葉鵝掌八寶鍋，價格只需$298。這款打邊爐超級漂亮！鍋裡放滿了大塊的花膠、鮑魚和鵝掌，鮑魚肉質鮮甜，湯底滋味濃郁，非常美味。最令人期待的是將魚翅瓜切開，瓜肉非常好吃！接著點了手切頂級安格斯肥牛，價格也只需$298。每片牛肉都十分厚實，搭配濃郁的牛肉味道，讓人享受到極致的肉質口感，一片接一片，停不下來！餃子拼盤和丸類拼盤各價格為$128，也是必點的菜品。餃子包含鮮蝦餃、香茜豚肉餃和黑松露蟹肉餃，每一款都用上了真材實料，口感鮮美。丸類拼盤包含了各式手打丸子，每一款都口感彈牙，十分好吃。此外，還點了蔬菜拼盤，價格只需$68。蔬菜新鮮而且品種豐富，為打邊爐增添了一點健康和色彩。這家餐廳位於尖沙咀柯士甸路20號保發商業大廈地舖的醉胡爐。無論是菜品的豪華程度還是口味的美味程度，都讓我們度過了一個滿意的生日聚餐。如果你也喜歡打邊爐，這家餐廳絕對是值得一試的地方！
"
2023-08-28,1,4,1,1,,"
我第一次打食評咁我講咗食物先啦唔開心嘅嘢遲少少再講呢間好耐前聽聞朋友話好食，見OpenRice嘅好評都幾多咁就諗住去試吓入到去我哋都讚呢個環境幾好細細間有間房仔咁樣點咗個鴛鴦鍋，一個辣既，一個係胡椒花膠花膠嗰個胡椒味真係太重牛呢就冇問題，幾好食。但係出事喺個牛胸爽佢屬於比較厚切但係好騷，完全唔想吞所以牛胸爽係我哋唯一完全放棄唔食蠔好腥鵝腸好食既，唔知點解我好似食到有滷水味😂其他不過不失可能期望有啲高，所以失望比較大失望都算啦仲要發生啲令人好唔高興嘅嘢首先第一樣唔好既事就發生係我凳都未暖時候調味料個盤野有隻曱甴仔爬咗出嚟我地都只係叫侍應幫我地換過一盤我地亦都係正常態度問佢可唔可以換過一盤，有隻曱甴仔係入面爬左岀黎。亦都係呢個侍應唔知佢係咪好不滿我地叫佢換過盤呢？之後就開始講野奇奇怪怪，行為奇奇怪怪好啦調味料再上過一盤，同時都開始上菜係我加緊調味料嘅時候，竟然無語調講咗以下呢句說話[係咪加完，我收走](一路講隻手已經想拎走盤野)大佬我拎緊住隻匙羹㗎，好明顯未完啦係咪.當時我亦都唔覺得有啲咩奇奇怪怪只係覺得佢講嘢態度好衰，我都係答佢[我仲未得你等我一陣]後來食食下個爐熄咗，咁我哋試過撳個爐既開關掣，同埋睇吓係咪唔小心踩到插蘇個開關掣。但係我哋都係開唔到所以就撳鐘叫，點知又係呢個侍應。一入嚟勁大力一腳踢落去拖板嗰個插蘇位，之後佢就撳開關。踢落去果下大聲到我都知喺個插蘇鬆咗，係我朋友唔小心踢鬆左個插蘇。然後呢個侍應開返個爐之後同我哋講，你哋都冇撳開關，梗係開唔到爐！我哋三個人完全打晒問號，好明顯係個插蘇鬆咗，點解要無啦啦彈句話我哋冇撳果爐嘅開關😑其實心情唔好唔好發洩落啲客到，唔好覺得我地3個女仔唔會岀聲。一開頭你態度唔好我哋都冇咩反應都算數。但係唔出聲唔代表你可以求其揾野話我地！然後我朋友都開始岀聲，表示我地都係疑問所以先叫人入黎開爐。中間侍應講咗啲咩我唔記得啦，但我嬲都講咗句，唔開心唔好返工住啦！點知佢一路企喺我哋個門口開住我哋都冇望住我哋，我諗應該1分鐘有多，唔知佢個下諗緊啲咩。都唔知係咪想打人！埋單嘅時候亦都問佢同事你呢個同事係咪本身講嘢係咁樣定係佢今日心情唔好。其他同事真係冇問題都好nice。但係嗰位先生係咩事到底？俾2千幾蚊食餐飯仲要受氣呢間真係無下次牛胸爽"
2023-08-11,4,4,4,4,4,"
手切頂級安格斯肥牛與紫菜炸響鈴，簡直彷彿踏上了一場口味的探險之旅。每一口肥牛都像絲絲入扣的音符，隨著咀嚼逐漸散發出深沉的肉香，彷彿在舌尖上輕輕奏響。嫩肉與脂肪層的交織，賦予了這道菜式獨特的層次感，每一切都在口中和諧共舞。而紫菜炸響鈴則是一場脆脆的樂章，當我輕輕咬下時，那種響亮的脆響如同音樂中的高音符。這片紫菜在油炸的過程中，既保留了紫菜本身的鮮甜，又賦予了它令人難以抗拒的酥脆口感。每一口咀嚼，都彷彿在舌尖上拉開了一幅風景，讓我不由自主地沉浸其中。
"
2023-07-22,4,5,4,5,5,"
好朋友帶我黎嘅，聽講佢哋呢度嘅火鍋同串燒都好出名，令我食得超心癢癢！今日天氣都係咁熱，食火鍋啱啱好。而家就嚟講下我嘅食用後感受啦！首先，要推薦一下佢哋嘅招牌菜式-梅菜豬肉丸同手打香茜榨菜牛丸。兩款丸子食落去超彈牙，加上梅菜同香茜榨菜嘅味道，好開胃！其次，我又叫咗份手切頂級安格斯肥牛，絕對係一級棒！肥牛嫩滑多汁，蘸上特製醬汁，好吸引人！最令我驚喜嘅係胡爐十二道牛盛，入面有唔同部位嘅牛肉，包括牛舌同牛肚等，滿足咗我對牛肉嘅渴望。每塊牛肉都經過精心烹調，保留咗牛肉嘅鮮味同嫩滑質感，令人回味無窮！
"
2023-07-16,5,4,4,5,5,"
