time,taste,environment,service,hygiene,indigestible,comments
2023-07-21,4,4,4,4,4,"
之前食過一次鐵板燒覺得好正呢排見餐廳推出咗九周年優惠A5和牛南非鮑魚二人前5️⃣折超抵即刻訂檯過嚟食翻餐‼️依加仲有龍蝦🦞刺身送每款食材用料都非常上盛
-A5和牛南非鮑魚二人前-$1340
🔸日式柚子沙律柚子帶酸甜味道，同沙律完美融合。柚子嘅果肉質地柔軟，口感爽滑，與青瓜、蔬菜相互呼應，更加突出清新嘅口感。🔸清酒田螺呢個係冷盤，入口時帶有淡淡嘅海鮮鮮味。田螺嘅口感有少少似蝦，但更為細膩，咬落好有嚼勁。🔸話梅漬車厘茄用話梅醃製過嘅車厘茄食落酸酸甜甜咁，作為前菜特別開胃。🔸活龍蝦刺身第一次食龍蝦刺身，肉質比煮熟更滑溜，而且更爽口彈牙，鮮味十足，非常出色！🔸時令刺身三款分別係油甘魚、牡丹蝦同埋鮮蟹鉗。油甘魚嘅油脂感好正，牡丹蝦鮮甜彈牙，鮮蟹鉗配麻醬亦好好味。
🔸日式洋蔥汁煮白鱈魚魚肉首先喺鐵板煎到外層金黃，再加埋洋蔥汁烹煮，真係一啲都唔簡單。食落肉質好嫩滑，同時吸收哂洋蔥汁嘅香味。不得不提師傅將魚皮煎好香脆，為呢道菜嘅味道同口感再進一步昇華。🔸日本鮮海苔伴活南非鮑魚呢道菜嘅擺盤好有心思，鮑魚非常新鮮大隻，師傅會將鮑魚香煎後切片，口感依然保持到好彈牙，味道亦好鮮甜。配埋日本海苔醬食就仲正。🔸季節時蔬師傅簡單調味再喺鐵板上炒一炒都已經好美味。食咗咁多海鮮同肉類，食吓蔬菜清一清都唔錯。
🔸日本北海道產A5和牛薄燒師傅燒緊嘅時候都已經睇到流哂口水，A5和律嘅油脂分布好搖，食落油脂感十分豐富，做到入口即溶嘅效果，同時牛味亦好香濃，非常高質。🔸日式鉄板炒飯鐵板燒嘅炒飯好有鑊氣，而且米飯炒到粒粒分明，醬汁嘅調配亦都恰到好處，真係幾飽都會想食哂佢。
🔸海鮮湯用魚肉新鮮熬製而成嘅湯，飲落好鮮，完全唔腥，鮮甜又帶香濃魚味。
