time,taste,environment,service,hygiene,indigestible,comments
2023-08-27,5,4,4,4,4,"
表哥就嚟出發去旅行，趁佢出發前專登約佢食番餐日本嘢。近期嘅話題不外乎喺「福島」核污水，講笑咁講，今次真喺「福」水難收。海產類可能會食少啲，甚至停一段時間先，都喺觀望住發展，但其他食材就唔喺太擔心，所以，今晚嚟到「長阪燒」就趁倒水前盡興。 
餐廳位於商廈中，一出電梯，已睇到極有和風嘅裝潢，一室以木系為主，有吧枱、散座、卡位，地方都算大，加上天花極具和風嘅燈籠，仲有唔少富日本風情嘅壁畫，感覺好唔錯，非常有氣氛。 
最鍾意喺啲靠窗嘅卡位，因為一來靠窗，可以睇吓街景，二來每個卡位都有啲布簾隔一隔，增加咗好多私隱度。 
餐牌內容就唔特別講喇，因為作為居酒屋有非常多選擇，飲品亦喺更加有唔少酒精類飲品。 
除咗主餐牌，仲有啲季節限定生蠔組合、廚師推介、自家釀梅酒……等等，我哋就睇啱咗一款生蠔組合，就喺4隻生蠔加一杯白酒非酒精飲品，只賣$138，亦可以加38蚊轉為梅酒，因為喺自家釀製，頗有興趣試一試。 
自家釀梅酒$58聽店員介紹，佢哋呢啲自家釀嘅梅酒喺釀咗兩年時間，所以，絕對喺心機嘢，而晌吧枱尾尾就見到一大罌一大罌釀緊嘅梅酒。除咗一杯杯咁賣，如果夠人多，亦可以成枝咁落單，亦可以買走。
因為點咗個生蠔組合，所以，只需另外加多38就可以試到呢款梅酒，如果要埋粒梅，就再加多$8，但我覺得值得加錢配。梅酒酒色清澈，味道醇厚帶少少甜味，所以，相對易入口，並且滲出陣陣梅香，餘韻長，不過，酒精濃度都幾高，唔好睇小佢。 
自家釀梅酒$58季節限定生蠔組合$138雖然餐牌無講明蠔嘅來源地，但店員話一定喺時令靚貨，有興趣試嘅客人亦可以事先問問店員喺咩蠔，睇下啱唔啱食先落單。而是夜嘅生蠔喺愛爾蘭石蠔，出面啲蠔吧食往往要$50-$60隻。隻蠔外形窄身瘦長，肉身較薄，帶爽脆嘅口感，蠔味鮮甜，而海水鹹味幾重，怕海水味重嘅客人可以唧多少少檸檬汁，再加埋雞尾醬汁調和一下，風情亦唔錯。 
季節限定生蠔組合$138季節限定生蠔組合火炙三點刺身$288日本菜吸引之處就喺賣相精美，擺盤富心思，就好似呢個火炙三點刺身，單喺睇樣都好吸引，3款刺身包括有火炙帶子伴三文魚籽、火炙左口魚伴海膽、火炙吞拿魚腩，而山葵都喺新鮮手磨貨色，絕對夠晒誠意。 
火炙三點刺身$288
試過之後，3款刺身都好出色，可以講各有特色，難分高下。大大粒嘅帶子鮮甜爽口，左口魚炙燒過油香突出，襯埋海膽無得輸，而吞拿魚魚味濃郁，輕輕一炙口感更柔潤。 
火炙三點刺身火炙三點刺身火炙三點刺身串燒雞脾肉 $32  睇人哋嘅評論，就話呢度嘅爐端燒幾有一手，而當中「燒鳥」嘅選擇就特別多，店員就叫我哋試試呢個雞髀肉。高溫嘅炭火唔單止燒香外皮，更能夠鎖住肉汁，所以，入口啲雞髀肉既嫩滑，又富肉汁，帶有少少碳火香，食得出師傅嘅手勢好。 
串燒雞脾肉$32串燒雞脾肉煙肉車厘茄$28、豚肉秋葵$38、豚肉露筍$38既然佢哋嗰爐端燒又一手，無理由淨係試一款雞髀肉，所以，再嚟一輪3款串燒：煙肉車厘茄、豚肉秋葵、豚肉露筍，有肉有蔬菜，減低一下自己嘅罪惡感。
煙肉車厘茄、豚肉秋葵、豚肉露筍
煙肉車厘茄一向好受人歡迎，因為煙肉燒過就好惹味，配以酸爽嘅車厘茄，絕對好有化學反應；豚肉秋葵亦都好食，薄薄嘅豚肉滲出少少油脂，令爽口嘅秋葵充滿又香；至於豚肉露筍，亦都幾得，露筍好鮮嫩，入口無渣，呢幾款串燒配梅酒都一流好。 
煙肉車厘茄、豚肉秋葵、豚肉露筍$38煙肉車厘茄、豚肉秋葵、豚肉露筍$38煙肉車厘茄、豚肉秋葵、豚肉露筍$38松葉蟹膏多士$128表哥未食過甲羅燒，所以，呢一款松葉蟹膏多士對佢嚟講喺一度好新鮮嘅菜式，有啲似食法式鵝肝醬多士咁。蟹膏混上少少味噌，火炙而成，味道濃郁豐腴，大量咁搽落脆口嘅多士，非常香濃惹味。 
松葉蟹膏多士$128松葉蟹膏多士
今晚無論所試嘅刺身，還是爐端燒、蟹膏多士，都喺好高質素嘅出品，再者用料絕無欺場，而招呼方面都好熨貼，侍應亦好有禮貌，讓我哋兩老表有頓好稱心嘅晚飯。
"
2023-08-11,4,5,4,5,4,"
