time,taste,environment,service,hygiene,indigestible,comments
2023-11-16,4,4,3,4,5,"
平時想要食海鮮大餐，分分鐘都要近成千蚊先食到，不過這間主打任食海鮮火鍋的餐廳就超抵呀！
可以食兩個半小時，收費就各時段不同，但都只是近四百。記得最好要先訂位，應該不太可能Walkin就有檯，因為目測幾乎全場爆滿。
眼見店員都真係好忙好忙，雖然有時來不及回應，但都盡力招呼我們，服務算是用心的。環境方面，座位及檯都很寬敞，絕對夠位置擺放一碟又一碟的食材。開餐前，先來一壺由精緻茶具盛裝的時令燉湯，兼有一個小火爐保溫，燉湯入口清甜完全無味精。既然講到飲，順帶一提此店是加$20能升級任飲汽水或茶飲的。
再來就是韓式芝士雞煲（如不食芝士，可選泰式酸辣雞煲或是四川麻辣雞煲），親眼看著芝士煮溶後變成拉絲的感覺，未食已經流口水，雞件啖啖肉，肉質夠嫩滑，好少骨頭部分，那堆滿滿的洋蔥亦勁鮮甜。
由於我們另加了$108任食龍蝦的抵食優惠，所以第二道菜就是一大碟椒鹽炒活龍蝦，大廚都幾重手，椒鹽好多好惹味，而且龍蝦鉗有好多隻，肉質爽彈。單是食雞煲及龍蝦都已經食到半飽，但還未開始海鮮火鍋啊！
海鮮火鍋正式開始前會有一盤霸王海鮮盤，嚴選的食材包括越南大虎蝦、澳洲大龍蝦、蘇格蘭聖子及大元貝、臺山奄仔蟹、新鮮鮑魚，真正完全是活海鮮！虎蝦及鮑魚仲識郁的，龍蝦肉質結實彈牙，奄仔蟹好多蟹膏，帶子夠厚肉。
食完這盤之後可以再任點其他生猛海鮮及新鮮河鮮，款式太多就不逐一推薦了，不過個人最喜歡的是肉味濃郁的安格斯牛肉、魚皮有厚厚膠質的龍躉頭腩、滑到溜口的牛骨髓、爽彈的手打黑松露墨魚滑、保留少許爽實咬口的台灣白鱔片，以及黄沙潤都值得encore。
由於太飽都已經沒有品嚐太多其他餃類及丸類的火鍋配料，真正專攻海鮮及肉類，呢餐海鮮餐好滿足！
"
2023-11-12,4,4,4,4,4,"
天氣轉涼，又係時候打邊爐！🐥放工約咗幾個friend去咗呢間任食雞煲連生猛海鮮，盡情食餐勁嘅！😋餐廳係以前好多樓上cafe嘅登打士廣場，環境喺旺角嘅餐廳嚟講都算大，🤣好熱鬧好有氣氛！
🧀芝士雞煲同平時啲雞煲放題一樣，先食雞煲，之後打邊爐。雞煲有泰式酸辣、四川麻辣或者韓式芝士揀。今次我哋揀咗芝士雞煲，雞肉切成細細的塊狀，肉質嫩滑，配上甜蜜的紫洋蔥一起炒熱，散發出香氣。濃郁的芝士融化在雞肉上，每一塊都可以拉絲，非常美味！
🦐霸王海鮮盤食完雞煲就到重點！先嚟一個豪華海鮮盤，包括越南大虎蝦、澳洲大龍蝦、蘇格蘭聖子、蘇格蘭大元貝、臺山奄仔蟹同本地新鮮鮑魚。
🍲火鍋任點除咗頭盤，之後可以任點包括鮑魚、游水海蝦、肉類、蔬菜、自家製同火鍋配料，都幾多嘢揀下。
🦪每一種海鮮都好新鮮，啲鮑魚上枱嗰陣仲識用，非常引人注目！
🦀奄仔蟹好多膏，令到個湯底勁鮮甜，最尾放出前一丁落去煮，吸晒啲精華，一流！🦞原隻大龍蝦好厚肉彈牙，只係食佢已經回本！
🐟當中有唔少魚肉片可以揀龍躉片同鱸魚片都好鮮味！
🥩安格斯牛肉油脂均勻，牛味濃郁，值得叫多幾碟！
🦞椒鹽龍蝦餐廳每日都會有一樣隨機幾食材可以點，今次係椒鹽龍蝦，炒得好有鑊氣，龍蝦鉗都好多厚肉，算係一個驚喜！
"
2023-11-10,5,5,5,5,5,"
先黎用心fill爆晒既新鮮豉油配料。我地加左個超正嘅芝士龍蝦。呢個龍蝦真係爽口到爆！佢嘅肉質好鮮嫩，每一口咬落去都好有彈性，仲留住佢嘅鮮甜味。而且，芝士同龍蝦嘅配搭簡直係絕配！芝士嘅濃郁同龍蝦肉嘅鮮甜味道完美結合，口感好豐富。我每一口食落去都能夠感受到芝士嘅滑溜溜質感同龍蝦嘅鮮味，真係好正！
隔離仲有濕紙巾，俾你抹手，細心照顧到我呢啲怕食到污糟嘅人。￼
再黎服務員會送上一個茶壺，下面有火熱住嘅，原來內有乾坤，入面係一個燉湯，係屈機既燉湯，唔知個湯叫咩名，太多好野食唔記得問，不過如果想知中湯天花板，就一定要試試佢。溫馨提示記住趁熱飲，凍左冇甘鮮甜。￼
韓式芝士雞煲，真係又要大讚一番！首先，芝士味道超級濃郁，每一口都充滿了芝士的香氣，令人垂涎欲滴。雞肉的質地非常嫩滑，肉質入味，係有醃過既，芝士加雞一齊食給人一種舌尖上的享受。我地d大食怪見隔離有個魚缸啲象拔蚌係到郁下郁下，就忍唔住加埋個象拔蚌刺身！一食入口，象拔蚌肉質鮮美，帶有微妙的海洋味道，每一口都讓我驚艷。它的口感嫩滑，鮮甜爽口，再加埋日式Wasabi，真係一絕，絕對是海鮮愛好者的天堂！餐廳帶俾你嘅絕對係高品質材料，絕對冇揸流攤既成份同對得住個價錢，仲可以叫CP值勁高Tim。其次，我要稱讚一下呢道菜的外觀。象拔蚌刺身以薄片呈現，色澤鮮豔，質感細膩。每一片象拔蚌刺身都散發著誘人的光澤，令人難以抗拒。到海鮮火鍋時候，佢地會先送上霸王海鮮拼盤有兩隻越南大虎蝦、帆立貝、一隻澳洲大龍蝦，兩隻仲識郁既鮑魚。
火鍋湯底叫咗麻辣海鮮湯，我哋仲叫咗好多其他嘅海鮮，包括有龍躉魚肉片、珍珠蠔、海中蝦、蟶子、大蜆、手打蝦滑，脆肉鯇魚。整體嚟講，全部都好新鮮，令我最深刻嘅係珍珠蠔，非常肥美，咬落去入面有一啖湯甘，好正呀，冇諗過打邊爐放題可以用高質海鮮汁飽個肚，極致幸福。佢仲有安格斯牛肉，我地只係叫左半份，唔係因為佢唔好食，佢都好好食。係因為實在有太多靚海鮮揀，食唔到甘多。總括而言，想食打邊爐冇伏就揀呢間。
"
2023-10-15,4,4,4,4,4,"海鮮火鍋自助大餐 $398呢間樓上舖火鍋店，落單係用環保方法，每台畀咗一張有膠套保護嘅點菜單，點菜時客戶自己用白板筆喺上面每次剔出8份食材，入單即上菜之後可以跟住另外再剔8份，又再可以無限次重覆點單動作，食到你飽為止😚🔸芝士雞煲 （頭盤，包餐內）雞煲底如果唔揀芝士可改選泰式酸辣或四川麻辣。煎香咗嘅雞件，主要係雞髀肉，食落味道都覺得啲雞肉已經醃得比較有味，加上撈咗入個芝士煲裏面黐埋啲芝士一齊食，更加過癮。跟雞煲上嘅仲有一大壺燉湯，幾好味，飲多幾杯可能一陣嗰肚食唔落太多火鍋美食。🔸霸王海鮮拼盤有：兩隻巨型越南大虎蝦、蘇格蘭聖子、大元貝、新鮮鮑魚都有4隻、象拔蚌片、台山奄仔蟹（幾大隻，有膏）、而且仲有一隻澳洲大龍蝦，單食隻澳龍已經值回票價。所有海鮮都十分新鮮，拼盤擺出嚟啲蟹腳、蝦龍鬚同埋啲鮑魚仲係郁緊嘅，好生猛。這家喺講明做海鮮火鍋，所以必定要多點海鮮食材，以下幾款應多點：鮑魚、海中蝦（有海水咸味）、蟶子皇、大蜆、大魚頭、龍躉頭腩。龍躉魚肉片同白鱔都新鮮好味，但用來打邊煱好易熠到魚片過老。品種太多無可能全都提及，另以下幾味值得點：手切安格斯牛、牛筋丸、黃沙潤←這幾款我都重覆要咗兩三次。這家手打的蝦滑反倒比墨魚滑好食。黃沙豬潤和滑牛肉片上枱喺用花生油養住嘅，保持到肉質嫩，想得周到。整體味道：7/10性價比：8/10
"
2023-10-14,4,4,4,4,4,"
旺角食咩好～AllYouCanEat•FreshSeafoodHotpot主打牛肉嘅任食火鍋就食得多啦,但係主打活海鮮嘅,有幾多個做得到⁉️阿爺八鮮鍋HK$398/位(某啲時段再平啲),可以無限追加雞煲,活海鮮,同幾十款火鍋配料😲唔使大胃王,只需要正正常常咁食,都可以輕易回本😂當日係平日夜晚去,估唔到全場爆滿,有興趣嘅建議大家預早訂枱😉坐低之後先食雞煲,跟住會有滋潤燉湯😌到火鍋嘅部分,我哋揀咗蘋果豬肉湯底,都幾清甜🍎嘩嘩嘩有個時令海鮮拼盤,二人份量已經有齊龍蝦🦞肉蟹🦀大蝦🦐大扇貝,鮑魚‼️肉蟹超多膏🤤好新鮮～鮑魚仲係活生生喐緊嘅🤩仲可以之後無限添加😋其他食物嘅質素還比我預期中的更好,大推台灣鱔片,厚切脆口‼️芫茜餃餡料豐富,味道不錯～朋友就大讚雞腎,一個人食咗三碟😂Minicreampudding飲品方面,每位加$20就可以任飲汽水softdrinks🧃
"
2023-11-13,5,4,4,4,4,"
好耐冇食過海鮮🥺有日係社交平台見到啲海鮮好正咁，今日就過去食佢😜要食返過癮先得！✨2.5鍾海鮮+雞煲放題雞煲係味道方面嘅選擇都幾多，今次就揀左個芝士味嘅，因為肥米同家姐都食唔到辣🤣不過佢個芝士都好正！勁多拉絲芝士～基本上舊舊雞都一定包住芝士，比芝士一啲都唔手軟👍🏻雞煲食完可以encore唔同味，啫係你想試晒所有味都得！不過我哋想留肚食海鮮🤣所以就冇叫多轉~到打邊爐～個霸王海鮮盤勁多靚海鮮，全部都好新鮮，隻龍蝦勁大隻，鮑魚仲要係試郁㗎！🤩食落去啲肉好彈牙好爽😍除左個拼盤，揀叫嘅都有海鮮～佢嘅鮑魚都一樣咁新鮮嘅，仲有龍躉片叫，啖啖肉唔洗有骨🤣啱晒唔食骨嘅我地，唔洗滾太耐魚片就會好滑🤤其他揀食嘅餸一啲都唔差！✨仼食龍蝦（椒鹽/芝士）肥米加左仼食龍蝦🦞佢嘅椒鹽都勁惹味！肉質都鮮甜嘅，不過就要剪殼係有啲麻煩😂肥米應該之後想食海鮮放題都會再食過呢間！佢其實幾抵食，同埋又有活海鮮，想食刺生都有🤩所以係唔錯，讚！#阿爺八鮮鍋📍旺角登打士街43H號登打士廣場3樓
"
2023-11-13,5,5,5,5,5,"
2.5小時河鮮海鮮雞煲樣樣齊火鍋放題下午5至7點半$368(須7點半前離座)7點至9點半$398(按入座計)9點後$398(免加一)包括：海鮮盤、雞煲3種口味揀一種、新鮮河鮮、時令燉湯、日式廚師推介、特色湯底。❤️海鮮盤越南大虎蝦、澳洲大龍蝦、蘇格蘭聖子、蘇格蘭大元貝、臺山奄仔蟹、新鮮鮑魚。一次過食到咁多海鮮真係超正呀！😻全部海鮮都好新鮮！龍蝦🦞肉質結實有膏。蟹🦀️有好多膏，啖啖鮮甜蟹肉。鮑魚肉質結實彈牙😋。❤️韓式芝士雞煲D芝士好邪惡😈，雞肉嫩滑又入味。沾滿芝士的雞拉絲效果望見已經流晒口水🤤。加上紫洋蔥🧅同吃，十分香口。❤️時令燉湯是西洋菜陳腎。用壺裝，下面有火滾住，夠晒熱。有西洋菜等湯渣，夠足料。👍🏻湯味道好濃好夠味。另嗌左鮑魚、蟶子皇、大魚頭、牛柏葉、雞腎、木耳餃、炸支竹、魚鰾、生蠔🦪、手切安格斯牛、萵筍片、准山片。❤️見隔離枱嗌左魚鰾食，我好奇係咩味就嗌個試下。上枱時侍應細心地話我知食法：要先用竹籤刺穿再放入湯中煮熟。入口十分爽脆唔鯹。❤️生蠔🦪係細蠔仔。好滑溜唔鯹。+$20/位升級任飲汽水🥤和紙包飲品。最後食埋甜品：布甸🍮。布甸細細個份量剛好，可以過下甜品癮又唔會漏。
"
2023-11-09,5,4,4,4,4,"
疫情前曾去過這裏吃火鍋，記憶猶新，今天再次到訪，品嚐「2.5小時河鮮海鮮雞煲樣樣齊火鍋放題」，比之前更抵食呢！
職員服務態度良好，未食之前已先奉上西洋菜陳腎老火湯，用茶壺裝湯真係第一次見～
雞煲有三款口味選擇，我揀左四川麻辣口味，雞肉嫰滑超級入味，我喜歡佢唔會一次過俾大大煲你，而係當你唔夠食就可以無限量添加，少食多滋味仲好，可以迎接之後嘅無限量海鮮火鍋！
升級霸王海鮮拼盤：有龍蝦、鮑魚、大蝦、蟹及大元貝！超級新鮮，佢淨係食隻龍蝦你已經覺得值回票價！
芝士波士頓龍蝦：龍蝦肉質彈牙，啖啖肉芝士味濃，好啱我口味！
象拔蚌刺身：新鮮爽口，而且非常鮮甜，而且師傅切到薄薄一片盡顯刀工！
其他火鍋配料不能盡錄，特別推介的是竟然有魚鰾，好少火鍋店有得食，仲要係無限追加！
+$20仲可以無限任飲，最後來過迷你布甸，大滿足！
"
2023-11-02,5,5,4,4,5,"
阿爺八鮮鍋地址：旺角登打士街43H號登打士廣場3樓好耐無打過邊爐啦，秋風起，呢d天氣最適合打邊爐🤗朋友介紹依間餐廳話最近新裝修，而且係油麻地附近，地理位置非常方便大家聚聚！一去到間餐廳覺得好新，好乾淨，環境非常寬敞，張張枱都好大，坐落好舒服！亦都唔擔心叫太多食物而無位擺！😄再黎就係Menu，睇得出係有心設計過，首先係好清晰比人睇到唔同時段既收費價錢，再黎就係分類晒唔同食物，容易比客人揀。而且個Menu係特登過咗膠，客人每次叫完野食就可以清潔返，唔會造成紙張浪費👍👍佢個任食套餐價錢係包咗一個海鮮盤，呢個海鮮盤係超級正，包左左好多野，有虎蝦，龍蝦，鮑魚，大元貝，蟹，每樣食材都食得出係好新鮮，一d都無馬虎既感覺，非常好味呀😋😋睇得出餐廳對海鮮挑選食材既認真！打邊爐前有個雞煲包埋，可以過足口癮👍👍然後就係一系列既打邊爐食物，脆肉鯇唔多骨，又有咬口，好鍾意食😋特別一讚係安格斯牛肉，超好味👍😍😍口感好豐富，好易入口，會令人想再食有兩款自家製既蟹子蝦滑同埋黑松露墨魚滑都係必點之物😋😋👍總括黎講呢間餐廳既食材係非常新鮮，好高質，值得再去👍👍
"
2023-11-01,5,5,4,4,4,"
👧🏻WodafoodieinMongKok同朋友聚會，想食雞煲定打邊爐？小朋友先做選擇！😆呢間樓上火鍋店環境開揚，主打2.5小時雞煲同海鮮火鍋放題，瘋狂任食雞煲同生猛海鮮，每位包括霸王海鮮盤、燉湯，加$20仲可以任飲各種0卡飲品、無糖茶、汽水等，係朋友聚會或慶祝好選擇‼️‼️🤩✨🔥任食雞煲🐥-韓式芝士雞煲一坐低可以揀左雞煲先，有泰式酸辣雞煲/韓式芝士雞煲/四川麻辣雞煲/原味四款選擇，最吸引緊係🇰🇷韓式芝士雞煲，雞件一早煮好，鋪上滿滿既雙色芝士粒，加熱等d芝士溶就食得😍等待期間，仲有時令燉湯俾你濕下個口先，今日係西洋菜陳腎湯，超甜😋芝士溶左店員會幫你撈匀芝士同雞件，雞肉入味又嫩滑，俾重重拉絲芝士🧀️包住，超邪惡！😍🫶🏻👍🏻一份雞煲份量唔係好多，兩個人食輕鬆ko😆食完一煲可以繼續追加，試其他口味又得，多人一齊食就可以試曬四種口味啦～🤩！食完雞煲就可以打邊爐🥘一開始落單已經要落埋湯底，有海鮮湯、麻辣湯或蘋果豬𦟌湯底揀～朋友唔食辣所以揀左兩個比較清d既湯底😋✨🔥霸王海鮮盤🦞入座每人都包呢個海鮮盤，包括：越南大虎蝦、澳洲大龍蝦、蘇格蘭聖子、蘇格蘭大元貝、臺山奄仔蟹，新鮮鮑魚😍見到咁大隻龍蝦已經流曬口水🤤龍蝦勁厚肉，又爽又甜，好好食🥰奄仔蟹又超多膏，✨高級海鮮🦐🦀🦪原隻鮑魚、蟶子、珍珠蠔、龍躉片、海蟹、海蝦等都可以瘋狂任食👍🏻黎得呢到緊係叫多d海鮮🦐🦀啦！😆我地試曬大部分，推介鮑魚、蟶子、珍珠蠔、海蝦、大蜆、白鱔片，全部都好鮮甜好正！🤩✨牛類🐮最推介滑牛同牛栢葉，牛栢葉烚一陣就食得，好爽口🤤第一次叫牛白肉，原來係胸腔肋骨中間既軟骨位，有豐富骨膠原，幾爽口可以一試😉✨丸類餃類🥟食海鮮同牛都好飽但忍唔住都想試曬大部分食物🤣🤣牛筋丸牛味重又爆曬汁，招牌手打蟹子蝦滑同招牌手打黑松露墨魚滑好彈牙，鮮蝦雲吞有大粒蝦係入面都好好食⋯⋯🥰✨菜類🥗有唐生菜、娃娃菜、萵筍、金針菇等，連番薯苗都有真係一定要試下！因為浸完落個海鮮湯底索曬d精華真係超甜好正呀😋😋想讚佢既餐牌過左膠，每次落單係上面寫完擦返又可以再用，唔怕整污糟👍🏻呢到可能新裝修過，卡位好闊落又可以望到街景，冷氣同抽風都好足唔會好熱成身好臭咁。重點係海鮮真心又多又好食！推介大家要黎試下😚😚📍阿爺八鮮鍋(旺角)旺角登打士街43H號登打士廣場3樓👅更多同區推介☺️#wodafoodieinmongkok
"
2023-10-31,5,5,5,5,4,"
同舊同事聚舊，去左旺角阿爺八鮮鍋食海鮮放題，佢地新裝修完,個環境幾舒服，枱距足夠，更重要係好清潔，仲有部份係卡位。而且推出左新menu,又可以試新野.  呢個放題$398 -2.5小時任食，絕對可以慢慢食有基本海鮮併盤外，仲可以任食9款海鮮，9款河鮮真係超多選擇！另外仲有肉、菜、餃子任食 ！加$20就可以升級任飲啤酒汽水 店員主動講解有咩野食，。首先要選雞煲，有三種選擇（泰式酸辣雞煲/ 韓式芝士雞煲/ 四川麻辣雞煲 )３種都好吸引，我地選擇困難症又出現。  最後店員推介泰式酸辣雞煲。 
落完單之后,店員放底左個茶壺物體.我同同事大家都喺到諗我地無叫茶喎.店員先講番呢個係時令燉湯.我地兩個一齊勁笑,好樣衰呀. 時令燉湯-係西洋菜湯.好清甜,勁解渴.好好飲. 
之後上左雞煲. 份量好足,平時雞煲都係一味辣.無咩新意.今次真係好似發現新大陸咁款.超驚喜.個酸辣醬真係超超超級好食.好開胃.食到唔停手. 我地兩個停止左對話,直到個雞煲消滅曬!必食呢個雞煲. 跟住到個基本海鮮併盤.嘩第2驚喜.有龍蝦,鮑魚,蟹,虎蝦,聖子,大元貝.  所有都超新鮮.肉質彈牙. 
食完個雞煲同海鮮併盤已經飽左9成,諗左好耐,先決定點多3樣野試下. 白鱔片-新鮮彈牙安格司斯牛肉-好正牛味重.  招牌紫菜響鈴-香脆. 仲有佢地做緊推廣:LIKE佢地社交平台會送燒腩仔一碟.幾好食..但好大舊,我食完點唔到其他野食....雞煲,活海鮮樣樣得!下次要搵一大班人黎食.先可以食得多D唔同嘅食物. 
"
2023-10-31,5,5,5,5,5,"
旺角樓上餐廳多不勝數，阿爺八仙鍋係👍🏻朋友極力推介。最近換左新餐單，一個價錢可以食到高質海鮮同雞煲🔥老闆話店舖剛剛裝修完，所以坐落幾舒服😎先食雞煲，可以無限添加。再配上一壺熱辣辣嘅燉湯，完全無味精，滋潤又好飲😍+$20可以任飲，食完雞煲就可以打邊爐，侍應全程都會悉心幫客人安排，非常貼心。🔸海鮮拼盤有多種新鮮生猛海鮮，每款以人頭計，有即劏龍蝦，肉質超級爽彈，仲有蝦膏。出唔係急凍貨，鮮味十足！大蝦爽口彈牙，帶子及肉蟹偏大隻，一梳梳蟹肉又鮮甜😋點餐紙有各式各樣配料，仲有好特別嘅河鮮。海鮮有龍躉片及頭腩無限添加，值回票價。兩小時放題：$368-398/位
"
2023-10-22,5,5,5,5,5,"
呢幾日開始涼涼地，又係打邊爐最適合嘅時間啦🤩係火鍋鋪林立嘅旺角搵食，上網睇呢間有新裝修同新menu,就嚟試下佢地嘅活海鮮同刺身啦😋我地嚟到係7點嚟，每人398，飲品就加20蚊任飲。環境嚟講好開揚，多卡位gathering一流，見到海鮮缸有好多海鮮喔～一陣會落哂我個胃度嘻嘻🥳一開始會先食雞煲，我揀左麻辣雞煲嘅小辣。2個人有半隻雞，好香好好食，雞都多肉喎，洋蔥同芫茜吸哂醬汁都好食🆙之後就嚟個湯，係用茶壺heat住上，都幾呃like喔😁湯就唔會好酒，唔會好鹹。開始打邊爐啦，第一round會上一系列海鮮，有龍蝦，蟹，蟶子，鮑魚，蝦，帶子。龍蝦已經切開一份份容易進食，新鮮爽口彈牙，好食😋蟹都有好多蟹膏喔！蟶子好食，冇沙同埋鮮甜嘅。鮑魚上枱果時重郁緊架，我大推大家食，好新鮮彈牙👍🏻蝦同帶子都好好食，海鮮我係原汁原味食最正😋安格斯牛有肉味，薄薄地但有得任食，我覺得滑牛重好食，口感好滑有𡁻口。平時好少食豬潤啊，見到咁大件豬潤要試下，佢唔腥同埋好爽口，正喎。雞腸好好食，大推！首先雞腸好長，雖然肥肥地但好香口，容易咬又爽口，好正好開心🤩分享完畢，多謝收看😚"
2023-10-20,5,5,5,5,5,"
早2日天氣涼涼哋，好想去打邊爐，搵到附近呢間又有海鮮、又有雞煲，岩哂大食嘅我哋個霸王海鮮拼盤好吸引有澳洲大龍蝦已經抵返哂‼️仲有大虎蝦、蟶子、大元貝、奄仔蟹、新鮮鮑魚未食嘢之前，餐廳會先提供一壺老火湯，好窩心西洋菜湯，好有住家口味，清而不油膩，入口好清甜四川麻辣雞煲有勁多芫茜、芹菜，好岩我口味D雞係有走過油，令到雞件更加索汁，雞煲唔算好辣，好夠香‼️食完雞煲，當然第一時間要食霸王海鮮拼盤,啦越南大虎蝦,觧甜爽口，蝦頭有少少膏好甘甜澳洲大龍蝦既肉好厚實，一口咬落去真係極品
仲有埋龍蝦膏添奄仔蟹膏甘甜齒頰留香，蟹肉都好鮮蟹味‼️我地點左龍躉片,木耳餃,韭菜餃,象拔蚌片,呢幾樣都好出色。
龍躉片既精髓係個厚厚魚皮,好似食緊花膠咁。木耳餃有勁多木耳，有豐富嘅口感，木耳餃比韮菜餃更出色‼️象拔蚌片，一份有好多塊，每塊都好厚切,淥耐左都仲保持到爽爽脆脆口感，不過就無咩味道呢度服務好好,野飲係叫侍應幫手拎,唔洗自己走出走入。真係專心食野就OK"
2023-10-18,4,4,4,4,4,"
