time,taste,environment,service,hygiene,indigestible,comments
2023-10-23,5,5,5,5,5,"
唔想成日去一式一樣嘅餐廳，朋友就話不如試下呢間茶餐廳鋸吓扒🥩，感受吓舊式香港情懷☺️。我地樣樣都想食，所以揀咗慢煮鐵板二人餐，套餐包咗沙律/餐湯x2、兩個主菜+2杯飲品，另外加咗小食、甜品，係一個超豐富嘅鐵板大餐✨!.🔸牛油果薯仔蝦沙律蝦仁🍤爽口彈牙，配埋薯蓉、牛油果同醬汁一齊食，好清新開胃🥗.🔸酥皮周打蜆肉魚湯最鍾意飲酥皮湯!蜆肉魚湯好creamy，啖啖蜆肉有咬口，再加酥皮食更加香濃🤩.🔸薯條粗身薯條炸得香脆，外脆內軟😋.🔸熟蝦醬通菜鹹香蝦醬加入爽脆通菜食超級惹味!💯.🔸鐵板(厚切豬扒)豬扒好厚肉，肉質腍滑，油脂分佈剛好，冇諗過係呢度食到咁高質豬扒!.🔸鐵板(嫩滑雞扒)啖啖雞肉都好juicy🤤，肉質嫩滑，加埋洋蔥汁一齊食酸酸甜甜好滋味，兩個鐵板主菜都配炸麵，好特別嘅配搭，香脆惹味👏!.🔸黑芝麻西多士伴雲呢拿雪糕西多士即叫即整熱辣辣🔥，好少見西多士入面會加黑芝麻餡，加埋雲呢拿雪糕食非常香濃，冷熱交融嘅口感超好食😋!.飲品揀咗涼粉冰同檸檬茶王，涼粉冰清甜解渴，唔會太甜；檸檬茶🍋茶底清香，唔會澀，比一般茶記檸茶有誠意!
"
2023-08-08,4,4,4,4,4,"
經過沙田覓食時發現〔永年〕餐廳有懷舊鐵板餐吃，而且看到份量都不少，放工實在太肚餓，所以就去品嚐。店內裝潢帶點港式情懷，近落地玻璃窗位置，更有懷舊綠色梳化椅，環境寬敞，更可以欣賞落地玻璃窗外面的園景，餐廳雖然馳名車仔麵，但餐牌上亦提供了不少選擇，除了有港式茶室美食，更有不少懷舊小食。🌟〔慢煮鐵板2人二人套餐〕(HK$398)二人餐可以自選兩個鐵板燒，兩杯飲品，兩碗餐湯或沙律，另外可以額外加錢配小食。【美國頂級西冷扒】份量十足很大塊，切開中間呈現鮮嫩紅色，西冷扒油脂少沒有筋位，簡單的洋蔥汁加上香脆的炸麵，已經很惹味。
美國頂級西冷扒
【美國安格斯封門柳】叫了五成熟，肥瘦分佈均勻，輕輕用刀就可以切開，封門柳入口肉質非常軟腍而不韌，墊低的洋蔥很大塊，入口很清甜，炸麵非常香脆。
美國安格斯封門柳
【黑芝麻西多士伴雲呢拿雪糕】熱騰騰的西多士，裡面夾了黑芝麻餡料，加上鋪在西多士上的雲呢拿雪糕，雪糕面加入了少少花生醬，西多士蘸上雲呢拿雪糕很特別，冷熱冰火互溶，入口味道很不錯。
黑芝麻西多士伴雲呢拿雪糕
【招牌港式牛尾羅宋湯】入口微辣，有濃郁蕃茄味。【周打蜆肉魚湯】湯內加入了蜆肉、魚肉及薯仔，忌廉味濃。
【芝士肉醬焗薯皮】薯皮上有焗芝士及肉醬，正常發揮味道，但記得要熱辣辣吃。
【煎釀三寶】(+HK$20)煎釀三寶.傳統的街頭小食，鯪魚肉釀進豆卜、青椒及苦瓜內，濽入豉油，簡單入味。
【菠羅冰】(+HK$15)【柚子檸檬】(+HK$15)
〔香港永年車仔麵茶冰廳〕@wingninyl香港新界沙田沙田正街18號新城市廣場一期1樓113號舖Shop113,1/F,NewTownPlazaPhaseI,18ShaTinCentreStreet,ShaTin,N.T.,HongKong
"
2023-09-16,3,4,3,5,2,"
我上篇永年食評提到,打算同女友人WK噚(15-9-2023Fri)晚食我嘅生日飯,但食過之後,我就同WK講呢間普通,俾唔俾多次機會佢?佢答俾啦,於是我哋就嚟,呢喥冇得book位就一定,於是walkin,由於時間尚早,所以未full,都重可以揀枱坐,就揀咗對住落地玻璃嘅枱,雖然唔係梳化座.侍應放低用QR落單紙時講聲每位要叫一個套餐,而我睇到有限時食1個鐘.我哋研究完menu,就決定要個$398.00嘅二人套餐,但睇唔明主菜係咪所有鐵板都得,同埋揀嘢食嘅範圍,就問個侍應,佢答完後,我哋就揀:1.牛油果薯仔蝦沙律牛油果薯仔蝦沙律
睇見沙律醬係橙色,食落酸酸地,唔係千島醬,蝦仁爽彈,牛油果得兩粒,薯仔係薯蓉,正常冇問題.味道:2.5分2.雞扒鹹魚凱撒沙律雞扒鹹魚凱撒沙律
竟然落鹹魚咁神奇,嚟到睇,唔見有鹹魚,冇鹹魚嘅雞扒鹹魚凱撒沙律
只係正常凱撒沙律加碎雞扒,呢個WK食,我冇試到.7.檸樂冇問題啦.8.抹茶紅豆冰少冰抹茶紅豆冰少冰$15
由於誤以為唔使加錢,即使話咗俾佢知我上次飲係幾唔好飲,都慫恿佢試,呢杯都冇做到少冰,佢試咗,話只係一杯有少少抹茶味嘅紅豆冰.6,砵酒燴牛尾砵酒燴牛尾
呢個好正常,牛尾夠腍.味道:5分3.雜扒要黑椒汁雜扒要黑椒汁
原本想要花膠扒佛跳牆,但落單時話冇呢個,因為冇人送花膠扒嚟,黑椒汁呢個就WK食嘅,佢話黑椒汁唔好食;炸麵乾爭爭,幸好幫佢落汁嗰個冇落晒去啲扒喥,仍留有啲,佢就可以加入去.4.雜扒要洋蔥汁雜扒要洋蔥汁
呢個我食嘅,洋蔥汁幫我倒晒落啲扒喥,攪到炸麵冇晒汁,幸好有砵酒燴牛尾,我就加嗰啲汁.味道:3分雜扒有豬,牛,雞,食啖牛先,有筋𡁻唔開,牛味係有,但好似食到疏肉粉嘅味道.牛扒
味道:1.5分豬同雞扒都冇乜問題嘅.豬同雞扒
味道:3分5.酸忌廉煙肉焗薯原來啲配料係分開上,酸忌廉煙肉焗薯
呢個我哋最後至食,酸忌廉好味,煙肉腍晒,其實配料唔多夠.味道:2.8分服務:我哋叫侍應幫我哋落單,佢問我哋要炸麵定轉白飯或意粉?嗰兩樣都要加錢,咁我哋就要炸麵.叫嘢飲就冇提醒我們特飲加$15.00照落,到我哋俾錢時奇怪點解貴咗$30.00.上鐵板時唔問邊個要咩汁同就咁即刻落汁,另一枱嘅就問自唔自己落.食然係唔會主動俾兩個碗仔.不過,由於我哋食唔切咁多嘢,所以就算過咗一個鐘,佢哋都冇趕我哋走,就算人多要搭枱都冇,唔似得嗰次食燒肉一番https://www.openrice.com/zh/hongkong/r-%E7%87%92%E8%82%89%E4%B8%80%E7%95%AA-%E8%91%B5%E6%B6%8C-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%83%A4%E8%82%89-r774252(食評係2023年7月8日刊登嘅呢篇:https://www.openrice.com/zh/hongkong/review/%E9%A3%9F%E5%BE%97%E5%A5%BD%E8%B6%95-e4887202)咁.價錢係($398.00+30.00)*1.10=$471.00
"
2023-07-28,5,5,5,5,5,"❤️酥皮牛尾羅宋湯（+15）回憶反哂黎酥皮焗得非常好脹卜卜好脆口而且牛油味重好香牛尾羅宋湯夠濃足料一啖酥皮一啖湯正哦❤️永年雜扒$198美國頂級西冷牛扒（5oz)-西冷啱啱好五成孰牛扒非常juicy唔乾身而且牛肉味濃嫩滑雞扒（4oz)-雞扒皮脆入口卜卜聲而且肉質嫩原切豬扒（6oz)-豬扒夠哂厚切食落無筋連骨位附近帶少少肚膏夠哂香口❤️涼粉奶茶+$15茶底絲滑香濃飲落好順口加埋涼粉好夾飲多幾杯都得呀❤️砵洒燴牛尾牛尾大大件夠哂入味可以食哂骨頭𥚃面既骨膠原而個汁吸收哂牛尾既精華再加埋洋蔥蘿白番茄直頭係白飯殺手呀❤️永年車仔四餸麵（辣汁）先講下永年個湯底有小小酒味加埋秘製辣汁無得輸⭐️雞翼尖-滷水雞翼尖滷既時間夠長好入味多多都唔夠食⭐️豬紅-世一豬紅夠哂Q彈入口柔軟彈牙⭐️魷魚-魷魚灼既時間剛好顏色好似玻璃咁透明⭐️豬腸-豬腸乾淨入味每舊都有適中既肥膏係𥚃面夠哂香口油花四溢❤️南乳豬手今日MVP🏆南乳豬手色澤均勻好入味夠哂淋膠質豐富世一豬手！📍香港永年車仔麵茶冰廳(沙田)沙田沙田正街18號新城市廣場一期1樓113號舖#香港#香港美食#車仔麵#鐵板牛排#永年士多#香港永年#世一
"
2023-07-12,4,4,3,4,4,"
放工同朋友約咗去沙田新城市廣場行街買嘢，佢話比較少食茶餐廳，但係佢揀咗間打卡都幾靚有香港特色嘅茶餐廳一齊去鋸扒！
見到佢呢個鐵籠同埋舊香港理髮舖嘅霓虹燈，即刻知道呢間茶餐廳應該會有我想打卡嘅感覺。晚餐有得鋸扒，我哋兩個人就叫人二人餐！慢煮鐵板2人套餐慢煮鐵板2人套餐二人餐有兩個鐵板燒套餐，兩杯飲品，兩碗湯或沙律，我哋額外加咗兩個小食同埋一個蒜蓉包。美國安格斯封門柳五成熟嘅安格斯封門柳，淋上黑椒汁，非常惹味，炸麵比較乾，下次可能加錢改成飯或者意粉會比較易入口。不過個牛就好好食！
美國安格斯封門柳永年雜扒有豬牛雞扒，我揀咗洋蔥汁跟炸麵。個人感覺雞扒比較好味，牛、豬扒就正常嘅。招牌港式牛尾羅宋湯足料嘅牛尾湯，田園味道！周打蜆肉魚湯有別於一般嘅忌廉湯，呢碗湯似我學西餐嘅時候用自己Pan煮嘅薯仔做呢碗湯嘅基礎，令到魚湯有忌廉湯質感。都算唔錯。加配香脆蒜蓉包懷醬蝦多士懷舊蝦多士
一共有三件蝦多士，多士炸得好鬆脆！黑芝麻西多士伴雲呢拿雪糕黑芝麻西多士伴雲呢拿雪糕冇諗過個甜品都幾好味，我下便個西多係熱騰騰嘅，而上邊嘅雪糕就好冰涼，黑芝麻餡好好食。一啖雪糕一啖西士，簡直就係冰火兩重奏。腐乳通菜腐乳通菜多腐乳，通菜炒得好新鮮！--抹茶紅豆冰--檸檬水(熱）抹茶紅豆冰紅豆嘅香甜攪拌之後令到清淡嘅綠茶味道提升。
永年雜扒"
2023-11-14,4,4,4,4,4,"
新發現，次次去永年通常都係食車仔麵。今次一於試吓新嘢：二人鐵板餐！冇諗過原來都咁有驚喜！.▪️鐵板餐（二人）$398
主菜有五六款可以揀，安格斯封門柳、美國西冷、紐西蘭肉眼、佛跳牆、雜扒！
店員可以幫你倒埋汁，鍾意嘅話可以自己嚟！美國安格斯封門柳｜肉質鮮嫩，煙韌香口紐西蘭肉眼｜份量豐富，五成熟剛好保留鮮嫩肉汁酥皮蜆肉魚湯、砵酒燴牛尾、紅豆冰
黑芝麻西多士配雲呢拿雪糕｜
呢份甜品簡直係邪惡得黎又好滿足，一冷一熱，多重享受🥰
"
2023-11-14,4,5,5,5,5,"慢煮二人鐵板套餐💰398🌟花膠扒佛跳牆鐵板朋友仔揀呢個幾有特色🤪好少見到有餐廳將佛跳牆融入鐵板🪷配料有花膠蠔豉仔冬菇🍄炸麵脆卜卜口感幾得意🤭🌟美國安格斯封門柳鐵板轉意粉💰12小c妹就揀左安格斯封門柳🐮五成熟既牛柳對小c妹嚟講岩岩好😌轉左意粉就份量比較多少少嘅😆招牌港式酥皮牛尾羅宋湯💰15好濃郁既蕃茄味🍅岩哂本身鐘意食蕃茄既豬仔🤭湯本身係有少少辣既🔥唔食得辣既豬仔要注意啦😗酥皮周打蜆肉魚湯💰15有酥皮食就係開心🥐魚湯入面都有幾多蜆肉🐠唔岩飲羅宋湯既豬仔可以一試🤭
酸忌廉煙肉焗薯(跟餐)幾有趣原來啲小配料係會分開另上😆比你自己發揮創意想食幾多就落幾多👍🏻自己份量自己掌握🌟黑芝麻西多士伴雲呢拿雪糕(跟餐)食完正餐仲有甜品食就是爽🤩西多士份量岩岩好👍🏻同朋友仔share唔會好膩😆係今餐完美既句號✨阿華田(凍）💰4好立克（凍）💰4
"
2023-11-14,4,4,4,4,4,"
去沙田新城市廣場shopping，咁唔洗講shopping完梗係要食飯啦⋯諗住大家都唔太肚餓，去食個車仔麵再血拼，又諗住食完再去其他地方搵甜品食。點知坐低後，發覺隔離左右，都係度食鐵板餐，我起初仲以為自己入錯餐廳添！嘩！聞到鬼咁香，所以忍唔住都改變主意，我哋都食埋鐵板餐，點咗個二人套餐好抵食，仲有甜品添！我自己好鍾意鐵板餐可以選配炸麵，淋咗個牛扒汁一齊食，真係十足似食緊鐵板炒麵啊！牛扒都好軟身唔會有渣。慢煮鐵板2人套餐～～～～～～～～美國安格斯封門柳紐西蘭肉眼扒牛油果薯仔蝦沙律雞扒鹹魚凱撒沙律薯條黑芝麻西多士伴雲呢拿雪糕紅豆冰菠蘿冰
"
2023-11-09,4,4,4,4,4,"大家又多一個港式鐵板餐嘅選擇喇！呢個二人套餐，食物份量多，好飽又抵食前菜招牌港式酥皮牛尾羅宋湯(+$15)、周打蜆湯都係必點！酥皮頂部有塊芝士，味道香濃微辣，惹味開胃。湯料亦好足，有三舊牛尾同雜菜周打蜆湯有粒粒蜆同埋魚肉，入口鮮甜美味為咗配餐湯，可以嗌埋蒜蓉包，非常鬆脆亦都好香蒜蓉味
