time,taste,environment,service,hygiene,indigestible,comments
2023-10-23,5,4,5,5,5,"放題經常食，韓國燒肉放題選擇就唔算多。這間天文臺道高麗軒韓國料理都算歷史悠久，品質保持到👍👍位於地庫，所以地方夠闊落夠大，就算等位都唔會太耐，嘢食選擇非常多有70幾款，飲品任飲，酒類飲品就另外收費食燒肉當然要啤啤佢啦做緊優惠加$38升級，建議一定要加，值回票價特級牛頸肉比較瘦，位於頸肉部位，肉質比較淋軟，食多幾件都唔怕肥燒銀雪魚超大件，魚肉一疏疏，好鮮甜，原來全部食物都可以半份半份叫，兩個人食最好就半分，可以試多啲其他菜式鰻魚石鍋飯非常專業！石鍋熱辣辣食到脆卜卜鍋巴，加上韓式辣醬，超級惹味。鰻魚肥美、厚身、推介！Prime雪花牛（鹽燒）不斷encore之列，油脂分布均勻，鹽燒已經夠晒味，火燒後牛油稍為滲出，表面焦香就最正啦🥰🥰雪花牛任食嚟講有呢個質素真係10分唔錯，牛味濃郁油花紋理鮮明絕對高質👍👍帆立貝牛油蒜蓉配帆立貝真係Perfectmatch，唔算好大粒勝在新鮮，encore！法式羊架沒有好重嘅臊味，少少肥保持羊獨有香味仲加咗佢哋嘅港式調料🧂效果非常唔錯👍招牌紅炆牛肋骨非常有驚喜嘅一道菜式🤩牛肋骨非常大件，部位好有肉香，炆得夠腍夠入味，正宗韓式嘅味道👅泡菜煎餅半份不過不失，唔算辣，喜歡食泡菜嘅可以試吓升級後人頭$300左右，呢個質素嚟講真係值回票價！
"
2023-10-08,5,4,4,4,4,"
做老闆一定要有商業觸覺，只要發現某種商業模式可行的話，就要競相仿傚。老實說，要在近年的高通脹環境下，要維持價廉物美的高水準出品，箇中難處又豈是一般食客所能體會呢!實際的情況是，很多這類型的食肆，其出品也不過爾爾，有時候甚至可以用失望來形容。但在這個燒肉放題市場裡，如果要揀一間高質啲嘅燒肉店嘅話，位於尖沙咀嘅【高麗軒】值得是榜上有名！【高麗軒】位於尖沙咀婚紗街嘅地舖，餐廳設置於地庫一層，在做燒肉放題，經一層樓梯下去後看見場所都是挺大的，餐廳是中式加韓式舊派風格。每個半卡位都是闊落的，坐低後店員隨即放下QRCOde紙讓我們下單。
有多款優質肉類可以選擇，亦有少量飲品選項提供。
🔳牛肋骨湯湯頭清甜唔油膩，料頭豐富，除咗有塊好稔嘅牛肋條肉之外，仲配有少量粉絲，開餐之前可以嗌嚟暖暖胃準備一下！
