time,taste,environment,service,hygiene,indigestible,comments
2023-10-28,5,5,5,5,4,"前排朋友話帶我去tst食日本野，估唔到發現間咁高cp值嘅日本餐廳，仲有好精緻刺身丼杯，可以打卡之餘味道又幾好！❣️日式料理款式非常多，而且每款都幾用心，值得一去❣️推介精緻刺身丼杯，刺身多到爆出來，超吸睛，食落又有層次感。
🐟日本鮟鱇魚肝$168（推介）
日本鮟鱇魚肝$168-粒粒都肥美厚切，口感軟嫩香口。個人好鍾意底下個醋香汁，好醒胃🥗鮨一沙律$128
鮨一沙律$128-大大個番茄同沙律菜撈上好多魚生，有八爪魚、油甘魚等，幾特別。✨蘭$158（推介）
蘭$158蘭$158-鋪滿海膽超級吸引，海膽幾鮮甜creamy，配上吞拿魚蓉、火炙左口魚、三文魚、超多三文魚子粒粒，蝦刺身、北寄貝粒粒，撈埋江戶前傳統壽司飯，超有層次感✨梅$158
梅$158-同樣超多刺身款，蟹鉗鮮甜，配上粒粒蟹肉、肥美新鮮蝦刺身（連蝦頭都滿滿鮮味），甜甜的好滿足❤️🦀️軟殼蟹天婦羅$75
-炸到超級脆口但唔油膩，軟殼蟹有肉有膏，味道幾好🦪辣酒煮廣島蠔$88（推介）
辣酒煮廣島蠔$88-湯底非常特別，滿滿蠔嘅清甜味道，夾上刺激嘅辣味。難得嘅係粒粒蠔都好肥美鮮甜，仲有蘿蔔夠醒胃。ps蠔都幾多粒的！🐔明太子雞翼(兩隻）$48
明太子雞翼(兩隻）$48-外皮夠脆，入面粒粒明太子，口感幾好🐔雞尾尖$35
雞尾尖$35-第一次食，估唔到好脆皮juicy，滿滿油脂香🐔華味鳥雞皮串$35
-煎到脆皮無曬油脂，多多都唔怕食了😂下次再約朋友來！"
2023-10-25,5,4,5,4,5,"
位於尖沙咀的的日式居酒屋。鮨一位於尖沙咀厚福街，佔地三層，一直大受歡迎；鍾情吃日式料理的朋友當日生日，早早訂位想一嚐這間口碑極好的日式居酒屋，有夠義氣的我當然義不容辭了。除了設有卡位，更可以選擇入座吧枱前觀看師傅手勢，奈何當日吧枱位已滿，只好入座於卡位與友人大談是非？
