time,taste,environment,service,hygiene,indigestible,comments
2023-10-04,5,5,5,5,5,"
呢日假期約左好友陪我嘆番個正lunch😎師傅、店員人都好好，食物質素好有驚喜👍🏻滿喜歡餐廳日式設計，門口位忍唔住打卡🤣.🌟omakaselunchset$408/一位.➡️茶碗蒸以木魚糕湯煮，黑松露味道濃厚味，口感細滑，面頭仲有金箔，底系菇同瑤柱，矜貴又好食😋.➡️壽司：🍣真鯛，用上柚子皮，鮮味又fresh👍🏻🍣中拖羅，落左岩鹽同少少豉油，好鮮味油膩感重，勁正😌🍣新鮮希靈魚，邊邊做左炭火網燒逼左油出來所以特別香，濃厚炭燒味道好喜歡😘🍣甘蝦，即系好大只甜蝦，無做急凍所以特別鮮甜🍣深海池魚，厚身爽口，面頭有塊用醋煮過白板昆布，酸酸地好得意，有咬口滿特別！🍣太刀魚，天婦羅外脆內軟，黑松露醬好香！🍣吞拿魚面頰，邊邊一樣用炭火網燒妹好香，面頭系蒜和蔥勁正！呢件比較濃口味我喜歡💕🍣岩手縣活帶子，師傅拍一拍令佢肌肉收縮，食落特別爽口👍🏻🍣三文魚籽，餐廳特別處理，加入甜酒豉油醃制兩日，所以同出邊唔同，冇咁腥和特別鮮甜，加上柚子皮，超級好食🤤🍣海膽，好多勁開心！赤海膽比較甜身，大滿足🥰🍣幼口魚裙邊，好長的手卷！油膩感滿滿好好食！.➡️湯食完咁多件壽司，飲碗熱辣辣湯好舒服😌用上白身魚頭魚骨煲，滿滿魚香勁鮮相當足料！滿滿骨膠原好開心🥰.➡️甜品北海道蜜瓜加泡芙，食個甜品作結開心💕.住元朗一定要試下！刺身厚肉，壽司非常高質用心製作，師傅靚仔又好人，呢個價錢omakase性價比太高👍🏻.
"
2023-10-26,4,4,4,4,4,"
主打Omakase嘅日本壽司店-鮨文🍣Omakese套餐有多款選擇,大部份食材都係來自日本🎌更推出親民版Omakese🤩$400到就可以食到10件時令壽司😍今次我去咗元朗分店,每個位置都可以睇到師傅悉心炮製料理,仲可以聆聽師傅對食材嘅解說,絕對係好好嘅體驗🥰⭐️茶碗蒸⭐️食壽司前先會有茶碗蒸🥚賣相相當精緻🤩以鮮甜嘅木魚高湯混合蛋汁同食材嘅精華,配合師傅將火候控制得宜,令茶碗蒸入口細緻滑嫩☺️茶碗蒸上面係黑松露,入面有有瑤柱同菇🍄仲灑上金光閃閃嘅金箔添✨⭐️10貫握壽司⭐❤️真鯛真鯛素有「魚中之王」嘅美譽,魚肉紋理鮮明,晶瑩剔透✨肉質肥美,口感柔韌,陣陣淡雅嘅鮮味,上面加咗柚子皮帶點清新🌿🧡中拖羅即係吞拿魚肚腩,魚肉呈粉紅色🐟帶有清晰嘅雪花紋路,肉質嫩滑🥰落咗一滴仔豉油同岩鹽,加上脂肪精華,味道濃郁😛💛希靈魚用炭火網燒🔥迫左啲油出嚟,帶出魚油嘅香氣,希靈魚肉質厚實,入口甘香🐟💚甘蝦甘蝦無做急凍,食落更鮮甜😛甘蝦肉質柔軟同肥美🦐💙深海池魚深海池魚脂厚油香,入口細膩🥰池魚面頭係一層用醋煮過嘅白板昆布😛💜太刀魚天婦羅外脆內軟,外面甘香脆口,同時保持到太刀魚嘅鮮甜同口感👍🏻另外有黑松露醬喺入面😛🩷呑拿魚面頰賣相似牛肉,其實係吞拿魚嘅面頰🐟面頰屬吞拿魚嘅稀少部位,肉質爽口有彈性,亦帶有少量嘅筋位令口感更豐富😛會以炭火網燒🔥令肉味更濃郁香口😍上面加左蒜蓉同蔥😚🤍岩手縣活帶子師傅會輕輕拍一拍,令帶子肌肉收縮,食落會更爽口😝而且口感煙韌🥰🤎三文魚籽三文魚用甜酒豉油醃製兩日,無出面果啲咁鹹同唔腥👍🏻入口係甜身嘅三文魚籽,咬落去係脆同多汁嘅鮮甜魚子🥰壽司入面加入柚子皮令佢更清新🌿🩵赤海膽屬於甜身嘅海膽🤩濃郁鮮味,幼滑口感😚甘甜帶有香氣,入口即溶🤤⭐️手卷⭐️係右口魚裙邊手卷,師傅會即場火炙右口魚,火灸後好香😝食落去細滑略帶爽感,用埋紫菜夾住食,層次豐富😚⭐️湯⭐️湯係白身魚魚湯🥣用上魚頭魚骨熬製,骨膠原超重🤩⭐️甜品⭐️最後甜品係北海道蜜瓜🍈同埋泡芙😛蜜瓜香甜,皮薄多肉🥰食埋個甜品夠晒大滿足🥳"
2023-09-14,4,5,5,4,,"
男朋友想食好耐好食值得一試價錢細心介紹每項食品食材新鮮用心製作同男朋友慶祝生日提早講定有埋happybirthday系甜品☺️慶祝生日🎂可以去試下果物配料都不馬虎都好好食"
