time,taste,environment,service,hygiene,indigestible,comments
2023-07-24,5,5,5,5,4,"
銅鑼灣一向多餐廳選擇，今晚就同朋友再到回訪位於澳門逸園中心的「鳥居」開飯。多次回訪是因為餐廳裝修充滿了日式居酒屋情懷，食材新鮮，又可以飲返兩杯，而且近期他們推出了85折優惠，當然要再來。🔺鳥居二人前|$1,750，套餐包括前菜、小食、刺身、燒海鮮、燒物、串燒、主食和甜品【前菜】🔸蟹肉芝麻凍菠菜凍菠菜係揸乾水份的，再加上蟹肉和日式芝麻醬，是正宗日式居酒屋必備的
蟹肉芝麻凍菠菜【小食】🔸燒鱈魚乾燒鱈魚乾每條食落都脆卜卜，好香口，配啤酒一流
燒鱈魚乾【刺身】🔸白象拔蚌刺身來自愛知縣的白象拔蚌，味道鮮甜，充滿海水的味道，口感爽脆利落，份量好足
白象拔蚌刺身白象拔蚌刺身【燒海鮮】🔸味噌燒日本帆立貝帆立貝加入了味噌來燒，味噌味道濃郁，配上清甜的彈牙的帆立貝來吃，十分惹味
味噌燒日本帆立貝味噌燒日本帆立貝🔸紐西蘭活聖子聖子十分新鮮脆口，用了牛油、蒜一齊燒，最後加上了香蔥，非常美味
紐西蘭活聖子【燒物】🔸味噌龍蝦龍蝦非常大隻，肉質好鮮甜，肉質好彈牙，蝦頭有好多蝦膏，超讚
味噌龍蝦味噌龍蝦【串燒】🔸自家製月見免治雞肉棒 自家製月見免治雞肉棒 自家製月見免治雞肉棒 自家製月見免治雞肉棒 🔸露荀豬肉卷燒得好香脆，露荀還保留了後多水份
露荀豬肉卷露荀豬肉卷🔸手造豆腐 手造豆腐 手造豆腐 【主食】🔸海膽冷烏冬稻庭烏冬上有份量好多的加拿大海膽，賣相好好，打卡一流，海膽入口即溶，烏冬非常彈牙。
海膽冷烏冬海膽冷烏冬海膽冷烏冬海膽冷烏冬【甜品】🔸朱古力窩夫和雪糕三文治的造型一樣，窩夫夾住朱古力味雪糕，賣相精緻又好味
威士紀割水|$78三得利生啤|$68威士紀割水$78"
2023-07-20,4,5,5,5,4,"
SOGO附近呢棟澳門逸園中心一向多日式料理餐廳，一早約定朋友星期六放工後到17樓鳥居Lunch，環境充滿日本懷舊風味，原本急促工作節奏即刻放慢起來😊
