time,taste,environment,service,hygiene,indigestible,comments
2023-07-26,5,5,5,5,5,"
麻辣風雲又出新菜式啦🔥之前成日去食酸菜魚，但除咗酸菜魚之外都仲有好多香辣好味嘅選擇😋🌃環境今次依然係去銅鑼灣店，夠近夠方便😆喺銅鑼灣站C出口斜對面就係啦～平日夜晚去都幾多人食，幾旺場☺️而且最好嘅係佢地嘅抽風系統做得唔錯，食完呢啲重口味嘢都唔會成陣油煙味，唔洗驚尷尬🤣😋食物🌪️風雲擎天麵$188🌶️麻辣乾鍋(最少5款起)$160配料：🍗雞件$38🐮特色牛肉餅$28🦆鴨血$38🥢蓮藕片$28🐥雞腎$28🐽拔絲咕嚕肉$148🍶洛神花茶$48今次黎專登要試呢個反地心吸力又超級ig-able嘅風雲擎天麵🌪️呢個新item真係超搶眼，而且絕對唔係gimmick嘢🔥風雲擎天麵嘅麵底炸到又脆又硬，所以先可以整成呢個筷子凌空夾起麵條嘅造型🥢店員喺我哋打完卡之後就會幫我哋剪開麵餅，然後就可以淋上甜酸汁令啲麵軟化😚因為個麵底都炸得比較硬，所以都唔洗驚淋太多汁會浸得太淋～撈勻食脆脆哋好有咬口😛而甜酸汁同啲麵都同蝦仁都好夾，不過唔好睇少佢，食多咗好滯㗎😆成日食酸菜魚，今次就試吓麻辣乾鍋🌶️乾鍋用木桶拖住，下面仲有火種暖住啲食物，好細心🔥乾鍋要揀最少5種配菜😚今次揀咗🍗雞件🐮特色牛肉餅🦆鴨血🥢蓮藕片同🐥雞腎～除咗自選配料之外，本身鍋底仲有椰菜花同萵筍，好豐富🌶️另外仲嗌咗拔絲咕嚕肉🐽咕嚕肉賣相好fancy，可以夾少少糖絲配咕嚕肉一齊食，幾夾㗎😚不過咕嚕肉嘅粉漿比較厚，薄返啲會更好🤏🏻一埕上嘅洛神花茶就幾時都咁IG-able🌹酸酸甜甜，解辣又消暑🧊💰價錢Averageprice$250-300/pp
"
2023-06-03,4,4,4,4,4,"
二訪呢間餐廳，今日就腳去銅鑼灣分店。留意有$18前菜小食金額～————————————————————————#太極鴛鴦魚💰388
有酸菜魚再加上水煮魚，兩者都係招牌菜，魚片非常嫩滑，份量多而且夠大片。酸菜夠哂酸好惹味。呢款太極絕對可以滿足到唔同人既願望。#炸饅頭💰58
無論食幾多次都唔厭，$58有睇頭又好食，仲可以去邊度搵？炸得好夠脆，令人有好滿足既感覺。#麻辣爆炒羊肉💰168
呢款羊肉加咗京蔥、辣椒爆香黎炒，一上枱已經聞到勁香，食落一啲羊膻味都無，叫返碗白飯食呢個配搭岩岩好。#四川擔擔麵💰68
可自選辣度同麻度，一定符合到各人既心水。佢加入咗大量肉碎同原粒既花生，食落會更加香。#黑糖脆炸糍粑💰58
表面脆脆的表面，沾滿好多既黃豆粉再加埋黑糖汁，食落煙韌好有口感。#菊花蜜💰48
次次都會叫呢款，淡淡清香，唔會太甜，值得一試。————————————————————————📍麻辣風雲(京都廣場)(銅鑼灣)銅鑼灣駱克道491-499號京都廣場5樓
"
2023-05-31,5,5,5,5,5,"炸饅頭
