time,taste,environment,service,hygiene,indigestible,comments
2023-07-29,4,5,4,4,4,"
《風雲浮誇擎天麵🌩️》———————————————-#麻辣風雲🌶-約人去食川菜最中意去呢間麻辣風雲，一來位處鬧市，超方便，二來坐得舒服，好適合一班人聚會☺️-☁️風雲擎天麵我哋專登嚟就係為咗呢款新推出嘅擎天麵，反地心吸力😍賣相非常吸引，酥炸後嘅麵條脆卜卜，打完卡店員會好細心，咁幫我哋剪開✂️再淋上酸甜帶微辣嘅特製醬汁，而大蝦亦炸得甘香酥脆，可以直接連殼即食，認真唔錯👍🏻-🌶️干鍋呢度除咗主打酸菜魚，干鍋都幾好食😋最少要揀5種配菜，款式多碗，今次就揀咗美國肥牛、雞軟骨、土豆片、娃娃菜同鮮枝竹，超級豐富😌重蒜調味好濃郁，夠哂惹味😊我哋仲嗌咗個蔥花豬油撈飯，非常邪惡😈-最後非常值得一提嘅係個飲品，粉紅色酒埕配搭小酒杯嘅凍菊花蜜，味道清香，解辣止渴一流，同重口味嘅川菜簡直係絕配🌼-⭐️價錢參考：（另收加一）風雲擎天麵：$188干鍋：$238蔥花豬油撈飯：$24菊花蜜：$48冰涼椰汁冰：$38🍌抵deal指數：8/10💰人均消費：$300
"
2023-06-23,5,5,5,5,5,"
中國風打卡特式菜
一入門口，小編跟朋友就見到風雲亭，初頭打算打卡，點知店員話可以坐係亭內進食，小編同朋友超開心呀！
🌸風雲擎天麵一上枱超正既感覺，打卡影相一流，店員會幫忙剪開再淋醬汁等耐脆麵變淋身少少食。仲有店員提議炸蝦要先食，就可以連殼一齊食，口感非常鬆脆肉質鮮甜結實。脆麵配埋醬汁十分醒胃，少少辣非常過癮。
🌸川式回鍋肉小編揀左小辣，食落口唔會太辣，五花腩片完會唔覺油膩，椰菜炒得夠晒入味，仲有豆乾片索晒汁。🌸拔絲咕嚕肉超靚既芝麻拔絲球，拔絲球下面放超香脆肉質鮮嫩既咕嚕肉。拔絲配搭咕嚕肉一齊食有另一番風味呀。
🌸炸饅頭擺盤非常之特式，用一艘船擺放著炸饅頭，用作打卡非常之靚，炸饅頭炸得好脆，而不膩，饅頭內有一絲絲感覺非常鬆軟，再點埋煉奶黎食，絕配！
🌸菊花蜜非常濃菊花蜜，飲完喉嚨非常舒服。
🌸洛神花茶既濃郁又冰凍既洛神花茶，超開胃。
菊花蜜及洛神花茶均是用中國傳統酒瓶黎裝及迷你酒碗黎飲，別有一番風味！======詳情======麻辣風雲(旺角)旺角彌敦道628號瓊華中心10樓================
#yummy#香港美食指南#香港美食#hkfoodie#hkfood#hkeat#吃貨#吃貨日常#RnT吃貨#相機食先#旺角美食#旺角好去處#香港美食探店#香港探店#打卡熱點#打卡美食#著數報料#中國風#打卡餐廳#風雲擎天麵#拔絲咕嚕肉#麻辣風雲
"
6天前,5,4,5,4,4,"天氣仍熱，但無阻我想食辣野，今日約左朋友去旺角食麻辣美食。🌟#酸菜水煮魚新鮮的魚片配搭酸菜，麻香味十足，魚片嫩滑入味，正。🌟#黑松露煙燻溏心蛋散發出濃郁的煙燻香氣。蛋黃部分保持著溏心的口感，奶白色的蛋白鮮嫩滑順。蛋的濃郁味道和黑松露的香氣，絕。🌟#拔絲咕嚕肉嫩滑的豬肉塊炸至金黃酥脆，再用糖製成的糖漿拌炒，形成一層薄薄的糖絲包裹在肉塊上，酥脆甜蜜。🌟#上湯浸娃娃菜湯的鮮美味道滲透到菜葉中，讓每一口都帶著清爽的口感，簡單美味。
"
2023-11-15,4,4,4,4,4,麻辣風雲推出了新菜式，看薯覺得很吸引，就決定去試試看看啦。這次去了旺角分店，位於瓊華中心的分店，環境是木系裝修，座位挺舒適☺️。以掃碼方式下單，食物選擇挺多元化🙈。-▪︎菊花蜜HKD$48粉紅色的酒壺裝著，多了份時尚的現代感，又不失古代感挺特別。以菊花蜜扮酒還可打卡一下，味道清甜解辣。口感清新潤喉😚，可以慢慢享用一波。-▪︎荔枝蝦球HKD$68這個是店家新菜式，荔枝樹像仙境般呈現眼前。一陣仙氣在瀰漫著，帶來視覺上的享受😎。荔枝賣相栩栩如生，口感酥脆香口。裡面是大粒蝦肉，味道鮮味爽口😚。-▪︎酸菜魚HKD$268這個份量挺大份，可自選不同辣度☺️。魚肉大片肉質嫰滑，魚肉份量挺多的。金湯賣相吸引，味道酸酸辣辣的。裡有粗薯粉、萵荀、蘿蔔及芽菜等配料，也是吸味食物，口感爽脆惹味。-▪︎京蔥牛肉HKD$68這個是套餐跟白飯一碗，這個味道挺香，很有鑊氣的感覺😝。牛肉份量也很多🤭，肉質腍身口感嫰滑。醬汁味道濃郁，不會感覺太咸。-▪︎午市炸饅頭HKD$36｜黑糖脆炸糍粑HKD$58甜吃的炸物有兩款，這兩款我們也喜歡吃☺️。炸鰻頭金黃色的賣相，口感外脆內軟，配煉乳吃味道香甜。糍粑質感較香脆的，口感軟糯味道香甜。-
2023-11-15,5,5,5,5,4,"
今次我地去左旺角食飯，辣野川菜就不嬲都鐘意食，旺角食野都算係一個多選擇既地方，我地揀左呢間麻辣風雲地點就腳，行完朗豪坊食fit曬
佢地基本上全部都係卡位，坐得舒服，就算唔係卡位都係一邊有梳化既果種，佢地係QRcode落單，都有一本本既menu提供，坐低佢地會先送上前菜（$18），係中華沙律同花生，黎果時冇問到係幾錢，食完見$18兩碟，當茶錢又冇乜所謂既
黎食川菜梗係要叫酸菜魚（$268），呢度既酸菜魚特別之處係佢可以揀辣度，酸度，同麻度，可以揀一個適合自己既味道，魚肉都有好多，魚肉亦都滑，而且係乾淨冇骨，呢個好緊要，酸菜都好正，入面仲有少量寬粉，成碟野2個人食絕對係大份
另外我地又黎健康人生，叫左碟小炒花菜（$98），呢個菜又炒得幾香，仲有肉片係度，呢碟菜都係整得好食
今次我地冇叫白飯，食下其他主食，我地叫左碗開胃宜賓涼拌冷麵（$32），佢個醬撈麵好好味，麵質爽口彈牙，加埋花生蔥花等等，拌麵就係要咁樣
我地仲有叫個炸饅頭（$58），呢個炸饅頭夠曬氣派，係個諸葛亮企係架船上面送上黎，隻船側邊仲識噴煙，影相打卡一流，味道方面佢炸得夠熱夠香，同埋表面小小脆身咁，加埋煉奶食真係好正
飲品見佢做緊推廣，旺角店限定凡食滿$300再like佢社交平台，follow社交平台就可以$8.8叫一渣1.8L既水蜜桃雜果茶，呢個promote見佢暫時做到11月30號，同埋係星期一至三先有，渣野都幾靚，同埋都好飲
呢間餐廳我覺得價錢唔算貴，食物都有質素，同埋酸菜魚份量都偏多，坐得又舒服，有d打卡菜式又真係靚，都係一間幾好既餐廳
"
2023-11-15,1,2,1,2,2,"
中午食飯時候，同事話一齊試下新野，雖然上網見到咁多劣評，但樓下派傳單推介有幾平同幾好食，姑且試下啦，試完先知原來劣評喺啱，咁多人批評原來真係有原因！首先用openrice訂台後上到去，櫃檯冇任何職員向度叫極都冇人應，見到枱面有部打開左嘅平板電腦就望下有冇自己訂台紀錄，忽然厨房有一位著黑色衫帶眼鏡和耳環嘅男職員大鬧一句唔好睇，入面有好多客人嘅個人資料，大聲程度喺全場食客都聽到，需然間野得幾丁友食緊。P.S.如果真係咁著重客人私隱點解唔熄左部野，要長著住又話人偷睇，重點係你地無職員向度招呼又叫極都唔應，食客老馮要受你氣？唔怪得無人幫襯，唔關做咩優惠事囉，老闆請留意返個問題！圖片碟魚皮份量少得驚人，重點係汁醬都唔多滴，淡而無味，辣油好貴咩家陣？另外兩碟唔知炸咩，可以全凍既，叻叻，之後叫碟水煮魚，入面D薯粉又厚又無味，同個水煮湯格格不入完全唔入味，失敗"
2023-11-15,5,5,5,5,5,"
好多朋友都推薦麻辣風雲呢間餐廳，話又好食，又有特色，包我有驚喜。行開瓊華附近，又辣癮起，一於去品嘗下啦😛開胃宜賓涼拌冷麵$32配料有花生、香蔥、芫荽、雪菜、芝麻，醬汁微辣，麵團彈牙有嚼勁，冰冰涼涼開胃一流👍🏻荔枝蝦球$68一上枱真係哇一聲！成棵荔枝樹加上乾冰凝造既煙霧效果，真係忍唔住要係咁影相😆除左賣相出色之外，味道亦都一流！👍🏻入口脆卜卜，沾上酸甜汁，酸酸甜甜，好味道😋炸饅頭$58又一吸睛菜式！炸饅頭好有氣勢地連同諸葛亮一齊駕到，好有排場！👍🏻我見每枱都會有架船係枱面😆炸饅頭外脆內軟綿，配埋煉奶食，好正🥰乾煸肥腸$108香辣麻有齊哂！👍🏻肥腸有炸過，微脆，又有咬口，正！❤️黃金豆腐$128豆腐外皮微脆，內裏勁嫩滑！調味都剛剛好，咸蛋黃味道夠香口🥰冰涼椰汁冰$38解辣佳品，夠哂冰涼👍🏻菊花蜜$48用左中國風古式酒壺同酒杯，好有古典風味既飲品😆菊花蜜清甜解辣，份量好多兩個人share都完全冇問題👍🏻用餐後除左肚仔滿足外，心靈上都好滿足🥰每道菜除左味道出色之外，菜式呈現效果店家都係用心去安排，荔枝蝦球樹、麻辣風雲炸饅頭號等等，都係食得睇得又影得，餐廳仲有個風雲亭，相信係入面用餐，更加有風味👍🏻
"
2023-11-15,4,5,4,4,4,"
-見佢地出左新menu就去一探究竟先環境都好大座位好寬躺食物水準都keep到呢到用📲QRcode點餐餐點都會10分鐘內一一送上
✅酸菜魚$268主打酸菜魚點可能唔叫啊魚片鮮嫩滑嘟嘟😋分量十足每片都無骨刀功值得加許🤪仲有好多寬粉海鮮菇萵筍豆卜芽菜等配料酸菜都俾得好多唔會馬虎食哂都唔會口渴good👍🏻
✅炸饅頭$58人氣菜色之一差唔多每枱都有即叫即炸脆卜卜嘅外層加上內裏軟綿綿嘅饅頭一啲都唔會油膩超正🤩
✅荔枝蝦球$68一棵栩栩如生掛滿荔枝既荔枝樹😂賣相勁特別有埋乾冰充滿仙氣咬開入面係蝦肉🍤點少少甜甜既荔枝醬睇得又食得
✅拔絲咕嚕肉$148賣相好靚一大卷糖絲放係啖啖肉既咕嚕肉面大約8-10粒既肉都好大粒唯獨價錢好似比較進取左少少🤏🏻
✅四川擔擔麵$68湯底超濃郁花生同肉碎都足料可惜麵質比較腍🥲唔系就perfect池✅水蜜桃雜果茶$88(消費滿$300Like社交平台只需$8.8)優惠只適用於星期一至三晚市1.8L超抵飲旺角店限量供應‼️
"
2023-11-15,3,5,3,5,3,"
好耐無去呢度吃啦上次吃炸饅頭出場有架船真係好震撼於是今次再encore叫了酸菜魚夫妻肺片然後見到每枱都叫大大壺飲品就跟風原來是水蜜桃雜果茶顏色很正常有果肉很心思一開始以為係香水味飲落覺得可能是水蜜桃雜果味沒有很突出夫妻肺片也很快上菜每一片都很大片啖啖肉好滿意最後終於到酸菜魚很明顯不新鮮的魚有陣味味道非常的咸咸味比酸菜味更重吃了幾片就沒有再吃了再返去飲杯飲品已經飲不出味道🥸希望下次唔洗吃咸魚調整一下調味同新鮮度就係一間好的餐廳
"
