time,taste,environment,service,hygiene,indigestible,comments
2023-10-22,5,5,5,5,4,"為慶祝老公仔🧸生日當然要食豪啲啦搵左一間位於尖沙咀金馬倫道嘅日式居酒屋一上樓梯已經有好多唔同嘅打卡位好有日本feel🇯🇵🪭🏮💈🥥🐮椰皇壽喜燒A5宮崎+M7澳洲和牛寶盒$398店員將新鮮椰皇水慢慢倒入火鍋之中椰香味撲鼻混合埋壽喜燒湯底味道鮮甜美味🤤
椰皇壽喜燒火鍋$398和牛寶盒嘅造型加上乾冰效果仙氣滿滿打卡影相一流🤩🤩寶盒有3款和牛、海蝦、年糕福袋
椰皇壽喜燒火鍋和牛寶盒$398和牛油花分布平均肉質細膩入口即化😋配上蛋汁食齒頰留香🤤🤤海蝦肉質厚實年糕福袋腐皮吸盡火鍋湯汁配上裡面煙煙韌韌的年糕☺️☺️令人難忘😚椰皇壽喜燒火鍋$398🍳玉子燒汁脆活海鰻$189玉子質感軟腍蛋味香濃用上新鮮的海鰻燒製鰻魚皮爽脆彈牙一軟一爽食落口感豐富😍😍玉子燒汁脆活海鰻$189🐮澳洲和牛水菜卷＄169以往食的都是包金菇的肥牛卷🤓但餐廳用了水菜代替金菇質感更加清爽😛而且營養更豐富🤔️水菜卷用上鐵板上枱熱辣辣配上蔥花炸蒜片增添味道的層次🤩🤩澳洲和牛水菜卷$169🦪珍寶燒蠔(黑松露牛油野菌）$78做緊買一送一嘅優惠😚黑松露醬及野菌份量十足燒蠔火力剛好肉質仍保持鮮嫩多汁🤤🤤珍寶燒蠔(黑松露牛油野菌）🍊藍蝶花佛手柑熊茶$68每杯飲品上都放了熊啤啤的冰好可愛的造型😍😍飲品味道充滿柑桔的清甜香氣🫧藍蝶花佛手柑熊茶$68🥛綠茶鮮奶熊脆脆$68同樣有紅啤啤造型的冰塊綠茶鮮奶比例濃厚奶味香甜綠茶甘澀配搭得宜☺️☺️綠茶鮮奶熊脆脆$68🍽️🍴總結🍽️🍴餐廳環境闊敝座位舒適佈置充滿日本風情很好有日本街頭居酒屋風情😍😍真係充滿驚喜美味的生日餐🤩🎂🎂"
2023-10-21,5,4,4,5,4,"
一不小心就錯過位放金馬倫道2樓嘅黑木亭君酒屋🏮，地下門口比較隱蔽，上一層樓梯到2樓餐廳wow😍，走進京都完全2個世界🎎環境：7/10沿著一條充滿日式風格嘅樓梯先到餐庭位置，以和風板畫作為餐庭主要裝飾，代入感很強🇯🇵食物：7.5/101️⃣椰皇壽喜A5宮崎和牛M7澳洲和牛寶盒$398完成一日忙碌嘅工作緊係要放鬆下，食啲靚牛🐮獎勵一下自己，唔同產地嘅牛嘅脂肪比例、肉質、味道都各有特色，打開月光寶盒仲有乾冰滲出仙氣，可以影相打卡📸你2️⃣火焰鵝肝A5和牛青蘋果卷$279鵝肝炸左外脆內軟，先食到鵝肝嘅脂肪香，配搭青蘋果完全冇違和感，一解油膩感，建議一啖食😋3️⃣時令生蠔買一送一  🦪鍾意食蠔嘅朋友要留意啦，有唔同種類嘅生蠔比大家揀，豐儉由人，雖然我唔係特別喜歡，但特試咗兩隻都覺得水準唔錯👍🏿4️⃣藍蝶花佛手柑熊茶&綠茶鮮奶熊脆脆$68&$68🧸qq熊仔冰又出現啦，熊仔冰大大舊可以令到飲品保持冰凍，仲令到飲品更加賞心悅目，食咗咁多好野，飲番杯靚靚特飲，完美Friday💖💰性價比：7/10 人均400-500左右，但依個價錢食到A5和牛同鵝肝，計一計其實都真係差唔多，環境舒適，食物質素幾高，得閒嚟試一試都冇壞呀🤪
火焰鵝肝A5和牛青蘋果卷$279椰皇壽喜A5宮崎和牛M7澳洲和牛寶盒$398椰皇壽喜A5宮崎和牛M7澳洲和牛寶盒$398綠茶鮮奶熊脆脆$68藍蝶花佛手柑熊茶$68時令生蠔"
2023-08-28,5,5,5,5,5,"
平時睇相已經覺得黑木亭嘅食物飲品好靚，今次終於親身一試😊果然無令我失望😎👍🏻真係色香味俱全😋🔥A5和牛海膽芝士牛角包～$239（創新配搭，味道好夾，配上海膽三文魚子感覺即刻高級左😎，連我朋友唔喜歡食包都覺得好好食👍🏻👍🏻）
🔥石燒厚切和牛配蔥鹽醬及蘿蔔酸汁～$358（呢個真係要讚！熱辣辣嘅和牛入口即溶，唔需要醬料，我已經覺得好好味，因為真正嘅呢區係唔需要其他配搭，只需少少鹽調味😊😋）
🔥黑松露牛油野菌燒珍寶蠔兩隻～$78（滿滿黑松露野菌😍野菌下係一隻好肥大嘅蠔，好滿足♥️依家仲要買一送一😆）
🔥炸蔥吞拿魚蓉鮟鱇魚肝卷～$168（份量非常十足，炸蔥非常香口，足料吞拿魚溶再配啊，鮟鱇魚肝，口感層次豐富，配搭創新，讚！）
🔥紅火龍佛手柑熊茶～$68（賣相非常吸引可愛，用冰雪成嘅熊仔，十分吸睛♥️酸酸甜甜適合飲奶嘅朋友）
🔥綠茶鮮奶熊脆脆～68（呢杯同樣都係非常吸晴😍鍾意飲綠茶嘅朋友，記得叫啊😉）
"
2023-08-02,5,4,5,5,5,"
尖沙咀真係好多餐廳好多好野食，呢間黑木亭以前淨係同一班朋友食過夜晚，午餐真係未試過食，難得出到尖沙咀就去食個lunch睇下有無同晚餐一樣高質。 普通食lunch唔算貴，食個丼飯大概都係幾十蚊至一百蚊左右，不過見到個商務二人餐都好抵食，而且平日仲要有7折，姐係$398就食到個好豐富既二人套餐，包括有刺身，卷物，兩款定食同雪糕，所以相對咁計真係幾抵食。 
假日商務二人前$426（平日$398） 三點刺身盛 火灸左口魚邊卷 芝士流心玉子鰻魚飯 灸燒四合丼 雪糕(兩球)火灸左口魚邊卷包住玉子同青瓜，上面既左口魚火灸過好油好香，入口即溶即感覺，另外加左d魚籽同黑魚子，好鮮味好脆口。芝士流心玉子鰻魚飯好大碗好大條既鰻魚，另外玉子燒入面有埋芝士可以拉到絲，蛋香加埋芝士鹹香都好正。鰻魚夠厚身，醬汁包實鰻魚夠香夠肥美，食下食下就食晒成碗飯。灸燒四合丼呢款四合丼有左口魚，三文魚，蟹柳，蟹籽。除左蟹籽外，每款都會經過灸燒燒得非常香口。而最吸引最好食既係左口魚，飽滿既油份經過火燒燒面更加有油香感，油香覆蓋住魚身既周圍，入口先係魚身本身有既爽口感，其外就慢慢隨住油入溶化係口腔內，油重香濃，好食而且份量大，CP值夠高。
"
2023-07-29,5,4,4,4,4,"
同事升職帶咗我哋去食番餐豪既去咗間都有好多人推介嘅日本餐廳餐廳要上樓上既梯級既佈置好有日本feel好靚
一睇menu有一個套餐吸引住我地既眼球係龍蝦呀😍😍😍😍😍即刻叫😂等緊龍蝦時叫住啲小食先見到有個平時少見啲嘅白飯魚干脆片$68脆卜卜咁送酒一流
白飯魚干脆片什錦炸物拼盤$168有炸雞吉列蝦吉列廣島蠔炸薯條炸雞軟骨好豐富呀全部新鮮熱辣即炸仲有得點黑松露醬芝士醬同茄汁😋
什錦炸物拼盤然後就到全晚既重頭戲😍龍蝦刺身三食$598首先上枱嘅係龍蝦剌身好新鮮又甜奇怪龍蝦殻一齊上埋但又冇俾工具我哋食佢😂正當想問個員工時佢就過嚟收走左話會為我地準備下一道菜好彩冇問😂😂😂😂😂
龍蝦剌身等左一陣間熱辣辣既龍蝦蜆肉濃汁燴飯同埋龍蝦鉗蒸蛋上枱喇😍😍😍😍龍蝦蜆肉濃汁燴飯個汁好出色真係好濃燴飯吸晒啲龍蝦精華龍蝦仲有好多膏添呀😍😍😍加埋鮮甜既蜆肉真係好正呀
龍蝦蜆肉濃汁燴飯龍蝦蜆肉濃汁燴飯個龍蝦鉗蒸蛋都超級吸睛呀個鉗大大隻個蛋又係吸收曬啲龍蝦精華😍🫢仲有好多蟹籽增加個口感
龍蝦鉗蒸蛋龍蝦鉗蒸蛋食飯又點少得野飲見到差唔多枱枱都叫啲熊仔咁得意梗係要飲下綠茶鮮奶熊脆脆$68綠茶味濃不過啲脆脆要快啲食
綠茶鮮奶熊脆脆蜜桃鳥龍熊茶$58清新啲唔太甜
蜜桃鳥龍熊茶好正既一餐😋😋😋😋"
5天前,4,4,4,4,4,"佢哋嘅商務午餐套餐非常豐富，平日收費為$398，假日為$428，包括指定刺身、指定卷物、定食（任選兩個）、雪糕一球（兩份）。
佢哋嘅刺身有八爪魚、三文魚同油甘魚，新鮮度極高，口感鮮美。
另外，佢哋嘅卷物是火炙左口魚邊卷，炙燒過嘅口魚肉質鮮嫩，搭配壽司飯同其他配料，味道非常出色。
至於定食，你可以任選兩個。我揀咗吉列炸蝦炒蛋多士配牛肉湯烏冬同牛肉湯烏冬配炸餃子定食。炸蝦炒蛋配上多士，口感酥脆，配上牛肉湯烏冬，味道更加豐富。
而牛肉湯烏冬配炸餃子，湯底鮮美，餃子炸得香脆。
呢個套餐仲包出邊自助區任食，你可以自行取用沙律同面豉湯。最後仲有雪糕。呢個套餐真系夠曬豐富，又抵食。"
5天前,5,4,4,4,4,"上次同朋友慶祝生日都係呢間！
首先熊之降臨豆乳豬骨鍋配M7澳洲和牛雜錦盤。這道菜以豆乳和豬骨熬煮而成的湯底，搭配著M7澳洲和牛雜錦盤。
接下來是A5宮崎和牛他他。A5宮崎和牛切成薄片，肉質鮮嫩。
