time,taste,environment,service,hygiene,indigestible,comments
2023-08-14,4,5,4,4,4,"
沙田最出名係咩美食？相信大部份人都知道係「沙田乳鴿」同「沙田雞粥」！最有名氣既餐館莫過於係「龍華酒店」，除左有以上出名既菜式之外，佢仲係50年代著名既園林酒店🏨當年不少電影都借用依到去拍攝，仲有不少當年既邵氐藝人係依到既熟客，來頭不小喔！
雖然我係香港人，但今次都係第一次黎（明明成日都喺沙田出沒😂），餐館保留住50-60年代風格，牆上掛滿左當年邵氏影星既海報，適逢李小龍逝世五十週年，更設有李小龍「龍影再現」圖片展覽，大家不妨黎觀賞一下，向依位巨星致敬🫡馳名中外的「紅燒脆皮乳鴿」$98基本上每一枱都會點，分別在於幾多隻🤣一口咬下，香脆鴿皮下夾住鴿油同鴿肉，不用沾任何調味都已經非常好食！真正的皮脆肉嫩✨紅燒脆乳鴿$98紅燒脆乳鴿$98新鮮菠蘿咕嚕肉$168菜單介紹係李小龍太太最喜愛菜式，還指定用剛熟新鮮菠蘿🍍，菠蘿真係好清甜，而咕嚕肉肥瘦平均，甜酸汁有別於其他地方，甜酸味都比較平和！不錯的✨新鮮菠蘿咕嚕肉$168如意竹笙上素$148菜單介紹這個係傳統菜式，係陳寶珠同蕭芳芳最喜愛菜式❤️雖然有好多地方都這款素食，但喺龍華酒店食的這個味道真的有點懷舊，比較清淡，少了那份酒樓的咸味，反而顯得很舒服！如意上素竹笙$148馳名沙田雞粥$98（2-3人）好耐無食過雞粥，以前通常在火炭食，但環境比較不理想所以就無再去了！事隔多年，又可以又嚐雞粥味道👅馳名沙田雞粥$98總結：值得一去的地方，原來仲有孔雀🦚架，不過夜晚影唔到怕嚇親佢，中午有點心供應，下次可以黎試下飲茶再睇下孔雀🦚！*設有加一服務費"
2023-08-02,5,5,5,4,4,"
實不相瞞，沙田是我其中一個地頭。早已聽聞過這間酒店，這次終於起行到訪😜龍華脆皮燒乳鴿$98平日午市時間顧客也不少(而且偷看到幾乎每枱都點了燒乳鴿👀)整間酒店的裝潢也很古典優美，打卡也是一流😜龍華脆皮燒乳鴿$98(另加一)龍華脆皮燒乳鴿$98名不虛傳的脆皮乳鴿熱騰騰的上桌，外皮十分香脆，帶著油香一撕開，是源源不絕的肉汁😍常常害怕紅燒的肉類會乾身，這個完全令我改觀薪火相傳原味鹵水乳鴿$98(另加一)薪火相傳原味鹵水乳鴿$98不止外皮，裡面的肉也是很濃鹵水味一樣是肉質緊緻而且多汁但還是較推薦驚艷的燒乳鴿😝金銀蒜蒸扇貝(6隻)$168(另加一)金銀蒜蒸扇貝$168好大隻扇貝肉，蒸煮的時間剛剛好，啖啖肉底下有很多吸汁的粉絲，配上香噴噴的蒜蓉🤤姬松茸燉竹絲雞$88(另加一)姬松茸燉竹絲雞(乳鴿)$88當天轉了燉乳鴿，裡面有乳鴿髀、瘦肉、姬松茸等配湯料湯頭十分清甜，完全是媽媽在家裏下足湯料煲的味道😋一盅其實也夠二人分享四寶雞扎$29(另加一)四寶雞扎$29原來也有很多點心可以選擇有兩大件，雞扎裏有淮山、冬菇、雞肉和很大塊很吸汁的豬皮😈完全無法一口咬下🤣杞子桂花糕$38(另加一)杞子桂花糕$38最後當然要來個甜品😚四大件，彈彈滑滑的，光線下像黃寶石一樣味道不會太甜，我們都喜歡茗茶$13/1位(另加一)"
2023-07-18,4,4,4,4,4,"
@lungwahhotelestablishedin1938withahistoryof85years,musttryclassicinshatin-lungwahsignaturepigeon🕊reminiscingthenostalgiaofhk🌟thedecorretainsthestyleandnostalgiaofthe50s⛩redlanternsandcourtgardens🏮wallcoveredwithphotosofnumerouscelebrities,socialites,andimportantgovernmentofficialsvisiting📽moviesandtvshowsfilmed🎬and@bruceleewasaregularcustomer💫#brucelee龍華酒店建於1938年85年歷史香港老字號之一沙田必試經典馳名龍華乳鴿🕊充滿香港懷舊特色濃厚香港情懷🌟裝修保留五六十年代風格⛩紅燈籠園林花園🏮保持昔日懷舊感餐廳掛滿相片📽️不少電視電影取景🎞️好多知名影星政界名人曾到訪#李小龍還是常客💫☀️開心懷舊二位餐HKD$398☀️🕊龍華鴛鴦乳鴿兩隻+一隻HKD$98沙田必試經典馳名龍華乳鴿🌟肉質柔嫩緊緻▫️龍華脆皮燒乳鴿🐦外皮燒到香脆外脆內嫩deepfriedcrispypigeoninlungwahstyle▫️️秘製豉油皇乳鴿🐦醬汁濃厚好入味poachedpigeoninhomemadesoyasauce▫️️薪水相傳原味滷水乳鴿🐦滷水帶甜肉質更細嫩marinatedpigeon🐷生磨杏汁炖白肺湯doubleboiledalmondjuicewithpiglung湯底奶白色生津潤肺🐷新鮮菠蘿咕嚕肉sweetandsourporkwithfreshpineapple招牌菜💫餐牌寫係李小龍太太最喜愛嘅菜式用新鮮菠蘿香甜多汁🍍咕嚕肉炸到金黃香脆酸酸甜甜🥬淮山杞子上湯浸時蔬seasonalvegetablesinclearbroth上湯白菜清甜配淮山杞子🫘大量炸蒜頭🧄🪨石磨豆腐花silktofudessert口感細滑豆味香濃🌱糖水淡淡桂花香🌼🥤支裝汽水(可樂)HKD$18bottledsoda(coke)支裝可樂懷舊感滿滿💫乳鴿配可樂好爽⭐️設加一服務茗茶每位$13📍沙田下禾輋村22號🇭🇰"
2023-10-09,4,4,4,5,4,"龍華建於1938年，以乳鴿馳名國際，曾有不少名人在此留下足跡。現在龍華酒店仍保留獨特建築風格，經過一條左右掛滿紅燈籠斜路，到達餐廳門口，好懐舊feel。龍華主打粵菜，餐牌淋朗滿目，價錢大衆化，好適合一家大細嚟食飯打卡。💫脆皮乳鴿（頂鴿）外脆內軟，肉質軟嫩juicy,幾年冇嚟食，仍保持水準💫豉油皇乳鴿（頂鴿）豉油味濃非常入味，啖啖肉，肉質軟嫩多汁，正👍💫如意竹笙上清淡得嚟又補氣養生小菜，素菜淋上玻璃芡，清新有口感。💫椒鹽山水豆腐片一片片椒鹽山水豆腐片，豆腐炸到好乾身，外皮既質感唔油膩，配搭跟隨既酸醋食，十分惹味。💫馳名沙田雞粥粥底綿密滑身，雞件鹹香嫩滑，雞味滲到粥內，味道不錯。"
